Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S5S1V01,S5S1V02,S5S1V03,S5S1V04,S5S1V05,S5S1V06,S5S2V01,S5S2V02,S5S2V03,S5S2V04,S5S2V05,S5S2V06,S5S2V07,S5S2V08,S5S3V01,S5S3V02,S5S3V03,S5S3V04,S5S3V05,S5S3V06,S5S3V07,S5S3V08,S5S3V09,S5S3V10,S5S3V11,S5S3V12,S5S3V13,S5S3V14,S5S3V15,S5S3V16,S5S3V17,S5S3V18,S5S3V19,S5S3V20,S5S3V21,S5S3V22,S5S3V23,S5S4V01,S5S4V02,S5S4V03,S5S4V04,S5S4V05,S5S4V06,S5S4V07,S5S4V08,S5S4V09,S5S4V10,S5S4V11,S5S4V12,S5S4V13,S5S4V14,S5S4V15,S5S4V16,S5S4V17,S5S4V18,S5S4V19,S5S4V20,S5S4V21,S5S4V22
"Bourinot, John",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1884.01.21 ,1867.10.23 , 1884.01.21 ,(Death),2,9,9,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Dickson, Walter Hamilton",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1884.02.19 ,1867.10.23 , 1884.02.19 ,(Resignation),9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Skead, James",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1881.12.24 - 1884.07.05 ,1881.12.24 , 1884.07.05 ,(Death),2,1,9,9,2,9,9,1,1,1,2,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Pozer, Christian Henry",Nationalist,Quebec,"Mackenzie, Alexander",1876.09.20 - 1884.07.18 ,1876.09.20 , 1884.07.18 ,(Death),1,1,2,9,1,1,2,1,1,2,2,1,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Masson, Louis-Franí_ois-Rodrigue",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1882.09.29 - 1884.11.06 ,1882.09.29 , 1884.11.06 ,(Resignation),9,2,1,1,1,2,1,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Robitaille, Louis",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1883.02.08 - 1884.12.28 ,1883.02.08 , 1884.12.28 ,(Resignation),2,1,1,2,2,9,1,1,9,1,1,1,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Muirhead, William",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1873.01.04 - 1884.12.29 ,1873.01.04 , 1884.12.29 ,(Death),1,1,1,9,9,9,1,1,1,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Benson, James Rea",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1868.03.14 - 1885.03.18 ,1868.03.14 , 1885.03.18 ,(Death),2,2,1,9,2,9,9,1,1,1,9,9,9,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Simpson, John",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1885.03.21 ,1867.10.23 , 1885.03.21 ,(Death),1,1,1,2,2,9,9,1,1,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Chapais, Jean-Charles",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1868.01.30 - 1885.07.17 ,1868.01.30 , 1885.07.17 ,(Death),2,1,2,1,1,2,1,1,1,1,2,2,2,9,2,9,1,9,1,2,2,1,2,1,1,1,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Northwood, Joseph",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1880.05.19 - 1886.10.29 ,1880.05.19 , 1886.10.29 ,(Death),2,1,1,9,2,9,9,9,9,9,1,1,9,9,9,9,2,9,9,9,1,9,1,2,2,2,1,1,1,2,2,2,2,2,2,2,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Campbell, Alexander",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1887.02.07 ,1867.10.23 , 1887.02.07 ,(Resignation),2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Nelson, Hugh",Liberal-Conservative,British Columbia,"Macdonald, John Alexander",1879.12.12 - 1887.03.01 ,1879.12.12 , 1887.03.01 ,(Resignation),9,9,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1,2,9,9,2,2,1,9,1,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,2,9,2,2,2,9,2,2,2,1,2,2,1,1
"Hamilton, John",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1887.05.01 ,1867.10.23 , 1887.05.01 ,(Resignation),9,9,9,9,9,9,1,9,9,1,9,9,9,9,2,9,9,9,9,9,1,9,1,9,2,2,1,1,1,9,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Cormier, Charles",Nationalist Liberal,Quebec,Royal Proclamation,1867.10.23 - 1887.05.07 ,1867.10.23 , 1887.05.07 ,(Death),9,9,9,9,9,9,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"McMaster, William",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1887.09.22 ,1867.10.23 , 1887.09.22 ,(Death),1,1,2,2,2,9,2,1,1,1,9,9,9,2,9,1,1,9,9,9,2,1,9,9,9,9,9,2,2,1,9,9,9,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Sí©ní©cal, Louis Adí©lard",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1887.01.25 - 1887.10.11 ,1887.01.25 , 1887.10.11 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Plumb, Josiah Burr",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1883.02.08 - 1888.03.12 ,1883.02.08 , 1888.03.12 ,(Death),2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,2,9,1,9,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,1,2,2,2,2,2,2,1,2,2,1,1
"Ferrier, James",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1888.05.30 ,1867.10.23 , 1888.05.30 ,(Death),9,9,1,2,2,2,9,1,9,9,9,9,9,2,9,1,9,1,9,9,2,1,2,1,1,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,9,1,2,2,2,9,9,9,9,9,9,9,9
"Schultz, John Christian",Liberal-Conservative,Manitoba,"Macdonald, John Alexander",1882.09.23 - 1888.07.01 ,1882.09.23 , 1888.07.01 ,(Resignation),2,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,2,9,9,9,2,9,9,9,2,9,9,9,9,1
"Ferguson, John",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1888.08.21 ,1867.10.23 , 1888.08.21 ,(Death),2,9,9,9,2,9,9,1,1,1,1,1,9,2,9,9,2,9,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Ross, James Gibb",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1884.01.11 - 1888.10.01 ,1884.01.11 , 1888.10.01 ,(Death),9,9,9,9,9,9,9,9,9,1,9,9,9,2,9,9,2,9,9,9,1,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,2,9,9,9,2,9,9,9,9,9,2,2,2,1,9,1,1,2,2,1,9
"Ryan, Thomas",Liberal-Conservative,Quebec,Royal Proclamation,1867.10.23 - 1889.05.25 ,1867.10.23 , 1889.05.25 ,(Death),2,9,1,2,2,9,9,9,9,9,9,9,9,9,2,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Carvell, Jedediah Slason",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1879.12.18 - 1889.07.03 ,1879.12.18 , 1889.07.03 ,(Resignation),9,1,1,9,2,2,9,9,9,1,1,1,9,9,9,9,9,1,9,9,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,2,2,1,2,9,9,2,2,2,1,2,2,1,9
"Turner, James",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1884.01.11 - 1889.10.10 ,1884.01.11 , 1889.10.10 ,(Death),9,9,9,9,9,9,1,9,9,1,1,9,1,2,2,1,2,1,1,2,1,1,1,2,2,2,1,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,2,2,1,2,2,9,2,2,2,2,2,2,1,2,2,1,9
"Trudel, Franí_ois-Xavier-Anselme",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.31 - 1890.01.17 ,1873.10.31 , 1890.01.17 ,(Death),2,9,9,1,9,2,1,9,1,1,2,2,1,9,2,9,1,9,1,2,2,1,9,1,9,9,9,1,2,1,9,9,1,1,2,1,2,9,9,9,9,9,9,9,9,1,2,1,1,9,1,1,2,1,2,9,9,9,2
"Archibald, Thomas Dickson",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1890.10.18 ,1867.10.23 , 1890.10.18 ,(Death),2,1,1,2,2,9,1,2,1,1,1,2,9,9,2,1,2,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,2,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9
"Howlan, George William",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1881.01.05 - 1891.02.18 ,1881.01.05 , 1891.02.18 ,(Resignation),2,2,1,2,2,9,1,1,9,1,1,1,2,9,2,9,2,9,9,9,9,1,9,9,9,9,9,9,9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,9,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1
"Haythorne, Robert Poore",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1891.05.07 ,1873.10.18 , 1891.05.07 ,(Death),1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,9,1,1,1,1,1,1,2,9,1,2,1,2,2,1,2,1,1,9,9,9,9,9,9,9,2
"Leonard, Elijah",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1891.05.14 ,1867.10.23 , 1891.05.14 ,(Death),1,1,2,1,1,9,2,1,1,2,2,2,2,9,9,9,9,9,9,9,2,9,2,1,1,1,2,2,2,1,1,1,1,9,1,1,1,1,1,9,1,9,9,1,1,1,9,2,1,1,1,1,1,1,2,1,1,2,2
"Alexander, George",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.05.30 - 1891.05.29 ,1873.05.30 , 1891.05.29 ,(Resignation),1,1,1,2,2,1,9,1,1,2,9,9,9,9,1,1,1,1,2,1,2,2,2,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,1,2,2,1,2,9,1,2,2,1,2
"Odell, William Hunter",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1891.07.25 ,1867.10.23 , 1891.07.25 ,(Death),9,9,9,9,9,9,1,2,1,1,1,1,1,9,2,2,2,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,9,9,9,9,9,9,9,2,9,2,2,1,9,9,9,9,1
"Lacoste, Alexandre",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1884.01.11 - 1891.09.13 ,1884.01.11 , 1891.09.13 ,(Resignation),9,9,9,9,9,9,1,1,9,1,9,9,9,9,2,9,9,9,9,9,1,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,2,2,2,9,9,9,9,9
"Baillargeon, Pierre",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1874.03.27 - 1891.12.15 ,1874.03.27 , 1891.12.15 ,(Death),9,9,9,1,1,1,2,9,1,9,2,2,9,2,2,9,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,9,1,1,9,1,2,2,2,2,1,2,1,2,1,1,1,2,1,2,1,1,2,9
"Pí¢quet, Anselme HomíÂre",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1875.02.09 - 1891.12.22 ,1875.02.09 , 1891.12.22 ,(Death),2,1,1,1,1,1,2,1,9,1,9,9,9,9,2,9,1,1,9,9,1,1,2,1,1,2,1,1,1,1,1,1,1,9,1,1,1,2,2,2,9,9,1,2,9,1,9,1,1,1,1,1,9,1,2,1,1,2,9
"Stevens, Gardner Green",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1876.02.12 - 1892.04.15 ,1876.02.12 , 1892.04.15 ,(Death),9,1,2,1,1,9,2,1,1,2,2,2,2,9,9,2,9,9,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,9,1,1,1,1,9,2,2,9,1,9,9,9,9,2,1,1,9,1,1,1,2,1,1,2,9
"Girard, Marc-Amable",Conservative (1867-1942),Manitoba,"Macdonald, John Alexander",1871.12.13 - 1892.09.12 ,1871.12.13 , 1892.09.12 ,(Death),2,9,9,2,2,2,1,2,1,1,2,2,2,2,2,9,2,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,9,1,2,9,2,2,1,2,2,1,2,2,2,1,2,2,1,1
"Grant, Robert Patterson",Liberal Party of Canada,Nova Scotia,"Mackenzie, Alexander",1877.02.02 - 1892.11.13 ,1877.02.02 , 1892.11.13 ,(Death),9,1,2,1,1,9,2,2,1,2,2,2,2,9,2,9,1,9,2,1,2,2,2,1,1,1,2,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,1,9,9,2,1,9,1,1,1,1,1,1,2,1,9,2,2
