Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S6S1V01,S6S1V02,S6S1V03,S6S1V04,S6S1V05,S6S2V01,S6S2V02,S6S2V03,S6S2V04,S6S2V05,S6S2V06,S6S2V07,S6S3V01,S6S3V02,S6S3V03,S6S3V04,S6S3V05,S6S3V06,S6S3V07,S6S3V08,S6S3V09,S6S3V10,S6S3V11,S6S3V12,S6S4V01,S6S4V02,S6S4V03,S6S4V04,S6S4V05,S6S4V06,S6S4V07,S6S4V08,S6S4V09,S6S4V10,S6S4V11,S6S4V12,S6S4V13,S6S4V14,S6S4V15,S6S4V16,S6S4V17
"Fortin, Pierre",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1887.05.13 - 1888.06.15 ,1887.05.13 , 1888.06.15 ,(Death),2,2,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Schultz, John Christian",Liberal-Conservative,Manitoba,"Macdonald, John Alexander",1882.09.23 - 1888.07.01 ,1882.09.23 , 1888.07.01 ,(Resignation),2,1,9,9,1,1,1,9,1,1,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Ferguson, John",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1888.08.21 ,1867.10.23 , 1888.08.21 ,(Death),1,9,1,9,9,1,1,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Ross, James Gibb",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1884.01.11 - 1888.10.01 ,1884.01.11 , 1888.10.01 ,(Death),9,1,1,9,9,9,9,9,1,9,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Ryan, Thomas",Liberal-Conservative,Quebec,Royal Proclamation,1867.10.23 - 1889.05.25 ,1867.10.23 , 1889.05.25 ,(Death),1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Carvell, Jedediah Slason",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1879.12.18 - 1889.07.03 ,1879.12.18 , 1889.07.03 ,(Resignation),2,1,1,2,1,9,9,9,9,9,9,9,9,9,1,9,1,1,1,1,1,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Turner, James",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1884.01.11 - 1889.10.10 ,1884.01.11 , 1889.10.10 ,(Death),2,1,9,9,9,9,1,2,1,1,2,2,2,1,1,9,1,1,1,1,1,2,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Hardisty, Richard Charles",Conservative (1867-1942),Northwest Territories,"Macdonald, John Alexander",1888.02.23 - 1889.10.18 ,1888.02.23 , 1889.10.18 ,(Death),99,99,99,99,99,1,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Trudel, Franí_ois-Xavier-Anselme",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.31 - 1890.01.17 ,1873.10.31 , 1890.01.17 ,(Death),9,9,2,9,2,2,2,9,9,2,1,1,1,2,2,9,2,9,9,1,2,2,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Rodier, Charles-Sí©raphin",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1888.12.01 - 1890.01.26 ,1888.12.01 , 1890.01.26 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Macdonald, John",Independent Liberal,Ontario,"Macdonald, John Alexander",1887.11.09 - 1890.02.04 ,1887.11.09 , 1890.02.04 ,(Death),99,99,99,99,99,1,1,2,1,1,2,9,2,2,2,1,2,2,2,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Archibald, Thomas Dickson",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1890.10.18 ,1867.10.23 , 1890.10.18 ,(Death),1,9,9,9,9,9,1,2,1,1,9,2,2,1,2,1,9,1,9,9,9,9,9,9,2,9,2,9,2,1,9,1,1,9,9,2,2,1,9,9,9
"Howlan, George William",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1881.01.05 - 1891.02.18 ,1881.01.05 , 1891.02.18 ,(Resignation),9,9,1,2,1,1,1,2,9,1,9,9,2,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,2,9,2,2,1,9,9,1,2,9,9,2,1
"Haythorne, Robert Poore",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1891.05.07 ,1873.10.18 , 1891.05.07 ,(Death),1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,1,1,1,2,2,1,1,1,2
"Leonard, Elijah",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1891.05.14 ,1867.10.23 , 1891.05.14 ,(Death),9,1,2,1,2,9,1,1,9,1,9,1,1,9,2,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Alexander, George",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.05.30 - 1891.05.29 ,1873.05.30 , 1891.05.29 ,(Resignation),9,9,9,9,9,1,1,1,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Odell, William Hunter",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1891.07.25 ,1867.10.23 , 1891.07.25 ,(Death),1,1,2,2,1,1,1,2,1,1,1,2,2,9,2,1,2,9,9,9,9,9,9,2,9,9,9,9,9,2,2,1,2,9,1,2,9,1,9,9,1
"Lacoste, Alexandre",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1884.01.11 - 1891.09.13 ,1884.01.11 , 1891.09.13 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,1,9,9,2
"Baillargeon, Pierre",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1874.03.27 - 1891.12.15 ,1874.03.27 , 1891.12.15 ,(Death),2,2,2,9,2,2,9,9,1,2,2,9,1,2,2,2,2,9,9,9,9,9,9,1,1,2,1,9,2,9,2,2,9,9,9,2,2,2,9,1,2
"Pí¢quet, Anselme HomíÂre",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1875.02.09 - 1891.12.22 ,1875.02.09 , 1891.12.22 ,(Death),2,9,2,1,2,2,2,1,1,9,9,1,1,2,2,1,2,9,2,9,9,9,9,1,1,9,2,2,2,1,1,2,1,2,2,9,2,2,2,9,2
"Stevens, Gardner Green",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1876.02.12 - 1892.04.15 ,1876.02.12 , 1892.04.15 ,(Death),2,1,2,1,2,9,1,2,9,1,9,1,1,2,2,1,2,2,2,2,2,1,2,1,1,9,2,9,1,1,9,1,2,1,1,2,2,9,9,1,2
"Girard, Marc-Amable",Conservative (1867-1942),Manitoba,"Macdonald, John Alexander",1871.12.13 - 1892.09.12 ,1871.12.13 , 1892.09.12 ,(Death),1,9,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,2,2,2,9,1,2,2,2,2,2,9,9,2,2,2,2,2,1,2
"Grant, Robert Patterson",Liberal Party of Canada,Nova Scotia,"Mackenzie, Alexander",1877.02.02 - 1892.11.13 ,1877.02.02 , 1892.11.13 ,(Death),1,1,2,1,9,1,1,9,1,1,9,1,1,9,2,1,9,2,9,2,2,1,9,1,9,9,2,9,9,1,9,1,9,2,9,9,9,1,1,1,2
"Montgomery, Donald",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1893.07.31 ,1873.10.18 , 1893.07.31 ,(Death),1,1,1,2,1,1,1,9,1,1,2,2,2,1,9,9,9,9,9,9,9,9,9,9,2,2,1,2,2,1,2,1,2,1,9,1,9,1,9,2,2
"Boyd, John",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1880.02.11 - 1893.09.21 ,1880.02.11 , 1893.09.21 ,(Resignation),1,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9
"Abbott, John Joseph Caldwell",Liberal-Conservative,Quebec,"Macdonald, John Alexander",1887.05.12 - 1893.10.30 ,1887.05.12 , 1893.10.30 ,(Death),2,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,9,9,9,2,2,1,2,1,2,1,1,9,2,1,2,2,1
"Botsford, Amos Edwin",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1894.03.22 ,1867.10.23 , 1894.03.22 ,(Death),9,9,9,9,9,1,9,9,1,1,2,2,2,1,1,2,2,1,9,9,9,9,9,9,9,9,1,9,9,1,2,1,9,9,9,9,9,9,9,9,9
"Flint, Billa",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1894.06.14 ,1867.10.23 , 1894.06.14 ,(Death),1,1,2,2,9,1,1,9,1,9,1,9,9,9,1,2,1,1,1,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,2,2
"Glasier, John",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1894.07.07 ,1868.03.14 , 1894.07.07 ,(Death),1,1,9,9,9,1,1,9,9,1,9,9,2,1,1,2,9,9,1,1,9,2,2,9,1,9,1,2,2,1,2,1,1,1,1,9,9,1,2,2,1
"Chaffers, William Henry",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1894.07.19 ,1867.10.23 , 1894.07.19 ,(Death),2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,9,2,9,9,9,9,1,1,2,2,9,2,2,2,2,9,9,2,9,2,2,2,1,2
"Tassí©, Joseph",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1891.02.09 - 1895.01.17 ,1891.02.09 , 1895.01.17 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Murphy, Edward",Liberal-Conservative,Quebec,"Macdonald, John Alexander",1889.05.30 - 1895.12.05 ,1889.05.30 , 1895.12.05 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,9,1,2,2,9,2,2,2,9,9,9,2,1,2,2,1
"Kaulback, Henry Adolphus Newman",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1872.03.27 - 1896.01.08 ,1872.03.27 , 1896.01.08 ,(Death),1,2,9,9,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1
"GuíÂvremont, Jean-Baptiste",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1896.06.14 ,1867.10.23 , 1896.06.14 ,(Resignation),2,9,1,9,2,2,2,1,1,9,2,9,9,2,2,9,1,9,9,1,1,2,2,9,9,9,1,9,9,2,2,2,9,2,9,9,9,1,9,2,2
"Read, Robert",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.24 - 1896.06.29 ,1871.02.24 , 1896.06.29 ,(Death),2,1,1,2,1,1,1,1,9,9,9,2,2,1,1,2,1,1,1,2,2,9,2,1,2,2,2,2,2,1,2,1,1,1,1,2,9,1,1,9,1
"Macpherson, David Lewis",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1896.08.16 ,1867.10.23 , 1896.08.16 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"McClelan, Abner Reid",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1896.12.09 ,1867.10.23 , 1896.12.09 ,(Resignation),9,1,2,1,2,2,9,1,9,1,2,1,9,1,2,9,2,2,2,2,2,9,9,1,2,1,2,1,1,9,9,1,1,1,1,9,1,1,1,1,2
"Robitaille, Thí©odore",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1885.01.29 - 1897.08.17 ,1885.01.29 , 1897.08.17 ,(Death),9,2,1,2,1,9,9,9,9,2,9,2,2,9,1,9,9,1,9,1,1,2,2,9,1,2,9,2,2,1,2,2,2,2,2,1,2,1,1,9,9
"McInnes, Thomas Robert",Independent,British Columbia,"Macdonald, John Alexander",1881.12.24 - 1897.11.18 ,1881.12.24 , 1897.11.18 ,(Resignation),1,1,2,1,2,2,2,2,1,2,1,1,9,9,9,9,2,9,9,9,9,9,9,1,2,1,2,2,2,9,1,1,9,9,2,1,2,9,1,9,2
"Deblois, Pierre Antoine",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1883.02.13 - 1898.06.21 ,1883.02.13 , 1898.06.21 ,(Death),2,2,1,2,9,2,2,1,1,2,2,9,2,2,1,9,1,1,1,1,1,2,2,9,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2
"MacFarlane, Alexander",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1870.10.10 - 1898.12.14 ,1870.10.10 , 1898.12.14 ,(Death),9,1,9,9,9,2,1,2,1,2,2,2,2,1,1,1,2,1,1,9,9,9,9,9,2,2,2,1,2,1,9,1,9,9,9,9,9,9,9,9,9
"Sutherland, John",Independent Conservative,Manitoba,"Macdonald, John Alexander",1871.12.13 - 1899.04.13 ,1871.12.13 , 1899.04.13 ,(Resignation),1,1,1,2,9,1,1,2,1,1,2,2,2,1,1,2,1,1,1,9,9,9,9,9,2,9,2,9,2,1,1,1,2,1,1,1,9,1,9,9,9
"Boulton, Charles Arkoll",Liberal-Conservative,Manitoba,"Macdonald, John Alexander",1889.12.10 - 1899.05.15 ,1889.12.10 , 1899.05.15 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,2,2,2,9,2,1,9,9,9,9,9,9,9,9,9
"Sanford, William Eli",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.02.08 - 1899.07.10 ,1887.02.08 , 1899.07.10 ,(Death),2,1,9,9,9,9,1,2,1,1,9,2,2,1,1,9,9,9,1,1,2,9,1,2,1,1,2,9,2,1,9,1,2,1,1,1,9,1,9,9,9
"Bellerose, Joseph Hyacinthe",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.07 - 1899.08.13 ,1873.10.07 , 1899.08.13 ,(Death),2,9,2,9,2,2,2,1,1,2,9,9,1,2,2,9,2,9,9,9,9,9,9,1,1,9,9,9,9,2,2,2,9,2,2,9,2,2,2,9,9
"Price, Evans John",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1888.12.01 - 1899.08.30 ,1888.12.01 , 1899.08.30 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Smith, Frank",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.02 - 1900.01.01 ,1871.02.02 , 1900.01.01 ,(Resignation),2,9,1,2,1,1,1,2,1,9,9,2,2,9,1,9,9,1,1,9,9,9,9,9,1,2,1,2,2,1,2,9,2,9,9,1,9,1,2,2,1
"Lewin, James Davies",Liberal Party of Canada,New Brunswick,"Mackenzie, Alexander",1876.11.10 - 1900.03.11 ,1876.11.10 , 1900.03.11 ,(Death),1,1,2,1,9,1,1,2,9,9,9,9,1,1,2,1,2,2,2,9,9,9,9,9,2,1,2,2,2,1,2,2,1,1,1,2,1,9,9,9,9
"MacInnes, Donald",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1881.12.24 - 1900.12.02 ,1881.12.24 , 1900.12.02 ,(Death),9,1,9,9,1,9,9,9,1,1,2,2,2,1,9,9,9,1,1,1,1,2,2,2,1,9,9,9,2,1,2,1,9,1,1,1,2,1,2,9,1
"Reesor, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1901.01.01 ,1867.10.23 , 1901.01.01 ,(Resignation),9,9,2,1,9,1,9,9,1,1,2,9,9,9,2,1,2,2,9,2,2,9,2,1,9,9,2,2,1,1,2,1,9,1,1,9,2,1,9,1,2
"Ogilvie, Alexander Walker",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1881.12.24 - 1901.01.18 ,1881.12.24 , 1901.01.18 ,(Resignation),2,1,9,9,9,1,1,2,9,1,9,2,9,9,2,2,1,1,1,1,1,2,1,9,9,9,1,9,9,9,9,9,2,9,1,9,9,9,9,2,1
"McKindsey, George Crawford",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1884.01.11 - 1901.02.12 ,1884.01.11 , 1901.02.12 ,(Death),2,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,9,2,9,2,1,2,1,9,1,1,1,2,1,2,2,1
"Almon, William Johnston",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1879.04.15 - 1901.02.18 ,1879.04.15 , 1901.02.18 ,(Death),1,1,2,1,1,1,2,1,1,1,9,9,9,2,1,9,1,1,1,1,1,2,2,9,1,1,1,2,2,1,2,9,9,2,2,2,1,1,9,2,1
"Ross, John Jones",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1887.04.12 - 1901.05.04 ,1887.04.12 , 1901.05.04 ,(Death),9,2,1,2,9,9,2,1,1,2,9,2,9,9,1,2,2,1,1,1,1,2,2,2,9,9,9,9,9,9,9,9,2,2,2,9,2,1,9,9,2
"Allan, George William",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1901.07.24 ,1867.10.23 , 1901.07.24 ,(Death),2,1,1,2,1,1,9,2,9,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Prowse, Samuel",Liberal-Conservative,Prince Edward Island,"Macdonald, John Alexander",1889.09.14 - 1902.01.14 ,1889.09.14 , 1902.01.14 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,2,2,1,2,1,1,2,9,1,1,1,2,2,1
"Clemow, Francis",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1885.02.03 - 1902.05.28 ,1885.02.03 , 1902.05.28 ,(Death),9,1,1,2,1,1,1,2,1,9,1,9,2,1,1,2,2,1,1,9,9,9,9,9,2,1,2,2,9,1,2,1,1,2,9,1,9,1,9,2,2
"O'Donohoe, John",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1882.05.21 - 1902.12.07 ,1882.05.21 , 1902.12.07 ,(Death),2,2,9,9,9,1,9,1,9,9,9,1,9,2,2,1,2,1,2,2,2,1,1,1,1,1,1,9,9,2,9,2,9,2,2,9,2,9,9,1,2
"Armand, Joseph Franí_ois",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1903.01.01 ,1867.10.23 , 1903.01.01 ,(Death),2,9,2,1,2,2,2,9,9,2,1,1,1,2,2,1,2,2,9,2,2,9,2,1,1,2,1,9,9,2,2,2,9,9,9,9,2,2,2,1,2
"McCallum, Lachlin",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1887.02.04 - 1903.01.13 ,1887.02.04 , 1903.01.13 ,(Death),1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,9,1,1,1,1,1,2,2,1,2,9,2,2,2,9,1,1,9,2,2,1,2,1,1,9,1
"Masson, Louis-Franí_ois-Rodrigue",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1890.02.03 - 1903.06.11 ,1890.02.03 , 1903.06.11 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,2,9,1,2,1,9,9,9
"Dickey, Robert Barry",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1903.07.14 ,1867.10.23 , 1903.07.14 ,(Death),1,2,2,2,1,2,9,2,1,2,2,2,2,1,9,2,2,9,1,9,9,9,9,9,2,1,9,2,9,1,2,9,1,1,1,2,2,1,9,9,9
"Cochrane, Matthew Henry",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1872.10.17 - 1903.08.12 ,1872.10.17 , 1903.08.12 ,(Death),9,9,9,9,9,1,1,2,9,1,9,9,9,1,1,9,1,1,1,1,1,2,2,9,1,9,1,9,2,9,9,9,9,1,1,1,9,1,2,2,1
