Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H06S1V001,H06S1V002,H06S1V003,H06S1V004,H06S1V005,H06S1V006,H06S1V007,H06S1V008,H06S1V009,H06S1V010,H06S1V011,H06S1V012,H06S1V013,H06S1V014,H06S1V015,H06S1V016,H06S1V017,H06S1V018,H06S1V019,H06S1V020,H06S1V021,H06S2V001,H06S2V002,H06S2V003,H06S2V004,H06S2V005,H06S2V006,H06S2V007,H06S2V008,H06S2V009,H06S2V010,H06S2V011,H06S2V012,H06S2V013,H06S2V014,H06S2V015,H06S2V016,H06S2V017,H06S2V018,H06S2V019,H06S3V001,H06S3V002,H06S3V003,H06S3V004,H06S3V005,H06S3V006,H06S3V007,H06S3V008,H06S3V009,H06S3V010,H06S3V011,H06S3V012,H06S3V013,H06S3V014,H06S3V015,H06S3V016,H06S3V017,H06S3V018,H06S3V019,H06S3V020,H06S3V021,H06S3V022,H06S3V023,H06S3V024,H06S3V025,H06S3V026,H06S3V027,H06S3V028,H06S3V029,H06S3V030,H06S3V031,H06S3V032,H06S3V033,H06S3V034,H06S3V035,H06S3V036,H06S3V037,H06S3V038,H06S3V039,H06S3V040,H06S3V041,H06S3V042,H06S3V043,H06S3V044,H06S3V045,H06S3V046,H06S4V001,H06S4V002,H06S4V003,H06S4V004,H06S4V005,H06S4V006,H06S4V007,H06S4V008,H06S4V009,H06S4V010,H06S4V011,H06S4V012,H06S4V013,H06S4V014,H06S4V015,H06S4V016,H06S4V017,H06S4V018,H06S4V019,H06S4V020,H06S4V021,H06S4V022,H06S4V023,H06S4V024,H06S4V025,H06S4V026,H06S4V027,H06S4V028,H06S4V029,H06S4V030,H06S4V031,H06S4V032,H06S4V033,H06S4V034,H06S4V035,H06S4V036
268,HAMILTON,Ontario,1867 - 1903,6,1887.02.22,116,09eeda34-2fe2-4a86-8a0f-4e1cdb66b2f0,"BROWN, Adam",3574,0.2561,Conservative (1867-1942),Grocery wholesaler,Protestant,0,1,,,,,,,,,Scotland,,,,1,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,2,2,9,9,9,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,9,9,9,9,2,2,9,2,2,2,2,2,2,2,2,2,1,2,2,9,9,1,2,2,2,1,2,1,2,2,2,2,1,2,9,2,1,9,2,9,9,9,9,9,9,1,2,2,2,2,2,1,1,2,2
805,WENTWORTH SOUTH,Ontario,1867 - 1903,6,1887.02.22,151,0c141eac-6741-4958-b45b-6edcb8e6d104,"CARPENTER, F.M.",1839,0.5251,Conservative (1867-1942),Farmer,Protestant,0,1,,,,,,,,,,,,,2,1,1,2,1,2,2,1,2,2,1,2,1,9,2,2,2,2,1,9,1,2,2,1,1,2,1,9,2,2,2,1,2,1,2,2,9,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,9,9,2,1,2,2,1,2,2,2,9,9,9,9,9,2,2,2,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,2,2,1,2,1,2,2,9,9,9,2,1,2,1,9,2,2,2,2,1,1,2,9,9,9,2,2,2,9,9,2,2
766,VAUDREUIL,Quebec,1867 - 1914,6,1887.02.22,161,0cc41825-896c-4e1a-8082-ff790da9909e,"MCMILLAN, H.",996,0.5599,Conservative (1867-1942),Merchant,Catholic,0,2,,,,,,,,,,,,,2,2,2,1,1,2,2,1,2,2,9,9,9,2,2,1,2,2,2,9,9,2,2,1,1,2,1,1,1,2,9,9,9,2,2,2,9,2,2,9,2,2,2,2,9,1,9,2,1,2,1,2,9,9,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,9,2,9,2,2,2,2,2,2,2,2,2,9,9,9,2,9,1,9,9,9,2,1,1,2,1,2,9,1,1,2,2,1,2,1,1,2,2,1,2,9,2,2,2,1,9,2,9,2,9,9,2,2
723,TERREBONNE,Quebec,1867 - 1996,6,1887.02.22,184,0e5bb281-0344-4060-bcb6-c2299a00b883,"CHAPLEAU, Hon. J.A.",1819,0.6376,Conservative (1867-1942),"Lawyer, professor",Fr.Catholic,1,2,,1,,,,,,,,,,,9,2,2,1,1,2,2,1,2,2,1,9,9,2,9,9,9,9,9,2,2,2,2,1,1,2,9,1,9,2,9,9,9,9,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,2,9,2,2,2,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,1,2,2,2,2,9,1,2,2,2,2,1,1,2,2
263,HALIFAX,Nova Scotia,1867 - ,6,1887.02.22,189,0e9e71cb-f8f5-40a6-b1c4-39c739b806c6,"KENNY, Thomas Edward",4181,0.2515,Conservative (1867-1942),Merchant,Catholic,0,1,,,,,,,,,,,,,2,2,2,1,1,2,2,1,9,2,1,2,1,2,1,1,2,2,2,9,9,2,9,9,1,2,1,9,1,2,2,1,2,9,2,2,9,2,9,9,9,9,9,9,9,2,2,2,1,2,9,1,2,1,2,1,2,2,9,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,9,9,9,9,9,9,1,2,1,2,9,1,1,2,2,1,2,1,1,9,9,1,2,9,1,2,9,9,2,2,2,2,1,1,2,9
578,QUEBEC COUNTY,Quebec,1867 - 1924,6,1887.02.22,197,0f4d2c30-e6ab-43ec-9847-0a7006e3877d,"CARON, Hon. Sir A.P.",1451,0.549,Conservative (1867-1942),Lawyer,Fr.Catholic,1,5,,1,,,,,,,,,,,2,2,2,1,1,2,2,1,2,2,1,2,1,9,1,1,2,2,9,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,2,1,2,2,9,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,9,9,9,9,9,1,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2
139,CHATEAUGUAY,Quebec,1867 - 1914,6,1887.02.22,214,10399aca-125f-49e8-936b-fb370c559e17,"HOLTON, Edward",1120,0.5935,Liberal Party of Canada,Lawyer,Protestant,0,3,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,1,1,9,2,9,1,1,2,2,1,2,2,2,1,1,2,1,9,1,1,1,1,1,1,1,9,9,9,1,2,2,2,2,1,2,1,9,1,1,2,1,2,2,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,1,1,2,1,1,1,1,2,9,9,1,1,9,2,1,2,1,2,2,1,2,9,9,1,1,9,1,9,2,2,1,9,1,1,9,9,2,9,9,1,1
446,MISSISQUOI,Quebec,1867 - 1924,6,1887.02.22-1888.03.03,218,10913dd5-8c99-4fe8-803f-22455e593cc2,"CLAYES, George",1590,0.484,Liberal Party of Canada,"Farmer, merchant",Protestant,0,1,,,,,,,,,United States,Died in office: 1888.03.03,,,2,2,2,9,2,1,1,2,9,1,9,1,2,1,2,2,1,1,1,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
458,MONTMORENCY,Quebec,1867 - 1914,6,1887.02.22-1890.06.10,229,115fd4bc-1ad3-4362-8e38-bd5098bb8b85,"LANGELIER, Charles",939,0.5003,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,Resignation. Enters provincial politics in Quebec: 1890.06.10,,,9,9,9,9,9,9,1,2,1,1,1,1,2,9,9,9,1,2,9,2,9,1,1,2,2,9,9,9,9,9,1,2,9,9,9,1,1,1,9,9,1,1,1,1,9,9,9,9,9,9,1,2,1,2,1,2,1,9,9,9,9,9,9,9,9,9,9,1,1,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,2,9,2,9,1,9,9,9,9,9,9,9,9,9,9,9,2,9,9,1,9
316,JOLIETTE,Quebec,1867 - 1933,6,1889.01.16,283,151c2390-5e57-4e70-b529-aad00799596b,"NEVEU, Hilaire",,,Nationalist,Farmer,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,1,1,1,2,2,2,9,1,2,1,9,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,9,1,2,9,9,2,2,1,9,9,9,9,9,1,9,9,2,2,1,1,1
626,RUSSELL,Ontario,1867 - 1966,6,1887.02.22- and 1888.05.07,314,1731ef95-36db-4e61-9a7f-e27e0ed02f1c,"EDWARDS, William Cameron",2301,0.5174,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,1,,,,,,,,,,Unseated : —,,,9,9,9,9,9,1,1,2,1,1,2,1,2,1,2,2,1,1,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,1,1,1,1,1,1,2,2,1,2,9,9,9,9,2,1,9,1,2,9,9,1,9,9,1,1,1,1,1,9,9,9,1,1,9,1,9,9,9,9,9,9,1,1,2,1,9,9,9,9,1,1,9,1,1,2,1,9,9,9,9,1,2,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
606,RICHELIEU,Quebec,1867 - 1933,6,1887.02.22- and 1889.05.01,320,17782039-66e0-4310-afd8-fb1535c9ffa1,"LABELLE, Jean-Bte.",1618,0.5091,Conservative (1867-1942),"Passenger agent, ship captain",Fr.Catholic,1,1,,,,,,,,,,Died in office: +/- 1889.05.01,,,2,2,2,1,1,2,2,1,2,9,9,2,1,9,1,1,1,2,9,9,9,9,2,1,9,1,1,1,1,2,2,1,9,9,2,9,9,9,9,9,9,2,2,2,2,9,1,2,1,2,1,2,2,1,2,2,2,2,9,2,2,2,9,2,2,2,9,2,9,9,2,2,2,2,9,9,9,9,9,9,9,2,2,1,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
338,KING'S COUNTY,Prince Edward Island,1873 - 1892,6,1887.02.22,324,178f6e95-1d83-4a0f-a21d-463582b01803,"ROBERTSON, James Edwin",2434,0.2531,Liberal Party of Canada,Physician,Protestant,0,2,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,9,2,1,1,2,1,1,9,9,9,9,9,9,1,1,1,1,1,9,2,9,2,1,2,1,9,1,1,2,1,2,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,9,1,2,2,1,2,1,1,2,2,1,9,2,1,1,1,9,9,9,9,9
278,HASTINGS NORTH,Ontario,1867 - 1903,6,1887.02.22,338,1871c43c-bda4-464a-949f-e8206ed0d673,"BOWELL, Hon. M.",1723,0.7164,Conservative (1867-1942),"Editor, printer",Protestant,0,6,,1,,,,,,,England,,,,1,1,1,2,1,2,2,1,2,2,1,2,1,9,2,2,2,2,1,2,1,2,2,1,1,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,9,1,2,2,2,2,1,9,2,2,2,2,1,1,2,2
107,CAPE BRETON,Nova Scotia,1867 - 1903,6,1887.02.22,340,187e22aa-11df-4338-87fc-4098c90e4863,"MCKEEN, David",1873,0.2186,Conservative (1867-1942),Merchant,Protestant,0,1,,,,,,,,,,,,,2,1,2,1,1,2,2,1,9,9,9,2,1,9,9,9,9,9,9,9,9,2,2,1,1,2,1,9,9,2,2,1,2,1,9,9,9,9,9,9,2,2,2,2,2,2,9,2,2,2,2,1,9,1,2,2,2,2,1,2,2,2,2,2,2,2,9,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,9,2,2,1,9,1,1,2,9,2,2,2,2,2,9,9,9,9
215,ESSEX NORTH,Ontario,1882 - 1924,6,1887.02.22,359,1a95f1d0-625b-495f-ac74-a980d1aa55e1,"PATTERSON, J.C.",2301,0.5152,Conservative (1867-1942),Lawyer,Protestant,0,3,,,,,,,,,Ireland,,,,2,2,2,1,2,9,2,1,2,2,1,1,2,9,1,1,2,2,9,2,2,2,2,1,1,2,9,1,9,9,2,1,2,9,9,2,2,2,2,9,2,9,9,9,9,1,9,9,9,9,2,9,2,9,2,9,2,2,9,2,2,2,9,2,9,9,9,2,2,9,9,2,9,9,9,2,2,2,2,2,2,9,9,9,2,9,1,9,9,9,2,9,9,9,1,9,1,9,9,9,2,9,9,1,9,2,1,1,2,2,2,2,9,1,2,2,9,2,1,9,9,2
485,NICOLET,Quebec,1867 - 1933,6,1888.07.17,361,1acdbad2-ae1f-455e-b5ba-26f225b41417,"BOISVERT, Fabien",1582,0.5185,Independent Conservative,Farmer,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,1,2,1,9,2,2,2,1,2,2,2,2,1,2,9,9,2,1,1,2,2
16,ANTIGONISH,Nova Scotia,1867 - 1914,6,1887.02.22,376,1b8a9dea-475a-476c-b45c-1bd8af526c32,"THOMPSON, Hon. J.S.D.",1247,0.5081,Liberal-Conservative,"Lawyer, lecturer",Catholic,0,2,,1,,,,,,,,,,,2,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,9,9,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,1,2,9,2,2,2,1,2,1,2,2,1,1,2,2,1,2,9,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2
3,ADDINGTON,Ontario,1867 - 1903,6,1887.02.22,386,1c89bc6d-e6bf-4760-a92e-77a8638970ee,"BELL, John W.",1927,0.5563,Conservative (1867-1942),"Farmer, teacher",Protestant,0,2,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,1,1,9,9,2,2,1,9,9,9,9,9,9,9,9,9,2,2,2,2,9,2,2,1,2,2,1,2,1,2,2,9,1,1,2,9,2,2,2,2,2,2,2,9,2,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,2,2,2,9,1,2,1,2,2,1,2,1,9,1,9,2,9,9,9,1,1,9,9,9,2,2,2,9,9,9,2,2
24,ASSINIBOIA EAST,Northwest Territories,1886 - 1905,6,1888.09.12,402,1db74329-c89a-49b4-b798-7de2e61447e7,"DEWDNEY, Edgar",accl.,,Conservative (1867-1942),"Civil engineer, land surveyor",Protestant,0,4,,1,,,,,,,England,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,9,2,2,9,9,9,2,2,1,2,1,2,1,2,2,1,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2,9,1,9,2,2
452,MONCK,Ontario,1867 - 1892,6,1887.02.22,457,2150d2b3-8b91-4368-84a4-0f46fbc571db,"BOYLE, Arthur",1816,0.5139,Conservative (1867-1942),Grocer,Protestant,0,1,,,,,,,,,,,,,1,1,1,2,1,2,2,1,2,2,1,1,2,1,2,2,1,1,9,2,1,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,1,9,1,2,1,9,2,1,2,9,2,2,2,2,2,2,2,2,9,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,2,2,9,9,9,9,2,2,2,1,9,9,2,1,9,9,1,2,2,2,2,1,9,9,2,2,2,2,1,2,2,2
