Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S17S2V01,S17S2V02,S17S2V03,S17S2V04,S17S2V05,S17S3V01,S17S3V02,S17S3V03,S17S4V01,S17S4V02,S17S4V03,S17S4V04,S17S5V01,S17S5V02,S17S5V03,S17S5V04,S17S5V05,S17S5V06
"Hatfield, Paul Lacombe",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1926.10.07 - 1935.01.28 ,1926.10.07 , 1935.01.28 ,(Death),1,9,9,1,1,2,9,9,9,9,2,9,2,9,9,9,2,9
"Bí©land, Henri Sí©ví©rin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1925.09.05 - 1935.04.22 ,1925.09.05 , 1935.04.22 ,(Death),9,9,9,9,9,1,9,9,9,1,1,2,9,9,9,9,9,9
"Martin, Peter Francis",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.12.05 - 1935.05.02 ,1921.12.05 , 1935.05.02 ,(Death),2,9,9,2,9,1,9,1,9,9,9,9,9,9,9,9,9,9
"Lewis, John",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.05 - 1935.05.18 ,1925.09.05 , 1935.05.18 ,(Death),1,2,1,1,1,1,1,2,9,1,1,2,9,2,9,1,2,9
"Schaffner, Frederick Laurence",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.10.23 - 1935.05.22 ,1917.10.23 , 1935.05.22 ,(Death),1,9,9,2,2,2,9,1,1,9,9,9,2,2,2,2,1,9
"Murphy, Charles",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.05 - 1935.11.24 ,1925.09.05 , 1935.11.24 ,(Death),9,9,9,9,9,9,9,9,9,1,1,9,1,1,1,1,2,9
"Planta, Albert",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.06.26 - 1935.12.11 ,1917.06.26 , 1935.12.11 ,(Resignation),1,9,2,2,2,9,9,1,9,1,1,1,1,9,9,9,1,1
"McLean, John",Conservative (1867-1942),Prince Edward Island,"Borden, Robert Laird",1915.12.03 - 1936.02.20 ,1915.12.03 , 1936.02.20 ,(Death),1,9,9,9,9,2,1,1,1,2,2,9,9,9,9,9,9,9
"McCormick, John",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.09.21 - 1936.02.21 ,1921.09.21 , 1936.02.21 ,(Death),1,2,9,2,2,2,1,1,1,2,9,1,2,9,9,9,1,1
"Fortin, íŠmile",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1935.08.14 - 1936.05.18 ,1935.08.14 , 1936.05.18 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Burns, Patrick",Independent,Alberta,"Bennett, Richard Bedford",1931.07.06 - 1936.06.01 ,1931.07.06 , 1936.06.01 ,(Resignation),99,99,9,9,9,9,9,9,2,1,9,1,1,9,9,9,9,9
"White, Richard Smeaton",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.30 - 1936.12.17 ,1917.07.30 , 1936.12.17 ,(Death),9,2,9,2,2,9,9,1,2,1,9,9,1,1,2,1,1,9
"Hocken, Horatio Clarence",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1933.12.30 - 1937.02.18 ,1933.12.30 , 1937.02.18 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,9,1
"Lemieux, Rodolphe",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1937.09.28 ,1930.06.03 , 1937.09.28 ,(Death),9,2,1,9,9,2,2,2,9,9,9,9,1,9,9,9,9,9
"Arthurs, James",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1935.07.20 - 1937.10.07 ,1935.07.20 , 1937.10.07 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bí©nard, Aimí©",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.09.03 - 1938.01.08 ,1917.09.03 , 1938.01.08 ,(Death),9,1,9,2,2,1,1,9,9,1,1,1,9,9,9,9,1,1
"Fripp, Alfred Ernest",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1933.12.30 - 1938.03.25 ,1933.12.30 , 1938.03.25 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,9,1,2,1,9,9
"Tobin, Edmund William",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1938.06.24 ,1930.06.03 , 1938.06.24 ,(Death),9,9,1,9,9,9,2,2,9,9,9,9,1,1,1,1,9,9
"Brown, Albert Joseph",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1932.10.06 - 1938.11.16 ,1932.10.06 , 1938.11.16 ,(Death),99,99,99,99,99,99,99,99,2,1,9,9,9,1,9,9,9,9
"Wilson, Joseph-Marcellin",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1911.05.03 - 1939.01.01 ,1911.05.03 , 1939.01.01 ,(Resignation),9,2,1,9,9,2,1,2,9,9,9,2,9,9,9,9,9,9
"Casgrain, Joseph Philippe Baby",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1900.01.29 - 1939.01.06 ,1900.01.29 , 1939.01.06 ,(Death),2,1,1,9,1,9,9,9,2,1,1,9,1,1,9,9,2,9
"Spence, James Houston",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1939.02.21 ,1928.01.10 , 1939.02.21 ,(Death),1,2,1,1,2,2,2,2,9,2,2,2,9,2,2,2,9,9
"McLennan, John Stewart",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1916.02.10 - 1939.09.15 ,1916.02.10 , 1939.09.15 ,(Death),2,1,2,2,2,9,1,1,2,1,1,2,9,2,1,1,1,9
"Macdonell, Archibald Hayes",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.11.07 - 1939.11.12 ,1921.11.07 , 1939.11.12 ,(Death),2,9,9,9,9,9,9,1,2,1,1,9,9,2,2,1,1,9
"Gillis, Archibald Beaton",Conservative (1867-1942),Saskatchewan,"Meighen, Arthur",1921.10.17 - 1940.01.18 ,1921.10.17 , 1940.01.18 ,(Death),9,2,2,2,2,2,1,1,1,2,2,9,2,1,2,2,1,9
"Lynch-Staunton, George",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.01.20 - 1940.03.19 ,1917.01.20 , 1940.03.19 ,(Death),9,9,9,9,9,1,2,9,2,1,1,9,9,9,2,1,9,9
"Bourgeois, Charles",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1935.08.15 - 1940.05.15 ,1935.08.15 , 1940.05.15 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Fauteux, Guillaume-Andrí©",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1933.12.30 - 1940.09.10 ,1933.12.30 , 1940.09.10 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,9,9,1,1,9,1
"Laird, Henry Willoughby",Conservative (1867-1942),Saskatchewan,"Borden, Robert Laird",1917.01.31 - 1940.09.30 ,1917.01.31 , 1940.09.30 ,(Death),1,9,2,2,2,9,1,1,9,9,9,9,1,1,2,1,1,9
"Hughes, James Joseph",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1925.09.05 - 1941.03.05 ,1925.09.05 , 1941.03.05 ,(Death),1,9,9,9,9,2,1,2,1,2,2,9,2,9,9,9,1,2
"Taylor, James Davis",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.10.23 - 1941.05.11 ,1917.10.23 , 1941.05.11 ,(Death),2,9,2,2,2,9,2,1,2,1,1,9,1,9,9,9,1,9
"L'Espí©rance, David Ovide",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.26 - 1941.08.31 ,1917.07.26 , 1941.08.31 ,(Death),9,9,2,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9
"McMeans, Lendrum",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.07.26 - 1941.09.13 ,1917.07.26 , 1941.09.13 ,(Death),1,1,2,2,2,9,2,1,2,1,1,9,1,9,9,9,1,9
"Webster, Lorne Campbell",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1920.01.10 - 1941.09.27 ,1920.01.10 , 1941.09.27 ,(Death),9,9,9,2,9,9,9,9,9,9,9,1,2,9,9,9,1,9
"Horsey, Henry Herbert",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.12.14 - 1942.01.06 ,1928.12.14 , 1942.01.06 ,(Death),1,2,1,1,2,2,2,9,1,2,2,2,9,2,9,9,9,9
"Meighen, Arthur",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1932.03.02 - 1942.01.16 ,1932.03.02 , 1942.01.16 ,(Resignation),99,99,99,99,99,2,1,1,1,2,2,1,2,1,2,2,1,1
"Gordon, George",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1912.10.17 - 1942.02.03 ,1912.10.17 , 1942.02.03 ,(Death),1,9,2,2,2,2,9,1,9,9,2,9,9,9,9,9,9,9
"Dandurand, Raoul",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1898.01.22 - 1942.03.11 ,1898.01.22 , 1942.03.11 ,(Death),1,2,1,9,1,2,1,2,1,2,2,2,9,1,1,2,2,2
"Rhodes, Edgar Nelson",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1935.07.20 - 1942.03.15 ,1935.07.20 , 1942.03.15 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Rainville, Joseph Hormisdas",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1932.10.06 - 1942.04.14 ,1932.10.06 , 1942.04.14 ,(Death),99,99,99,99,99,99,99,99,2,1,1,9,1,9,1,1,9,9
"Sharpe, William Henry",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1916.02.10 - 1942.04.19 ,1916.02.10 , 1942.04.19 ,(Death),2,1,2,1,2,1,1,1,2,9,1,9,2,1,2,2,1,1
"Parent, Georges",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1942.12.14 ,1930.06.03 , 1942.12.14 ,(Death),9,9,9,9,9,2,9,2,9,1,2,2,1,9,9,9,2,2
"Graham, George Perry",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1926.12.20 - 1943.01.01 ,1926.12.20 , 1943.01.01 ,(Death),1,2,1,2,1,9,2,2,1,9,2,2,2,1,9,9,2,2
"CíÇtí©, Louis",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1933.12.30 - 1943.02.02 ,1933.12.30 , 1943.02.02 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,1,1,9,9,1,1
"Prí©vost, Jules-íŠdouard",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1943.10.13 ,1930.06.03 , 1943.10.13 ,(Death),2,2,1,1,1,9,9,2,2,1,1,2,1,1,1,1,2,9
"Blondin, Pierre íŠdouard",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1918.07.20 - 1943.10.29 ,1918.07.20 , 1943.10.29 ,(Death),9,9,9,2,9,9,9,9,2,1,1,1,1,9,1,1,1,1
"Little, Edgar Sydney",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1943.12.22 ,1928.01.10 , 1943.12.22 ,(Death),1,2,1,1,2,2,9,2,9,9,9,2,2,1,1,2,2,2
"MacArthur, Creelman",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1925.09.05 - 1943.12.27 ,1925.09.05 , 1943.12.27 ,(Death),1,9,1,1,2,2,9,2,1,2,2,9,9,2,2,2,9,2
"Sauví©, Arthur",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1935.07.20 - 1944.02.06 ,1935.07.20 , 1944.02.06 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Pope, Rufus Henry",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1911.11.14 - 1944.05.16 ,1911.11.14 , 1944.05.16 ,(Death),2,1,2,2,2,1,1,1,2,1,1,9,1,9,1,1,9,9
"Smith, Benjamin Franklin",Conservative (1867-1942),New Brunswick,"Bennett, Richard Bedford",1935.08.14 - 1944.05.19 ,1935.08.14 , 1944.05.19 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Robinson, Clifford William",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1924.05.05 - 1944.07.27 ,1924.05.05 , 1944.07.27 ,(Death),1,2,1,9,9,9,2,9,9,1,2,9,1,9,1,1,9,9
"Turgeon, Oní©siphore",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1922.10.27 - 1944.11.18 ,1922.10.27 , 1944.11.18 ,(Death),9,9,9,9,9,2,9,9,9,1,1,9,9,1,2,1,2,9
"Logan, Hance James",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1929.02.05 - 1944.12.26 ,1929.02.05 , 1944.12.26 ,(Death),1,2,1,1,9,9,1,9,9,9,1,2,9,9,2,1,2,9
"Griesbach, William Antrobus",Conservative (1867-1942),Alberta,"Meighen, Arthur",1921.09.15 - 1945.01.21 ,1921.09.15 , 1945.01.21 ,(Death),2,1,2,2,2,9,9,9,9,9,9,1,2,1,9,9,1,9
"Cantley, Thomas",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1935.07.20 - 1945.02.24 ,1935.07.20 , 1945.02.24 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Black, Frank Bunting",Conservative (1867-1942),New Brunswick,"Meighen, Arthur",1921.11.25 - 1945.02.28 ,1921.11.25 , 1945.02.28 ,(Death),9,1,2,9,9,1,9,1,2,1,9,9,1,1,2,1,1,9
"Macdonald, John Alexander",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1932.03.02 - 1945.06.11 ,1932.03.02 , 1945.06.11 ,(Death),99,99,99,99,99,1,9,1,9,9,2,9,9,1,1,1,1,9
"Barnard, George Henry",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.10.23 - 1945.11.08 ,1917.10.23 , 1945.11.08 ,(Resignation),2,9,9,9,9,1,1,1,2,1,1,9,1,1,2,1,1,9
"Smith, Ernest D'Israeli",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1946.01.10 ,1913.05.26 , 1946.01.10 ,(Resignation),9,9,2,2,9,2,1,1,1,9,2,9,2,1,2,2,1,1
"Tanner, Charles Elliott",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1917.01.20 - 1946.01.13 ,1917.01.20 , 1946.01.13 ,(Death),2,1,2,2,2,9,9,1,2,1,1,9,1,1,2,1,1,1
"McRae, Alexander Duncan",Conservative (1867-1942),British Columbia,"Bennett, Richard Bedford",1931.09.04 - 1946.06.26 ,1931.09.04 , 1946.06.26 ,(Death),99,99,99,99,99,9,2,1,2,1,1,2,1,9,9,9,1,9
"Chapais, Joseph Amable Thomas",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1919.12.31 - 1946.07.15 ,1919.12.31 , 1946.07.15 ,(Death),1,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,1,1
"Green, Robert Francis",Conservative (1867-1942),British Columbia,"Meighen, Arthur",1921.10.03 - 1946.10.05 ,1921.10.03 , 1946.10.05 ,(Death),2,9,2,2,2,9,1,1,2,1,1,9,1,1,2,1,1,9
"Michener, Edward",Conservative (1867-1942),Alberta,"Borden, Robert Laird",1918.02.05 - 1947.06.16 ,1918.02.05 , 1947.06.16 ,(Death),1,9,2,2,2,9,9,1,9,2,9,9,2,1,2,2,1,9
"Harmer, William James",Liberal Party of Canada,Alberta,"Borden, Robert Laird",1918.02.05 - 1947.09.09 ,1918.02.05 , 1947.09.09 ,(Death),2,1,1,1,2,9,9,2,2,1,1,2,1,1,1,1,2,2
"Foster, Walter Edward",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1928.12.06 - 1947.11.14 ,1928.12.06 , 1947.11.14 ,(Death),2,1,1,9,1,2,9,2,9,9,2,9,1,9,9,9,9,9
"Robicheau, Jean-Louis Philippe",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1935.07.20 - 1948.03.01 ,1935.07.20 , 1948.03.01 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Molloy, John Patrick",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1925.10.06 - 1948.03.16 ,1925.10.06 , 1948.03.16 ,(Death),9,1,1,1,9,1,2,9,9,9,9,9,1,1,2,1,9,9
"Riley, Daniel Edward",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1926.06.25 - 1948.04.27 ,1926.06.25 , 1948.04.27 ,(Death),1,2,1,1,2,2,2,2,2,1,9,2,1,1,2,1,9,9
"Donnelly, James J.",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1948.10.20 ,1913.05.26 , 1948.10.20 ,(Death),9,9,2,9,9,9,2,1,9,9,9,9,1,1,2,1,1,1
"White, Gerald Verner",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1919.11.06 - 1948.10.24 ,1919.11.06 , 1948.10.24 ,(Death),2,1,2,2,9,1,1,1,2,1,1,1,1,1,2,1,1,1
"Macdonald, John Alexander",Conservative (1867-1942),Prince Edward Island,"Bennett, Richard Bedford",1935.07.20 - 1948.11.15 ,1935.07.20 , 1948.11.15 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McDonald, John Anthony",Independent,New Brunswick,"Meighen, Arthur",1921.02.17 - 1948.12.12 ,1921.02.17 , 1948.12.12 ,(Death),9,9,9,2,2,9,9,9,2,1,1,9,1,1,2,1,1,1
"Sutherland, Donald",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1935.07.20 - 1949.01.01 ,1935.07.20 , 1949.01.01 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Beaubien, Charles-Philippe",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1915.12.03 - 1949.01.17 ,1915.12.03 , 1949.01.17 ,(Death),1,9,2,9,1,2,1,9,1,2,9,2,2,1,9,9,1,9
"Murdock, James",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1930.03.20 - 1949.05.15 ,1930.03.20 , 1949.05.15 ,(Death),9,2,1,1,2,2,1,9,1,2,9,9,2,2,2,2,1,9
"Copp, Arthur Bliss",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1925.09.25 - 1949.12.05 ,1925.09.25 , 1949.12.05 ,(Death),9,9,1,9,9,9,2,2,1,2,2,9,2,2,2,2,2,9
"Sinclair, John Ewen",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1930.06.07 - 1949.12.23 ,1930.06.07 , 1949.12.23 ,(Death),1,2,1,1,9,2,2,2,9,9,2,9,2,2,2,2,9,9
