Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S14S1V01,S14S1V02,S14S1V03,S14S2V01,S14S2V02,S14S2V03,S14S2V04,S14S2V05,S14S2V06,S14S2V07,S14S2V08,S14S3V01,S14S3V02,S14S3V03,S14S3V04,S14S3V05,S14S3V06,S14S3V07,S14S3V08,S14S4V01,S14S4V02,S14S4V03,S14S4V04,S14S4V05,S14S4V06
"Thorne, William Henry",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1913.07.26 - 1923.07.08 ,1913.07.26 , 1923.07.08 ,(Death),9,9,9,9,1,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Ratz, Valentine",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1909.01.18 - 1924.03.01 ,1909.01.18 , 1924.03.01 ,(Death),2,2,1,2,1,2,2,1,1,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bolduc, Joseph",Nationalist Conservative,Quebec,"Macdonald, John Alexander",1884.10.03 - 1924.08.13 ,1884.10.03 , 1924.08.13 ,(Death),1,1,2,1,1,1,9,1,2,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99
"Fowler, George William",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1917.06.29 - 1924.09.02 ,1917.06.29 , 1924.09.02 ,(Death),9,1,2,9,9,1,1,1,2,2,1,9,9,1,9,9,9,9,9,99,99,99,99,99,99
"CíÇtí©, Jean Lí©on",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1923.08.14 - 1924.09.23 ,1923.08.14 , 1924.09.23 ,(Death),99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,2,1,9,9,99,99,99,99,99,99
"Yeo, John",Liberal Party of Canada,Prince Edward Island,"Laurier, Wilfrid",1898.11.19 - 1924.12.14 ,1898.11.19 , 1924.12.14 ,(Death),9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99
"Murphy, Patrick Charles",Conservative (1867-1942),Prince Edward Island,"Borden, Robert Laird",1912.11.20 - 1925.03.06 ,1912.11.20 , 1925.03.06 ,(Death),9,1,2,1,1,1,9,1,2,1,9,9,1,1,1,2,2,9,9,99,99,99,99,99,99
"Bennett, William Humphrey",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.11.13 - 1925.03.15 ,1917.11.13 , 1925.03.15 ,(Death),1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,99,99,99,99,99,99
"McCall, Alexander",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1925.06.10 ,1913.05.26 , 1925.06.10 ,(Death),9,9,2,2,1,9,1,1,2,1,1,9,1,1,1,2,2,2,1,99,99,99,99,99,99
"DeVeber, Leverett George",Liberal Party of Canada,Alberta,"Laurier, Wilfrid",1906.03.08 - 1925.07.09 ,1906.03.08 , 1925.07.09 ,(Death),2,2,1,9,1,9,2,2,9,9,9,2,2,2,2,2,1,2,9,9,9,9,9,9,9
"O'Brien, Michael John",Liberal Party of Canada,Ontario,"Borden, Robert Laird",1918.09.01 - 1925.09.01 ,1918.09.01 , 1925.09.01 ,(Resignation),9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9
"Bradbury, George Henry",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.12.17 - 1925.09.06 ,1917.12.17 , 1925.09.06 ,(Death),1,1,2,2,1,1,9,9,2,2,9,1,1,1,9,2,2,9,9,9,9,9,9,9,9
"Roche, William",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1910.01.12 - 1925.10.19 ,1910.01.12 , 1925.10.19 ,(Death),2,2,1,9,2,2,2,2,1,1,2,2,2,2,9,2,2,1,2,1,1,9,9,9,9
"Lougheed, James Alexander",Liberal-Conservative,Alberta,"Macdonald, John Alexander",1889.12.10 - 1925.11.02 ,1889.12.10 , 1925.11.02 ,(Death),1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,9,2,2,1,1,2,2,2,1,1
"Mitchell, William",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1904.03.05 - 1926.05.10 ,1904.03.05 , 1926.05.10 ,(Death),2,9,1,9,2,9,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Thibaudeau, Alfred",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1896.08.22 - 1926.08.15 ,1896.08.22 , 1926.08.15 ,(Death),2,2,1,9,2,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,1,1,9,9,9
"David, Laurent-Olivier",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.06.19 - 1926.08.24 ,1903.06.19 , 1926.08.24 ,(Death),2,1,1,1,2,2,2,1,1,9,1,9,1,9,9,1,9,2,2,9,1,9,9,9,2
"Blain, Richard",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.07.26 - 1926.11.27 ,1917.07.26 , 1926.11.27 ,(Death),1,1,2,2,2,1,9,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2
"McHugh, George",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1901.01.21 - 1926.11.28 ,1901.01.21 , 1926.11.28 ,(Death),2,9,1,2,1,2,2,2,1,9,2,2,2,2,9,2,2,1,9,9,1,1,1,2,2
"Pardee, Frederick Forsyth",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.03.11 - 1927.02.04 ,1922.03.11 , 1927.02.04 ,(Death),2,2,1,2,1,9,2,9,1,9,9,9,2,2,9,2,2,9,2,9,1,9,9,9,9
"Montplaisir, Hippolyte",Liberal-Conservative,Quebec,"Macdonald, John Alexander",1891.02.09 - 1927.06.20 ,1891.02.09 , 1927.06.20 ,(Death),2,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,1,2,1,9,9,9,9
"Mulholland, Robert Alexander",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1918.03.12 - 1927.10.01 ,1918.03.12 , 1927.10.01 ,(Death),1,1,2,9,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1
"McCoig, Archibald Blake",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.01.04 - 1927.11.21 ,1922.01.04 , 1927.11.21 ,(Death),9,9,1,2,9,9,2,2,1,9,9,9,9,2,9,9,1,9,2,1,1,9,1,2,9
"Boyer, Gustave Benjamin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1922.03.11 - 1927.12.02 ,1922.03.11 , 1927.12.02 ,(Death),9,9,1,9,9,9,2,2,1,9,1,9,9,1,2,9,9,9,9,9,9,9,9,9,9
"Cloran, Henry Joseph",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.06.30 - 1928.02.08 ,1903.06.30 , 1928.02.08 ,(Death),9,1,1,2,9,9,9,9,1,2,9,2,9,9,9,2,9,9,9,9,9,9,9,9,9
"King, George Gerald",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1896.12.18 - 1928.04.28 ,1896.12.18 , 1928.04.28 ,(Death),9,9,1,2,9,9,2,9,9,9,9,9,2,2,2,9,9,9,9,9,1,9,9,9,9
"Webster, John",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1918.03.12 - 1928.12.01 ,1918.03.12 , 1928.12.01 ,(Death),2,9999,2,2,1,9,1,1,2,2,1,1,9,9,9,2,9,2,9,1,1,2,2,1,1
"Ross, William Benjamin",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1929.01.10 ,1912.11.20 , 1929.01.10 ,(Death),9,9,9,1,1,1,9,1,2,2,1,1,1,1,1,1,9,2,1,1,2,9,2,1,1
"Watson, Robert",Liberal Party of Canada,Manitoba,"Laurier, Wilfrid",1900.01.29 - 1929.05.19 ,1900.01.29 , 1929.05.19 ,(Death),2,1,1,2,1,1,2,1,1,1,2,2,2,2,2,9,9,9,9,1,9,1,1,2,2
"Kemp, Albert Edward",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.11.04 - 1929.08.12 ,1921.11.04 , 1929.08.12 ,(Death),9,9,9,9,9,1,1,1,2,2,1,9,1,1,9,9,9,9,1,9,9,2,2,1,9
"Reid, John Dowsley",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.09.22 - 1929.08.26 ,1921.09.22 , 1929.08.26 ,(Death),1,1,2,9,1,9,1,1,2,2,1,1,1,1,1,2,1,9,1,1,9,2,2,1,1
"Lavergne, Louis",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1910.10.13 - 1930.01.01 ,1910.10.13 , 1930.01.01 ,(Resignation),2,9,9,1,9,2,2,2,1,1,2,2,9,2,9,9,9,9,2,2,1,9,9,9,9
"Prowse, Benjamin Charles",Liberal Party of Canada,Prince Edward Island,"Laurier, Wilfrid",1911.05.05 - 1930.02.22 ,1911.05.05 , 1930.02.22 ,(Death),2,1,9,2,9,1,1,1,9,2,9,2,2,2,9,2,2,9,9,9,9,9,2,1,9
"Dessaulles, Georges-Casimir",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1907.03.12 - 1930.04.19 ,1907.03.12 , 1930.04.19 ,(Death),2,9,1,2,9,2,9,2,1,9,9,9,2,2,9,2,2,9,9,2,9,9,1,2,9
"Bostock, Hewitt",Liberal Party of Canada,British Columbia,"Laurier, Wilfrid",1904.06.06 - 1930.04.28 ,1904.06.06 , 1930.04.28 ,(Death),9,9,9,9,9,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Turriff, John Gillanders",Liberal Party of Canada,Saskatchewan,"Borden, Robert Laird",1918.09.23 - 1930.11.10 ,1918.09.23 , 1930.11.10 ,(Death),1,1,1,9,2,2,2,1,1,2,2,9,9,9,9,9,9,9,9,1,9,9,2,1,9
"Lessard, Prosper-Edmond",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1931.04.11 ,1925.09.05 , 1931.04.11 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Foster, George Green",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.27 - 1931.05.01 ,1917.07.27 , 1931.05.01 ,(Death),9,9,9,9,2,9,1,1,1,2,1,1,1,9,1,1,2,2,1,1,2,2,2,1,9
"Farrell, Edward Matthew",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1910.01.12 - 1931.08.06 ,1910.01.12 , 1931.08.06 ,(Death),2,9,1,9,9,9,2,2,1,1,2,2,2,2,9,2,2,1,2,9,1,9,9,9,9
"Crowe, Sanford Johnston",Unionist (Liberal),British Columbia,"Meighen, Arthur",1921.12.01 - 1931.08.23 ,1921.12.01 , 1931.08.23 ,(Death),1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,9,2,1,9
"Curry, Nathaniel",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1931.10.23 ,1912.11.20 , 1931.10.23 ,(Death),9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9
"Foster, George Eulas Sir",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.09.22 - 1931.12.30 ,1921.09.22 , 1931.12.30 ,(Death),1,1,2,2,2,9,1,1,1,1,1,9,1,1,1,2,2,1,9,1,9,2,2,1,2
"Legris, Joseph Hormisdas",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.02.10 - 1932.03.06 ,1903.02.10 , 1932.03.06 ,(Death),2,2,9,1,9,9,2,2,9,9,9,2,2,2,9,2,1,9,2,9,1,9,9,9,9
"Girroir, Edward Lavin",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1932.05.08 ,1912.11.20 , 1932.05.08 ,(Death),9,1,1,2,9,9,1,9,2,9,9,1,9,9,9,9,2,9,9,9,9,1,2,1,9
"Willoughby, Wellington Bartley",Conservative (1867-1942),Saskatchewan,"Borden, Robert Laird",1917.10.23 - 1932.08.01 ,1917.10.23 , 1932.08.01 ,(Death),1,1,9,1,9,2,1,9,2,9,1,1,9,1,2,9,9,9,9,1,9,2,2,1,1
"Belcourt, Napolí©on Antoine",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1907.11.22 - 1932.08.07 ,1907.11.22 , 1932.08.07 ,(Death),2,1,1,9,9,2,9,1,1,2,1,1,2,2,9,9,9,9,9,2,1,1,1,2,9
"Haydon, Andrew",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1924.03.10 - 1932.11.10 ,1924.03.10 , 1932.11.10 ,(Death),99,99,99,99,99,99,99,99,99,99,99,2,9,9,2,2,2,1,9,1,1,1,1,2,9
"Ross, James Hamilton",Liberal Party of Canada,Saskatchewan,"Laurier, Wilfrid",1904.09.30 - 1932.12.14 ,1904.09.30 , 1932.12.14 ,(Death),2,9,1,9,9,2,2,2,1,1,2,2,2,2,2,2,2,9,2,1,1,1,1,2,9
"Todd, Irving Randall",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1918.03.07 - 1932.12.27 ,1918.03.07 , 1932.12.27 ,(Death),2,2,9,2,1,9,1,1,1,2,1,1,1,1,1,1,2,2,9,1,2,2,9,9,9
"Daniel, John Waterhouse",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1912.03.18 - 1933.01.11 ,1912.03.18 , 1933.01.11 ,(Death),1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,9,2,1,9
"Bureau, Jacques",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1925.09.05 - 1933.01.23 ,1925.09.05 , 1933.01.23 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Robertson, Gideon Decker",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.01.20 - 1933.08.05 ,1917.01.20 , 1933.08.05 ,(Death),1,1,2,9,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,2,2,1,1
"Bí©ique, Frí©dí©ric Liguori",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1902.02.07 - 1933.09.12 ,1902.02.07 , 1933.09.12 ,(Death),2,2,1,2,1,2,2,9,1,1,1,1,9,9,9,9,9,9,2,2,1,9,9,9,2
"Poirier, Pascal",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1885.03.09 - 1933.09.25 ,1885.03.09 , 1933.09.25 ,(Death),1,9,1,1,9,9,9,9,2,1,1,1,9,9,9,2,2,9,9,9,1,9,1,2,9
"Fisher, John Henry",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.07.26 - 1933.12.01 ,1917.07.26 , 1933.12.01 ,(Death),1,1,2,2,1,9,1,1,2,9,1,1,1,1,9,2,9,2,1,1,2,2,2,1,1
"Tessier, Jules",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.03.12 - 1934.01.06 ,1903.03.12 , 1934.01.06 ,(Death),2,2,9,1,2,2,2,2,1,2,9,9,9,9,9,2,1,9,2,2,1,9,9,9,9
"Stanfield, John",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.02.17 - 1934.01.22 ,1921.02.17 , 1934.01.22 ,(Death),9,1,9,9,1,1,1,1,2,9,1,9,1,1,9,2,9,9,1,9,9,9,9,9,9
"Rankin, James Palmer",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.09 - 1934.06.15 ,1925.09.09 , 1934.06.15 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bí©land, Henri Sí©ví©rin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1925.09.05 - 1935.04.22 ,1925.09.05 , 1935.04.22 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Martin, Peter Francis",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.12.05 - 1935.05.02 ,1921.12.05 , 1935.05.02 ,(Death),1,1,2,9,1,1,1,1,2,1,9,9,1,1,1,2,1,2,1,9,2,9,9,9,9
"Lewis, John",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.05 - 1935.05.18 ,1925.09.05 , 1935.05.18 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Schaffner, Frederick Laurence",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.10.23 - 1935.05.22 ,1917.10.23 , 1935.05.22 ,(Death),1,1,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,9,1,1,2,9,9,9,9
"Murphy, Charles",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.05 - 1935.11.24 ,1925.09.05 , 1935.11.24 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Planta, Albert",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.06.26 - 1935.12.11 ,1917.06.26 , 1935.12.11 ,(Resignation),1,1,2,2,1,1,1,9,9,9,9,1,2,1,9,2,2,9,9,1,1,9,9,9,9
"McLean, John",Conservative (1867-1942),Prince Edward Island,"Borden, Robert Laird",1915.12.03 - 1936.02.20 ,1915.12.03 , 1936.02.20 ,(Death),1,1,2,2,1,1,1,9,9,9,9,1,1,1,1,2,2,9,1,9,2,9,9,9,9
"McCormick, John",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.09.21 - 1936.02.21 ,1921.09.21 , 1936.02.21 ,(Death),1,1,2,2,2,1,1,1,9,9,9,1,1,1,1,2,1,2,1,9,1,9,9,9,9
"White, Richard Smeaton",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.30 - 1936.12.17 ,1917.07.30 , 1936.12.17 ,(Death),2,1,9,9,1,9,9,9,9,9,9,9,1,1,1,2,1,2,9,1,9,2,2,1,1
"Bí©nard, Aimí©",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.09.03 - 1938.01.08 ,1917.09.03 , 1938.01.08 ,(Death),1,9,2,9,1,9,9,9,2,9,1,1,9,9,9,2,1,9,1,9,1,9,2,1,1
"Wilson, Joseph-Marcellin",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1911.05.03 - 1939.01.01 ,1911.05.03 , 1939.01.01 ,(Resignation),9,2,1,9,9,2,2,9,9,9,9,1,1,9,2,2,2,9,9,9,9,9,9,9,9
"Casgrain, Joseph Philippe Baby",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1900.01.29 - 1939.01.06 ,1900.01.29 , 1939.01.06 ,(Death),2,9,9,1,2,2,2,2,9,2,1,1,1,1,9,1,2,2,9,9,9,9,9,9,9
"McLennan, John Stewart",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1916.02.10 - 1939.09.15 ,1916.02.10 , 1939.09.15 ,(Death),9,1,1,2,1,2,1,1,9,2,1,1,1,9,1,1,2,2,1,1,9,9,2,1,2
"Macdonell, Archibald Hayes",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.11.07 - 1939.11.12 ,1921.11.07 , 1939.11.12 ,(Death),1,1,2,2,1,1,1,1,2,2,9,1,1,1,9,1,2,2,1,2,9,2,2,1,9
"Gillis, Archibald Beaton",Conservative (1867-1942),Saskatchewan,"Meighen, Arthur",1921.10.17 - 1940.01.18 ,1921.10.17 , 1940.01.18 ,(Death),1,1,2,9,1,1,1,1,2,9,1,2,2,2,2,2,1,9,2,1,2,2,2,1,1
"Lynch-Staunton, George",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.01.20 - 1940.03.19 ,1917.01.20 , 1940.03.19 ,(Death),1,2,2,9,1,1,1,9,9,9,1,1,1,1,1,9,1,2,9,9,2,9,9,9,9
"Laird, Henry Willoughby",Conservative (1867-1942),Saskatchewan,"Borden, Robert Laird",1917.01.31 - 1940.09.30 ,1917.01.31 , 1940.09.30 ,(Death),1,9,9,9,1,9,1,1,1,1,1,9,2,2,2,2,2,2,1,1,2,2,2,1,1
"Hughes, James Joseph",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1925.09.05 - 1941.03.05 ,1925.09.05 , 1941.03.05 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Taylor, James Davis",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.10.23 - 1941.05.11 ,1917.10.23 , 1941.05.11 ,(Death),1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,9,9,9,9
"L'Espí©rance, David Ovide",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.26 - 1941.08.31 ,1917.07.26 , 1941.08.31 ,(Death),2,1,9,9,1,9,1,1,1,9,9,1,9,9,9,9,9,2,2,9,1,9,9,9,9
"McMeans, Lendrum",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.07.26 - 1941.09.13 ,1917.07.26 , 1941.09.13 ,(Death),2,1,9,1,1,1,1,1,1,1,1,2,1,1,9,2,2,1,9,1,2,2,2,1,9
