Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H14S1V001,H14S1V002,H14S1V003,H14S1V004,H14S1V005,H14S1V006,H14S1V007,H14S1V008,H14S1V009,H14S1V010,H14S1V011,H14S1V012,H14S1V013,H14S2V001,H14S2V002,H14S2V003,H14S2V004,H14S2V005,H14S2V006,H14S2V007,H14S2V008,H14S2V009,H14S2V010,H14S2V011,H14S2V012,H14S2V013,H14S2V014,H14S2V015,H14S2V016,H14S2V017,H14S2V018,H14S2V019,H14S2V020,H14S2V021,H14S2V022,H14S2V023,H14S2V024,H14S3V001,H14S3V002,H14S3V003,H14S3V004,H14S3V005,H14S3V006,H14S3V007,H14S3V008,H14S3V009,H14S3V010,H14S3V011,H14S3V012,H14S3V013,H14S3V014,H14S3V015,H14S3V016,H14S3V017,H14S3V018,H14S3V019,H14S3V020,H14S4V001,H14S4V002,H14S4V003,H14S4V004,H14S4V005,H14S4V006,H14S4V007,H14S4V008,H14S4V009,H14S4V010,H14S4V011,H14S4V012,H14S4V013,H14S4V014,H14S4V015,H14S4V016,H14S4V017,H14S4V018,H14S4V019,H14S4V020,H14S4V021,H14S4V022,H14S4V023,H14S4V024,H14S4V025,H14S4V026,H14S4V027,H14S4V028
658,SALTCOATS,Saskatchewan,1907 - 1924,14,1921.12.06,109,0960b092-fa9d-4288-ac7b-b2d25c6b440c,"SALES, Thomas",6335,0.5741,Progressive,Farmer,Protestant,0,1,,,,,,,,,England,,,,2,9,1,1,2,2,1,9,2,2,2,1,2,2,1,1,1,9,9,9,2,1,9,9,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,2,1,9,1,2,9,9,1,1,1,9,1,9,1,1,1,1,2,1,9,2,1,1,2,1,2,9,9,2,2,2,2,1,1,2,1,1,9,1
198,EDMONTON EAST,Alberta,1914 - 2000,14,1921.12.06,114,09c34bd2-1c08-42ef-a7b9-fb734d45da05,"KELLNER, Donald Ferdinand",6094,0.4555,Progressive,Farmer,Protestant,0,1,,,,,,,,,,,,,2,1,1,1,9,9,2,9,2,2,2,9,2,2,1,1,1,2,9,2,2,9,9,1,9,1,2,2,1,1,1,1,1,9,9,9,9,2,1,2,1,1,2,1,9,9,2,2,1,9,2,9,1,9,9,9,9,1,9,1,1,9,1,2,1,9,9,9,2,2,1,2,2,9,2,9,9,2,1,1,1,9,9,9,9
711,STRATHCONA,Alberta,1905 - 1924,14,1921.12.06,128,0a7e0482-9d69-47bd-84b3-caafe34738b7,"WARNER, Daniel Webster",7319,0.6464,Progressive,"Farmer, rancher",Protestant,0,1,,,,,,,,,United States,,,,2,9,1,1,2,2,9,1,2,2,2,9,2,1,1,1,1,1,1,2,2,1,2,9,1,1,2,2,1,1,1,1,9,9,9,9,9,2,1,2,1,2,2,1,2,1,9,9,9,9,2,9,1,1,9,9,9,1,2,1,2,1,1,9,1,9,2,1,1,2,1,9,9,9,2,2,2,2,1,9,9,1,9,9,9
348,KOOTENAY WEST,British Columbia,1914 - 1987,14,1921.12.06,130,0aac5de8-61d9-4b82-aec4-a8fad4fe5f22,"HUMPHREY, Levi William",4790,0.4889,Progressive,Locomotive engineer,Protestant,0,1,,,,,,,,,United States,,,,2,1,1,1,2,1,2,1,2,2,1,9,2,2,2,1,1,9,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,9,9,2,9,2,1,1,2,1,2,1,2,2,1,1,2,9,9,9,9,9,2,1,2,1,2,1,1,1,1,9,2,1,2,2,1,2,1,2,9,2,2,2,1,1,2,2,1,1,9
626,RUSSELL,Ontario,1867 - 1966,14,1921.12.06-1921.12.28 and 1922.01.19,141,0b215cfb-8aa4-42c6-a549-7025e2aec83c,"MURPHY, Hon. Charles",9069,0.5702,Liberal Party of Canada,Lawyer,Catholic,0,4,,1,,,,,,,,Resignation. Appointed Postmaster General: 1921.12.28,,,2,2,2,9,2,1,9,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,2,2,1,2,2,9,9,9,9,9,9,2,1,9,2
240,GLENGARRY AND STORMONT,Ontario,1914 - 1924,14,1921.12.06,167,0d163d4c-12df-46ba-bc01-b1c27f30d6d5,"KENNEDY, John Wilfred",6320,0.3912,Progressive,Farmer,Protestant,0,2,,,,,,,,,,,,,2,9,1,1,2,2,9,2,2,2,2,1,2,9,9,1,1,2,1,2,2,1,2,1,1,1,2,2,1,9,9,9,9,9,9,1,1,2,1,2,1,9,2,1,2,1,2,2,1,1,2,9,9,9,9,9,9,2,2,1,2,1,9,2,1,9,9,9,9,2,1,2,1,2,2,1,2,9,9,9,9,2,2,9,1
169,DAUPHIN,Manitoba,1903 - 1983,14,1921.12.06,181,0e1575e1-8782-4de1-8bdb-742a2019685e,"WARD, William John",7779,0.7844,Progressive,"Farmer, insurance agent, real estate agent",Protestant,0,1,,,,,,,,,,,,,9,1,1,1,2,2,1,2,2,2,2,1,2,1,1,9,9,2,1,1,2,1,2,9,1,1,2,2,1,1,1,1,1,1,2,1,9,2,1,2,1,1,1,1,2,9,2,1,9,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,9,1,2,2,1,2,2,1,2,9,2,2,1,9,1,1,1,2,1
796,WELLINGTON NORTH,Ontario,1867 - 1952,14,1921.12.06,208,0fcee3b7-0fe2-4b96-a116-14f4cf761074,"PRITCHARD, John",5138,0.5701,Progressive,Farmer,Protestant,0,1,,,,,,,,,,,,,2,1,1,1,9,9,1,2,9,2,2,1,2,2,1,9,1,1,9,9,2,1,9,9,1,1,2,2,1,9,9,9,9,9,9,1,2,2,1,2,1,2,2,1,9,2,2,2,1,1,9,9,9,1,1,2,9,1,9,9,9,9,1,1,1,9,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,9,9,9,9
844,YORK EAST,Ontario,1914 - 1924,14,1921.12.06,232,11a54902-a69c-44f3-b960-cbb6e4ebbddc,"HARRIS, Joseph Henry",10978,0.5937,Conservative (1867-1942),"Businessman, director, manager, manufacturer",Protestant,0,1,,,,,,,,,,,,,1,9,2,2,9,9,2,2,9,1,2,2,1,1,2,9,2,9,2,2,9,9,9,9,9,2,2,1,2,9,9,9,9,9,9,2,1,1,9,9,9,9,2,2,1,9,1,2,2,2,9,9,2,9,9,9,9,1,1,2,1,2,9,2,9,9,1,2,9,1,9,1,2,9,1,9,1,2,1,1,2,9,9,9,1
263,HALIFAX,Nova Scotia,1867 - ,14,1923.12.05,235,11b8208d-6fb2-42a6-b579-9d51a881cd80,"BLACK, William Anderson",13365,0.539,Conservative (1867-1942),"Businessman, shipper",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,9,9,9,2,2,2,1,2,9,9,9,2,2,9,9,9,9,9,9,9,1,9,9,9,9,2,9,9,1,2,2,1,1,1,2,9,1,9,2,9,9,9,9,9,9,9,9
704,STANSTEAD,Quebec,1867 - 1966,14,1921.12.06,236,11c1de4a-fa81-4eed-a5ee-c2cb0f060d6c,"BALDWIN, Willis Keith",6877,0.689,Liberal Party of Canada,"Lumber merchant, merchant",Protestant,0,2,,,,,,,,,,,,,2,2,2,2,2,1,9,1,1,2,1,9,2,2,2,2,2,1,1,2,2,9,9,9,1,2,1,9,9,2,2,2,2,2,9,9,2,2,9,1,2,2,2,1,2,9,2,2,1,1,2,9,2,9,9,2,2,9,9,1,2,1,1,1,2,9,9,9,9,1,2,2,1,2,2,9,2,1,1,2,2,2,9,1,9
237,GEORGE-ETIENNE CARTIER,Quebec,1914 - 1924,14,1921.12.06,247,1267c565-8771-4162-a16e-56bf229c71fa,"JACOBS, Samuel William",7790,0.5647,Liberal Party of Canada,Lawyer,Jewish,1,2,,,,,,,,,,,,,9,9,2,9,9,9,9,2,9,9,9,9,9,2,2,2,9,1,2,2,2,1,9,2,1,2,1,9,9,9,9,9,9,9,9,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,1,9,2,1,2,9,9,9,9,9,2,2,2,1,1,9
333,KINDERSLEY,Saskatchewan,1914 - 1966,14,1921.12.06,251,12d60483-a079-4161-ac90-f451a1581cfc,"CARMICHAEL, Archibald M.",13911,0.8228,Progressive,"Farmer, minister, teacher",Protestant,0,1,,,,,,,,,,,,,2,1,1,1,2,2,9,2,2,2,2,9,2,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,1,9,9,9,9,9,2,2,1,2,1,9,2,1,2,9,2,9,9,1,9,2,9,2,2,1,9,2,2,1,2,1,1,1,9,9,2,1,9,9,1,2,2,1,2,1,1,1,2,9,2,1,2,9,9
10,ALGOMA EAST,Ontario,1903 - 1966,14,1921.12.06,280,14c7d10c-b51a-40a9-8aaa-b7193098cfff,"CARRUTHERS, John",5007,0.4072,Liberal Party of Canada,Physician,Protestant,0,1,,,,,,,,,,,,,2,9,9,1,2,1,1,9,1,2,1,9,9,2,2,2,2,1,9,2,2,1,1,2,1,2,1,2,2,9,9,9,9,9,9,9,9,2,1,9,9,2,2,1,2,9,2,2,1,1,9,2,2,9,2,2,9,9,1,2,1,9,1,1,2,9,2,1,9,1,2,2,1,2,2,9,9,9,9,9,9,2,1,1,9
208,ELGIN WEST,Ontario,1867 - 1933,14,1921.12.06,286,152f3f43-79b0-40eb-8f51-21682a9a9b9f,"MCKILLOP, Hugh Charles",4367,0.3636,Conservative (1867-1942),"Industrialist, lumberman",Protestant,0,1,,,,,,,,,,,,,1,2,2,2,1,2,2,2,1,1,2,9,1,1,2,2,9,2,1,2,9,2,9,1,9,2,2,2,2,2,2,2,9,9,9,9,9,1,2,2,2,2,2,2,9,9,1,9,2,2,9,2,9,2,1,9,9,1,9,9,9,9,9,2,2,2,1,2,9,1,1,1,2,9,1,9,1,2,1,1,2,2,1,2,1
323,KAMOURASKA,Quebec,1867 - 1976,14,1921.12.06-1922.05.04,287,155b45bd-8851-4d7d-a9af-19257d3fe112,"STEIN, Charles Adolphe",4822,0.6601,Liberal Party of Canada,Lawyer,Fr.Catholic,0,2,,,,,,,,,,Resignation. Appointed Puisne Judge of the Superior Court of Quebec: 1922.05.04,,,2,2,2,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
479,NEW WESTMINSTER,British Columbia,1872 - 1976,14,1921.12.06,309,16dc5348-21c1-425b-aab3-26e16d448fdb,"MCQUARRIE, William Garland",5520,0.4346,Conservative (1867-1942),"Barrister, lawyer",Protestant,0,2,,,,,,,,,,,,,1,2,9,2,1,2,2,9,1,1,2,9,1,9,9,2,2,9,1,2,9,2,9,9,9,2,2,9,9,2,2,2,2,2,9,9,9,1,2,9,9,2,2,2,1,9,9,9,9,2,2,9,9,9,9,9,9,1,2,1,1,9,9,2,9,9,1,2,9,9,1,1,2,2,1,9,2,1,1,9,9,9,9,9,9
340,KINGSTON,Ontario,1867 - 1924,14,1921.12.06,331,17d9fbdf-1bc5-4137-ac59-4e782464990f,"ROSS, Arthur Edward",6055,0.5072,Conservative (1867-1942),"Physician, professor",Protestant,0,1,,,,,,,,,,,,,1,9,2,2,1,2,2,2,1,1,2,9,1,9,9,2,2,2,2,2,9,9,9,1,9,2,2,9,9,9,9,9,9,9,9,9,9,1,2,2,2,9,2,2,1,9,1,9,2,2,1,2,2,9,2,9,9,9,2,2,1,2,2,2,1,2,9,9,9,9,1,1,2,9,1,9,9,9,9,1,9,9,9,2,9
280,HASTINGS WEST,Ontario,1867 - 1924,14,1921.12.06-1924.06.27,336,185cfc9f-0de6-4492-8cdf-b36fb5308b50,"PORTER, Edward Guss",7279,0.5437,Conservative (1867-1942),Barrister,Protestant,0,6,,,,,,,,,,Resignation: 1924.06.27,,,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2,2,9,2,2,1,9,1,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
29,BAGOT,Quebec,1867 - 1933,14,1921.12.06,342,1899ea86-f65d-4338-b41b-708b33450cc6,"MARCILE, Joseph-Edmond",4004,0.5651,Liberal Party of Canada,Merchant,Fr.Catholic,1,7,,,,,,,,,,,,,2,9,2,2,2,1,1,9,1,2,1,9,2,9,9,9,9,1,2,2,2,1,9,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,9,1,2,9,2,1,2,9,2,2,1,1,9,2,2,9,9,2,9,2,9,2,1,2,1,1,2,9,2,1,1,1,2,2,1,2,2,1,1,9,2,2,9,9,9,9,9
228,FRONTENAC,Ontario,1867 - 1924,14,1921.12.06,345,18eb7a89-c8e4-43bf-bcb8-6d5b10a584e7,"REED, William Samuel",4780,0.5119,Progressive,Farmer,Protestant,0,1,,,,,,,,,,,,,2,1,9,1,2,2,1,2,9,2,1,1,2,1,1,9,1,1,1,2,2,1,9,2,1,1,2,2,1,1,1,9,9,9,1,1,2,2,1,1,2,2,2,1,9,1,2,2,1,1,2,2,2,9,9,2,2,2,9,1,2,1,1,1,1,9,2,1,1,2,1,2,1,2,2,9,2,2,1,1,2,2,1,9,9
632,ST. DENIS,Quebec,1914 - 1947,14,1921.12.06,349,19361366-c528-430b-9bee-470c51580e81,"DENIS, Joseph-Arthur",18703,0.7856,Liberal Party of Canada,Physician,Fr.Catholic,1,1,,,,,,,,,,,,,2,1,2,2,2,1,1,1,9,2,1,1,2,2,2,2,2,1,2,2,2,1,9,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,1,1,2,9,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,2,9,2,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,1,1,2
152,COLCHESTER,Nova Scotia,1867 - 1933,14,1921.12.06,350,193a7c5f-b913-4edc-bb03-ab86ddff8d3a,"PUTNAM, Harold",5888,0.5142,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,9,2,2,2,2,1,1,9,1,2,1,1,2,2,2,2,9,1,1,9,9,1,1,2,1,2,1,2,1,2,2,2,2,2,1,9,9,2,1,1,2,2,2,1,2,9,2,2,1,9,1,9,2,9,2,2,9,1,1,1,2,1,1,1,9,9,9,9,1,1,2,2,1,9,2,2,1,2,1,2,9,9,9,9,9
730,TIMISKAMING,Ontario,1914 - 1924,14,1921.12.06,352,1998b279-1a69-490c-8b03-9f2d86af6859,"MCDONALD, Angus",5797,0.3445,Independent,Carpenter,Catholic,0,2,,,,,,,,,,,,,2,1,1,1,9,9,1,9,2,2,2,1,2,2,1,1,9,2,2,1,9,9,9,9,9,1,2,2,1,1,1,1,1,1,9,9,9,2,1,2,1,9,2,1,2,2,2,2,1,9,1,9,9,9,9,9,9,9,1,2,1,2,9,9,9,9,9,9,9,2,1,9,9,2,2,2,2,2,1,9,9,2,9,9,1
538,PEEL,Ontario,1867 - 1966,14,1921.12.06,372,1b64bce7-d840-42c6-9af1-8dc647e68c79,"CHARTERS, Samuel",4892,0.4086,Conservative (1867-1942),"Newspaper editor, newspaper owner, publisher",Protestant,0,2,,,,,,,,,,,,,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,1,2,9,2,2,1,2,2,2,2,1,9,9,9,9,9,9,9,9,1,9,2,2,9,2,2,9,2,1,2,2,2,2,2,9,9,1,9,9,2,2,1,1,9,9,2,2,9,1,2,2,1,1,1,2,9,1,1,1,1,9,1,2,2,2,2,9
689,SKEENA,British Columbia,1914 - 2003,14,1921.12.06,391,1d01da2a-2e6a-4b27-b361-049038f72487,"STORK, Alfred",3261,0.5029,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,,,,,2,9,2,1,2,1,2,1,1,2,1,1,2,2,2,2,9,1,2,9,2,1,1,2,1,2,1,2,1,9,9,9,9,9,9,9,9,2,1,1,2,2,2,1,2,1,2,2,1,1,1,2,2,9,9,9,9,2,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,2,2,9,1,2,2,9,9,9,9,9,9
254,GREY SOUTHEAST,Ontario,1914 - 1933,14,1921.12.06,399,1d6a8f18-7d15-4909-b0f5-88f9b514f20a,"MACPHAIL, Agnes Campbell",6958,0.4986,Progressive,"Farmer, teacher",Unknown,0,1,,,,,,,,,,,,,9,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,9,9,1,1,2,9,9,1,1,1,2,1,2,1,1,1,1,1,9,1,9,2,1,9,9,1,1,1,9,1,2,1,2,9,9,9,1,1,1,9,9,1,2,1,2,1,1,2,9,9,2,2,9,9,1,2,2,1,2,2,2,2,1,9,9,1,1,9,9
94,BURRARD,British Columbia,1914 - 1924,14,1921.12.06,400,1d94c4b4-8378-4f3c-9aa1-bdfa6e79bfab,"CLARK, John Arthur",12240,0.5589,Conservative (1867-1942),Barrister and solicitor,Protestant,0,1,,,,,,,,,,,,,1,2,2,2,9,9,2,2,1,1,2,9,9,1,2,2,2,2,2,2,9,2,9,1,2,2,2,2,2,2,2,2,9,9,9,2,1,1,9,2,2,9,2,2,9,9,9,9,9,2,2,2,9,2,2,9,9,1,2,2,1,2,9,2,2,2,1,2,9,1,1,1,2,9,1,9,2,2,1,1,2,2,9,9,9
215,ESSEX NORTH,Ontario,1882 - 1924,14,1923.03.01,413,1e350669-b081-4877-9f4e-58d0f633d7fe,"HEALY, Albert Francis",10456,0.527,Liberal Party of Canada,Lawyer,Catholic,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,9,9,1,2,1,2,9,9,9,9,9,9,9,2,9,2,1,1,2,2,2,1,2,9,2,2,1,1,9,9,2,2,2,2,2,2,1,2,1,2,9,9,9,9,9,9,9,1,2,2,1,2,9,9,1,1,2,2,2,2,1,1,2
123,CARLETON,Ontario,1867 - 1966,14,1921.12.06,414,1e502396-052a-4afd-8d90-249bea49b95c,"GARLAND, William Foster",5537,0.4129,Conservative (1867-1942),"Breeder, pharmacist",Protestant,0,2,,,,,,,,,,,,,1,2,2,2,1,2,2,9,1,1,2,9,1,9,9,9,9,9,2,2,9,9,9,1,9,2,2,9,9,9,9,9,9,9,9,9,9,1,2,2,2,2,2,2,9,2,1,9,2,2,9,9,9,9,9,9,9,1,9,1,1,1,9,9,2,9,9,9,9,1,1,1,2,2,1,9,9,9,9,1,9,2,9,9,1
533,PARKDALE,Ontario,1914 - 1976,14,1921.12.06,436,1fd6461a-ee02-4d2c-880e-860b930c4499,"SPENCE, David",10705,0.566,Conservative (1867-1942),Merchant,Protestant,0,1,,,,,,,,,Ireland,,,,1,2,9,2,1,2,2,9,1,1,2,2,1,1,2,2,2,2,2,2,1,9,9,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,9,9,2,2,1,9,1,9,2,2,2,2,9,2,9,9,9,9,9,2,1,2,9,2,2,2,1,2,9,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2,9
