Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H12S1V001,H12S1V002,H12S1V003,H12S1V004,H12S1V005,H12S1V006,H12S1V007,H12S1V008,H12S1V009,H12S1V010,H12S1V011,H12S1V012,H12S1V013,H12S1V014,H12S1V015,H12S1V016,H12S2V001,H12S2V002,H12S2V003,H12S2V004,H12S2V005,H12S2V006,H12S2V007,H12S2V008,H12S2V009,H12S2V010,H12S2V011,H12S2V012,H12S2V013,H12S2V014,H12S2V015,H12S2V016,H12S2V017,H12S2V018,H12S2V019,H12S2V020,H12S2V021,H12S2V022,H12S2V023,H12S2V024,H12S2V025,H12S2V026,H12S2V027,H12S2V028,H12S2V029,H12S2V030,H12S2V031,H12S2V032,H12S2V033,H12S2V034,H12S2V035,H12S2V036,H12S2V037,H12S2V038,H12S2V039,H12S2V040,H12S2V041,H12S2V042,H12S2V043,H12S2V044,H12S2V045,H12S2V046,H12S2V047,H12S3V001,H12S3V002,H12S3V003,H12S3V004,H12S3V005,H12S3V006,H12S3V007,H12S3V008,H12S3V009,H12S3V010,H12S3V011,H12S3V012,H12S3V013,H12S3V014,H12S3V015,H12S3V016,H12S5V001,H12S6V001,H12S6V002,H12S6V003,H12S6V004,H12S6V005,H12S6V006,H12S6V007,H12S6V008,H12S6V009,H12S6V010,H12S6V011,H12S6V012,H12S7V001,H12S7V002,H12S7V003,H12S7V004,H12S7V005,H12S7V006,H12S7V007,H12S7V008,H12S7V009,H12S7V010,H12S7V011,H12S7V012,H12S7V013,H12S7V014,H12S7V015,H12S7V016,H12S7V017,H12S7V018,H12S7V019,H12S7V020,H12S7V021,H12S7V022,H12S7V023,H12S7V024,H12S7V025,H12S7V026,H12S7V027,H12S7V028,H12S7V029
29,BAGOT,Quebec,1867 - 1933,12,1911.09.21,342,1899ea86-f65d-4338-b41b-708b33450cc6,"MARCILE, Joseph-Edmond",1845,0.5132,Liberal Party of Canada,Merchant,Fr.Catholic,1,5,,,,,,,,,,,,,1,2,1,1,1,1,9,9,9,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,9,9,9,9,9,9,9,1,1,1,1,1,2,1,1,9,1,1,1,1,1,1,1,1,2,1,9,2,9,1,1,1,9,1,1,9,1,9,1,1,9,2,1,1,2,1,2,2,1,1,2,2,9,9,9,9,9,9,9,9,2,1,2,2,9
654,ST. ANNE,Quebec,1892 - 1914,12,1911.09.21- and 1911.10.27,394,1d093884-066e-4154-90c4-5125c80965b9,"DOHERTY, Hon. Charles Joseph",3319,0.564,Conservative (1867-1942),"Bank manager, lawyer",Catholic,0,2,,1,,,,,,,,No reason giving for the by-election.,,,2,1,2,2,9,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,9,2,2,1,1,1,1,1,1,9,1,9,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,2,1,9,9,9,9,9,2,2,9,9,9,1,2,9,9,9,9,2,2,9,9,9,2,2,2,2,1,1,9,9,9,9,1,2,9,9,2,9,2,1,2,2,2,1,2,1,1,2,2,9,9,9,9,9,9,9,1,9,9,9,9,9,9,1
655,ST. MARY,Quebec,1892 - 1947,12,1911.09.21,406,1de351b4-9b68-4be3-a9aa-17ac27646fa5,"MARTIN, Mederic",5089,0.6282,Liberal Party of Canada,Industrialist,Fr.Catholic,1,3,,,,,,,,,,,,,1,2,9,1,9,9,9,9,9,1,2,9,9,1,2,1,1,2,1,1,2,9,2,1,2,2,2,2,9,2,2,2,2,1,1,9,9,1,2,2,1,1,1,1,2,9,9,9,2,1,9,1,1,1,1,2,9,9,9,9,9,9,9,1,1,1,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,9,9,2,1,1,2,1,2,2,9,9,9,2,1,9,9,9,9,9,1,1,9,1,2,9,9
123,CARLETON,Ontario,1867 - 1966,12,1912.10.30-1915.06.28,414,1e502396-052a-4afd-8d90-249bea49b95c,"GARLAND, William Foster",accl.,,Conservative (1867-1942),"Breeder, pharmacist",Protestant,0,1,,,,,,,,,,Resignation: 1915.06.28,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,1,9,2,2,1,9,9,9,9,9,9,9,9,9,9,2,1,2,1,1,2,2,2,2,1,9,1,1,1,2,9,2,2,2,2,1,2,1,2,2,1,1,9,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
352,LABELLE,Quebec,1892 - 1987,12,1911.09.21-1917.06.28,429,201032e2-d492-4240-86ff-da2b9ed995f2,"ACHIM, Honore",2902,0.5073,Conservative (1867-1942),Lawyer,Fr.Catholic,1,1,1,,,1,,,,,,,,,2,1,9,2,9,2,9,9,9,9,1,2,2,2,2,2,2,1,2,2,2,9,1,1,2,1,9,9,9,9,9,9,9,9,9,2,1,2,9,9,2,2,2,2,1,9,9,9,9,9,9,9,9,9,1,2,2,9,2,2,1,1,9,2,2,9,2,2,9,9,2,2,2,2,2,2,2,2,2,2,9,9,9,2,9,2,9,9,9,1,1,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
352,LABELLE,Quebec,1892 - 1987,12,1917.06.29-,429.1,201032e2-d492-4240-86ff-da2b9ed995f2,"ACHIM, Honore",2902,0.5073,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,2,1,2,2,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9
500,NORTHUMBERLAND EAST,Ontario,1867 - 1914,12,1911.09.21,430,1f7b9692-ebed-488c-b0f4-d5d3fb4c26f3,"WALKER, Henry Joseph",2518,0.5421,Conservative (1867-1942),Merchant,Protestant,0,1,,,,,,,,,,,,,2,9,2,2,2,9,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,9,9,9,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,9,2,9,1,1,2,2,2,2,1,2,2,9,9,9,9,9,2,2,2,1,9,9,1,2,2,9,1,9,1,1,1,2,1,9,9,9,9,9,9,9
677,SHEFFORD,Quebec,1867 - ,12,1911.09.21,440,20153f1d-4d12-4d52-b34f-744ffb0e1cd0,"BOIVIN, George Henri",2271,0.5029,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,9,2,1,2,2,2,2,2,2,2,2,2,1,1,9,2,1,2,2,1,1,1,1,2,2,2,2,2,1,9,1,1,1,1,2,9,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,9,1,9,9,9,1,9,9,2,1,9,2,2,1,1,2,1,2,2,9,1,9,9,9,2,2,2,1,9,1,1,2,1,2,2,1
691,SOURIS,Manitoba,1903 - 1952,12,1911.09.21,452,20b6507f-4331-4342-ad1d-68bb1492c315,"SCHAFFNER, Frederick Lawrence",3150,0.5051,Conservative (1867-1942),Physician,Protestant,0,3,,,,,,,,,,,,,2,1,2,2,2,9,9,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,9,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,9,9,2,2,1,9,9,2,2,2,2,2,1,2,2,2,2,2,2,2,2,9,9,2,9,2,9,1,1,2,2,9,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,9
134,CHARLEVOIX,Quebec,1867 - 1914,12,1911.09.21,458,21707cca-53c0-45ee-bc24-f51541501b91,"FORGET, Rodolphe",2020,0.598,Conservative (1867-1942),"Businessman, financier, stockbroker",Fr.Catholic,1,3,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,9,2,2,1,9,9,9,9,9,9,9,9,2,9,9,9,2,1,1,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,2,9,9,9,9,9,2,2,2,2,9,2,9,9,9,9,9,9,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
351,L'ISLET,Quebec,1867 - 1933,12,1911.09.21,475,22bac231-c23b-4794-8dfb-46bf52cd7616,"PAQUET, Eugene",1578,0.5797,Conservative (1867-1942),Physician,Fr.Catholic,1,3,,,,,,,,,,,,,2,1,2,2,2,2,2,2,9,1,2,2,2,2,1,9,2,2,2,2,1,2,2,2,9,9,9,9,9,9,9,9,9,2,2,2,1,2,1,1,2,2,2,2,9,9,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,9,2,2,9,2,2,1,2,2,2,2,2,9,2,2,2,2,2,9,2,9,1,1,2,2,2,9,1,1,9,2,9,2,2,1,1,1,2,2,1,2,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
45,BERTHIER,Quebec,1867 - 1924,12,1911.09.21,501,24afb66c-ee49-4658-8927-30c3ead84b7d,"BARRETTE, Joseph Arthur",1638,0.4509,Conservative (1867-1942),"Businessman, farmer, notary",Fr.Catholic,1,1,,,,,,,,,,,,,2,1,2,9,2,9,9,9,9,9,1,2,2,2,1,2,2,1,2,2,2,9,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,9,2,2,1,1,1,2,2,2,2,2,9,2,2,2,2,9,2,9,2,2,2,2,9,2,9,9,9,2,9,9,9,1,1,9,9,9,2,9,9,1,1,1,2,1,2,2,9,9,9,2,1,9,9,9,9,9,9,1,9,1,2,9,9
417,MAISONNEUVE,Quebec,1892 - 1933,12,1911.09.21,508,2555053a-03ba-40ed-a2fb-de4f35b5fca4,"VERVILLE, Alphonse",11538,0.5524,Labour,Plumber,Fr.Catholic,1,3,,,,,,,,,,,,,1,2,1,1,1,1,9,9,9,1,2,1,1,9,2,1,1,2,1,1,2,1,2,1,2,9,9,9,9,9,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,9,1,1,1,1,1,1,2,1,9,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,9,1,1,1,9,1,9,1,9,9,2,1,9,1,9,1,1,9,9,1,1,1,9,2,1,1,2,1,2,2,1,1,2,2,1,9,9,9,9,9,1,1,2,1,2,9,9
10,ALGOMA EAST,Ontario,1903 - 1966,12,1911.09.21,518,263d1f72-ec01-4d46-a10f-3581e515a56b,"SMYTH, William Ross",3898,0.512,Conservative (1867-1942),"Lumber merchant, merchant",Protestant,0,2,,,,,,,,,Scotland,,,,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,9,2,2,1,1,1,1,1,9,1,1,1,2,9,2,1,2,1,1,9,9,2,2,1,1,1,1,1,2,9,2,9,2,2,1,9,9,2,2,1,1,1,2,2,2,2,2,1,9,2,2,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
11,ALGOMA WEST,Ontario,1903 - 1966,12,1911.09.21-1917.10.03,523,26ad1170-885a-462b-b4fe-d5b28a33f671,"BOYCE, Arthur Cyril",2738,0.5567,Conservative (1867-1942),"Barrister, lawyer",Protestant,0,3,,,,,,,,,Ireland,Resignation. Appointed Member of the Board of Railway Commissioners for Canada: 1917.10.03.,,,2,1,2,9,9,9,9,9,9,9,9,9,2,9,9,9,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,9,9,1,2,1,1,9,9,9,9,9,1,1,1,1,2,2,2,2,2,2,1,2,9,2,2,1,1,9,2,9,2,2,2,1,2,2,9,2,2,2,2,2,2,9,2,9,2,9,9,9,9,9,9,9,9,9,2,9,9,9,2,9,2,2,2,1,2,1,9,9,9,1,1,2,9,9,9,9,9,9,9,9,9,9,9,2
80,BRUCE NORTH,Ontario,1867 - 1933,12,1911.09.21,569,29d180a3-09d2-4ee1-bc3d-b43eab62d101,"CLARK, Hugh",2526,0.5082,Conservative (1867-1942),"Editor, teacher",Protestant,0,1,,,1,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,1,9,2,9,2,2,2,2,2,2,2,2,9,2,9,9,1,2,2,2,9,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,2,9,9,9,9,9,9,9,1,2,1,1,2
593,RED DEER,Alberta,1907 - ,12,1911.09.21,592,2ba4bee0-f459-430e-9e36-439d1e383984,"CLARK, Michael",6711,0.6335,Liberal Party of Canada,"Farmer, physician, rancher",Protestant,0,2,,,,,,,,,England,,,,1,2,1,9,1,1,1,1,1,1,2,1,1,1,2,9,1,9,1,1,2,1,2,1,2,9,9,9,9,2,2,2,2,1,1,1,2,9,2,2,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,1,1,9,9,9,9,9,1,1,9,1,1,2,9,1,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,2,2,9,1,9,9,1,9,2,2,2,1,2,1,1,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,2
739,TORONTO NORTH,Ontario,1903 - 1924,12,1911.09.21- and 1911.10.27,604,2cf93f16-ac02-4963-ae74-f74b1cb23251,"FOSTER, Hon. George Eulas",6474,0.6722,Conservative (1867-1942),"Professor, teacher",Protestant,0,7,,1,,,,,,,,No reason giving for the by-election.,,,2,1,9,2,2,9,2,2,2,2,1,2,2,2,2,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,1,9,2,9,2,2,2,2,2,9,9,9,9,2,9,9,1,2,9,2,9,1,2,9,9,9,2,2,1,2,2,2,1,2,1,1,9,9,1,1,9,1,1,1,2,1,2,2,1,2,1,1,2
711,STRATHCONA,Alberta,1905 - 1924,12,1911.09.21,608,2d381950-3892-4297-ab44-a57cb29bc414,"DOUGLAS, James McCrie",5396,0.6526,Liberal Party of Canada,"Businessman, farmer, merchant",Protestant,0,2,,,,,,,,,,,,,1,2,1,9,9,9,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,9,2,2,1,9,1,2,1,2,2,9,9,9,9,9,9,2,2,2,1,9,1,1,1,1,2,1,9,9,9,9,9,9,1,1,9,1,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,2,2,9,1,9,1,9,2,2,2,2,1,9,2,1,9,1,2,2,9,9,9,2,1,9,1,1,9,9,9,9,9
138,CHARLOTTE,New Brunswick,1867 - 1966,12,1911.09.21,611,2d59f464-4eaa-49f6-bf95-a548c374041a,"HARTT, Thomas Aaron",2685,0.5189,Conservative (1867-1942),"Farmer, merchant, teacher",Protestant,0,1,,,,,,,,,,,,,2,1,2,2,2,9,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,9,2,2,1,1,1,9,9,1,9,1,1,9,9,2,1,9,1,1,9,9,9,9,9,9,1,1,1,2,2,2,9,2,9,1,2,9,2,2,1,1,9,2,2,9,9,2,1,2,2,2,2,2,2,9,2,2,9,2,9,2,9,9,9,9,2,2,9,9,2,9,9,9,9,9,9,2,2,2,1,9,9,9,2,9,9,1,9,1,1,1,2,9,2,9,1,9,9,9,1
364,LAMBTON WEST,Ontario,1882 - 1966,12,1911.09.21,635,2f5657db-e63e-47b8-8ff0-51286ffbc3e6,"PARDEE, Frederick Forsyth",3139,0.5072,Liberal Party of Canada,Barrister,Protestant,0,3,,,,,,,,,,,,,1,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,1,2,1,1,2,9,2,1,2,9,9,2,2,9,2,2,2,9,1,9,2,1,2,2,9,9,1,9,9,2,2,2,2,9,1,1,1,1,1,2,1,1,1,1,2,2,9,9,9,1,1,9,9,9,1,9,1,1,1,1,9,9,9,9,1,9,9,2,9,9,9,9,9,1,1,9,1,9,1,9,9,2,2,2,1,1,2,1,9,1,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9
349,L'ASSOMPTION,Quebec,1867 - 1914,12,1911.09.21,647,2ff96afc-2249-42e1-9fc3-90e92c1d91e0,"SEGUIN, Paul-Arthur",1508,0.555,Liberal Party of Canada,Notary,Fr.Catholic,1,2,,,,,,,,,,,,,1,2,1,9,1,9,9,9,9,9,9,1,1,1,1,1,1,2,1,1,2,9,9,1,2,9,9,9,9,9,9,9,9,1,1,9,9,1,2,2,9,9,9,9,9,2,2,2,9,1,1,9,1,1,1,2,1,9,9,9,9,9,9,1,9,1,9,1,9,1,9,9,1,9,9,9,1,9,9,1,9,1,2,2,9,9,9,9,9,1,1,9,9,9,1,9,9,2,1,1,2,1,2,2,9,1,2,2,1,9,9,9,9,9,1,1,2,9,9,9,9
840,YORK,New Brunswick,1867 - 1914,12,1913.12.31,650,3040acc6-9b18-4376-90a1-e50c4b9702ac,"MCLEOD, H.F.",accl.,,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,2,9,1,2,2,9,2,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,2,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9
339,KINGS,Nova Scotia,1867 - 1924,12,1911.09.21-1915.04.24,652,309d145e-738e-4612-99e6-0c6fd1fba2a4,"FOSTER, Arthur de Witt",2474,0.5157,Conservative (1867-1942),"Broker, teacher",Protestant,0,1,,,,,,,,,,Resignation: 1915.04.24,,,2,1,2,9,2,9,2,2,2,2,1,9,9,9,2,2,2,2,2,2,1,2,2,2,1,9,1,1,1,1,1,1,1,2,9,2,1,2,9,9,9,9,9,9,9,1,1,1,1,2,9,9,9,9,9,9,2,9,2,2,1,1,1,9,9,9,9,9,9,2,2,9,2,2,2,2,9,2,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
565,PRINCE ALBERT,Saskatchewan,1907 - 1987,12,1915.02.01,665,316d1724-eb03-4f7d-a791-8e05772822d2,"DONALDSON, Samuel James",accl.,,Conservative (1867-1942),"Farmer, police officer, rancher",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,2,1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,9,1
836,YAMASKA,Quebec,1867 - 1933,12,1911.09.21,696,332bf170-8d23-4368-9b7f-322337e80d71,"MONDOU, Alberic-Archie",1870,0.5128,Conservative (1867-1942),Notary,Fr.Catholic,1,1,,,,,,,,,,,,,2,9,2,9,9,9,9,9,9,9,1,2,2,2,1,2,2,1,2,2,2,9,1,2,2,9,9,9,9,9,9,9,9,9,2,9,9,2,9,9,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,1,1,1,2,2,2,2,2,9,2,2,2,2,9,2,2,2,2,2,2,9,9,9,9,9,1,9,9,9,1,1,9,9,9,9,9,9,2,1,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9
44,BELLECHASSE,Quebec,1867 - 1996,12,1911.09.21-1916.05.12,723,34c603b6-c48b-4293-b94e-e09fc9ec807a,"LAVALLEE, Joseph-Octave",1742,0.5067,Conservative (1867-1942),"Director, journalist",Fr.Catholic,1,1,,,,,,,,,,Resignation: 1916.05.12,,,2,9,2,2,2,9,2,2,2,2,1,2,9,9,2,2,2,2,2,2,1,9,2,2,1,9,9,9,9,9,9,9,9,9,9,2,2,9,1,1,9,9,9,9,9,1,1,1,9,2,2,2,2,2,2,1,9,1,2,2,1,9,9,2,2,2,2,2,9,2,2,9,2,2,2,9,2,2,9,2,9,9,9,9,1,2,9,2,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
337,KING'S AND ALBERT,New Brunswick,1903 - 1914,12,1911.09.21-1917.06.28,739,35dd3809-2583-4766-adfc-e973b7482fc7,"FOWLER, George William",3734,0.5233,Conservative (1867-1942),Lawyer,Protestant,0,3,,,,,,,,,,Resignation. Called to the Senate: 1917.06.28.,,,2,9,2,9,9,9,2,2,2,9,9,9,9,9,9,9,2,2,9,9,9,9,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,9,9,9,9,9,9,9,9,1,9,2,9,2,2,2,1,9,1,9,9,9,9,9,2,9,9,9,9,9,2,2,9,9,2,2,2,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
530,OXFORD SOUTH,Ontario,1867 - 1933,12,1911.09.21,790,39733e89-5c63-44ea-a981-bc71336702b7,"SUTHERLAND, Donald",2503,0.5024,Conservative (1867-1942),Farmer,Protestant,0,1,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,9,9,9,9,9,9,9,9,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,9,2,2,9,2,2,2,1,9,9,2,2,1,1,9,2,2,2,2,9,1,2,2,2,2,2,2,2,2,2,2,9,2,2,9,1,1,2,9,9,2,1,2,2,9,9,9,2,1,2,2,2,1,2,1,1,2,2,1,1,2,9,9,9,9,1,2,2,1,2,1,1,9
664,SASKATOON,Saskatchewan,1907 - 1933,12,1911.09.21,822,3c4baf55-14fb-4a25-b312-608392b9c3a3,"MCCRANEY, George Ewan",5328,0.547,Liberal Party of Canada,Lawyer,Protestant,0,3,,,,,,,,,,,,,1,2,1,9,1,9,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,9,9,9,9,9,2,2,2,1,9,1,2,1,2,2,1,1,1,1,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,1,2,1,9,9,9,9,9,9,9,9,9,9,1,1,9,1,1,1,9,9,9,1,2,9,1,9,9,1,9,2,2,2,1,9,9,1,9,9,9,9,1,2,2,2,1,2,1,1,9,9,9,9,9
298,HUNTINGDON,Quebec,1867 - 1914,12,1911.09.21,824,3c716a03-43b1-401d-820f-7921b10e5565,"ROBB, James Alexander",1318,0.5293,Liberal Party of Canada,"Merchant, miller",Protestant,0,2,,,,,,,,,,,,,1,2,1,1,9,9,1,1,9,9,2,1,1,1,2,1,1,2,1,1,2,9,2,1,2,9,9,9,9,9,9,9,9,1,1,9,2,9,2,2,9,9,9,9,9,9,9,9,2,1,9,9,9,9,1,2,9,9,1,1,2,2,9,1,9,1,1,9,2,1,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,2,1,1,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
152,COLCHESTER,Nova Scotia,1867 - 1933,12,1911.09.21,862,3e9eaadb-7fa5-4651-94a6-03dcbe5d7fb5,"STANFIELD, John",2847,0.5638,Conservative (1867-1942),Industrialist,Protestant,0,3,,,,,,,,,,,,,2,1,9,9,9,9,9,9,9,2,1,9,9,9,2,9,2,2,2,2,1,9,2,2,1,9,9,1,1,9,1,1,1,9,2,9,1,2,1,1,9,9,2,2,1,1,1,1,1,9,2,2,2,2,2,1,2,1,2,2,1,1,9,2,9,2,2,2,9,2,2,9,2,2,9,2,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,1,9,2,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9
16,ANTIGONISH,Nova Scotia,1867 - 1914,12,1911.09.21-1916.05.30,909,4220103a-c5df-4b1f-989a-17b7709f2c5c,"CHISHOLM, William",1468,0.598,Liberal Party of Canada,"Lawyer, teacher",Catholic,0,3,,,,,,,,,,Resignation. Enters provincial politics in Nova Scotia: 1916.05.30,,,9,2,1,1,1,1,1,1,1,1,2,1,1,1,2,9,1,2,1,1,9,1,2,1,2,2,9,9,9,2,2,2,2,9,9,9,2,1,2,2,1,1,1,1,2,9,9,9,2,1,9,9,9,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,9,1,9,9,9,9,9,9,1,9,9,9,2,1,9,1,9,1,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
123,CARLETON,Ontario,1867 - 1966,12,1911.09.21-1912.09.16,916,42bcdaad-d952-4e38-9d69-03abfc233511,"KIDD, Edward",2616,0.6614,Conservative (1867-1942),"Cheese maker, farmer",Protestant,0,4,,,,,,,,,,Died in office: 1912.09.16,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
