Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S8S1V01,S8S1V02,S8S2V01,S8S2V02,S8S2V03,S8S2V04,S8S2V05,S8S2V06,S8S2V07,S8S3V01,S8S3V02,S8S3V03,S8S3V04,S8S3V05,S8S3V06,S8S3V07,S8S3V08,S8S3V09,S8S3V10,S8S3V11,S8S4V01,S8S4V02,S8S4V03,S8S4V04,S8S4V05,S8S4V06,S8S4V07,S8S4V08,S8S4V09,S8S5V01,S8S5V02,S8S5V03,S8S5V04,S8S5V05,S8S5V06,S8S5V07,S8S5V08,S8S5V09,S8S5V10,S8S5V11,S8S5V12,S8S5V13,S8S5V14,S8S5V15,S8S5V16
"Arsenault, Joseph Octave",Conservative (1867-1942),Prince Edward Island,"Bowell, Mackenzie",1895.02.18 - 1897.12.14 ,1895.02.18 , 1897.12.14 ,(Death),1,1,9,1,1,2,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Deblois, Pierre Antoine",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1883.02.13 - 1898.06.21 ,1883.02.13 , 1898.06.21 ,(Death),1,1,2,1,1,2,1,9,2,1,9,1,2,2,2,9,1,9,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"MacFarlane, Alexander",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1870.10.10 - 1898.12.14 ,1870.10.10 , 1898.12.14 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Adams, Michael",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1896.01.07 - 1899.01.01 ,1896.01.07 , 1899.01.01 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Sutherland, John",Independent Conservative,Manitoba,"Macdonald, John Alexander",1871.12.13 - 1899.04.13 ,1871.12.13 , 1899.04.13 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Boulton, Charles Arkoll",Liberal-Conservative,Manitoba,"Macdonald, John Alexander",1889.12.10 - 1899.05.15 ,1889.12.10 , 1899.05.15 ,(Death),2,9,2,9,9,9,9,9,9,2,1,1,2,1,1,2,2,9,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Sanford, William Eli",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.02.08 - 1899.07.10 ,1887.02.08 , 1899.07.10 ,(Death),9,9,2,9,9,9,9,9,9,9,2,9,9,1,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bellerose, Joseph Hyacinthe",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.07 - 1899.08.13 ,1873.10.07 , 1899.08.13 ,(Death),1,1,2,1,9,9,1,9,9,1,1,1,1,1,2,2,1,1,2,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Temple, Thomas",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1896.04.23 - 1899.08.25 ,1896.04.23 , 1899.08.25 ,(Death),9,9,2,2,2,2,2,2,9,2,9,1,1,9,2,2,9,9,9,9,2,2,1,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Price, Evans John",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1888.12.01 - 1899.08.30 ,1888.12.01 , 1899.08.30 ,(Death),9,9,9,2,1,2,1,9,9,9,9,9,9,9,9,9,1,2,1,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Smith, Frank",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.02 - 1900.01.01 ,1871.02.02 , 1900.01.01 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Lewin, James Davies",Liberal Party of Canada,New Brunswick,"Mackenzie, Alexander",1876.11.10 - 1900.03.11 ,1876.11.10 , 1900.03.11 ,(Death),9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Burpee, Charles",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1900.02.01 - 1900.07.19 ,1900.02.01 , 1900.07.19 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,9
"MacInnes, Donald",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1881.12.24 - 1900.12.02 ,1881.12.24 , 1900.12.02 ,(Death),9,9,1,2,1,9,9,9,9,9,2,9,9,1,2,9,9,9,9,9,2,2,1,1,2,1,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Reesor, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1901.01.01 ,1867.10.23 , 1901.01.01 ,(Resignation),9,9,9,9,9,9,9,1,9,2,9,2,1,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Ogilvie, Alexander Walker",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1881.12.24 - 1901.01.18 ,1881.12.24 , 1901.01.18 ,(Resignation),2,2,9,9,9,9,9,9,9,1,9,9,9,1,2,9,9,2,1,2,9,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"McKindsey, George Crawford",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1884.01.11 - 1901.02.12 ,1884.01.11 , 1901.02.12 ,(Death),2,2,2,2,2,9,1,9,9,2,9,2,2,9,2,2,1,9,1,2,9,9,9,2,1,1,2,1,9,9,2,1,2,9,2,2,2,1,1,2,2,2,1,2,1
"Almon, William Johnston",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1879.04.15 - 1901.02.18 ,1879.04.15 , 1901.02.18 ,(Death),9,9,2,9,1,2,9,2,9,2,9,2,2,1,1,9,9,9,9,9,2,1,2,2,1,1,2,9,9,9,1,1,2,1,2,2,2,9,9,9,9,9,9,9,9
"Paquet, Joseph Arthur",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1898.06.27 - 1901.03.29 ,1898.06.27 , 1901.03.29 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,1,9,1,9
"Ross, John Jones",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1887.04.12 - 1901.05.04 ,1887.04.12 , 1901.05.04 ,(Death),9,9,9,9,9,9,9,9,9,1,2,1,2,1,2,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Villeneuve, Joseph Octave",Conservative (1867-1942),Quebec,"Bowell, Mackenzie",1896.01.02 - 1901.06.27 ,1896.01.02 , 1901.06.27 ,(Death),2,2,9,9,1,1,1,2,9,1,9,9,9,9,2,9,1,2,2,2,9,2,1,1,2,1,2,9,9,1,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1
"Allan, George William",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1901.07.24 ,1867.10.23 , 1901.07.24 ,(Death),1,1,2,2,1,9,9,2,9,9,2,9,9,1,2,4,1,2,1,2,2,2,1,1,2,1,2,2,2,1,9,9,2,1,2,1,9,1,9,9,9,2,9,9,9
"Prowse, Samuel",Liberal-Conservative,Prince Edward Island,"Macdonald, John Alexander",1889.09.14 - 1902.01.14 ,1889.09.14 , 1902.01.14 ,(Death),1,1,1,1,2,2,1,9,2,1,2,2,2,1,1,2,9,9,9,9,2,1,2,2,1,1,2,9,9,1,9,9,2,1,2,2,2,2,2,1,2,9,9,9,9
"Snowball, Jabez Bunting",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1891.05.01 - 1902.02.01 ,1891.05.01 , 1902.02.01 ,(Resignation),1,1,9,9,1,1,2,1,9,9,2,2,1,9,2,9,2,1,2,1,9,2,1,1,2,2,1,2,2,9,2,9,1,9,2,1,9,9,9,9,9,9,9,9,9
"Mills, David",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1896.11.13 - 1902.02.07 ,1896.11.13 , 1902.02.07 ,(Resignation),99,99,1,9,9,9,9,1,2,2,9,2,1,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,2
"Clemow, Francis",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1885.02.03 - 1902.05.28 ,1885.02.03 , 1902.05.28 ,(Death),2,2,1,9,2,1,1,2,1,1,1,2,2,1,2,2,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2
"Primrose, Clarence",Liberal-Conservative,Nova Scotia,"Abbott, John Joseph Caldwell",1892.11.28 - 1902.12.02 ,1892.11.28 , 1902.12.02 ,(Death),9,9,2,1,2,2,1,9,1,9,1,9,9,1,2,2,9,9,9,9,2,1,2,2,1,1,2,1,9,1,9,9,9,9,2,2,2,1,1,2,2,2,1,2,1
"O'Donohoe, John",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1882.05.21 - 1902.12.07 ,1882.05.21 , 1902.12.07 ,(Death),9,9,9,9,1,1,2,2,9,2,1,1,1,2,2,1,9,1,9,9,9,2,1,1,2,9,9,9,1,2,1,9,1,9,2,1,1,2,2,1,9,9,9,9,9
"Armand, Joseph Franí_ois",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1903.01.01 ,1867.10.23 , 1903.01.01 ,(Death),9,9,9,9,1,9,1,9,2,9,9,9,9,9,1,2,1,9,9,2,2,1,2,2,1,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9
"McCallum, Lachlin",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1887.02.04 - 1903.01.13 ,1887.02.04 , 1903.01.13 ,(Death),2,2,1,2,2,2,9,1,2,2,9,2,2,9,2,2,1,9,9,9,2,1,2,2,1,1,2,1,1,1,2,1,2,9,1,2,2,9,9,9,9,9,9,9,9
"Gillmor, Arthur Hill",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1900.04.02 - 1903.04.13 ,1900.04.02 , 1903.04.13 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,9,2,1,1,2,2,1,1,1,2,1,9
"Carmichael, James William",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1898.12.31 - 1903.04.24 ,1898.12.31 , 1903.04.24 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"O'Brien, James",Liberal-Conservative,Quebec,"Bowell, Mackenzie",1896.01.02 - 1903.05.28 ,1896.01.02 , 1903.05.28 ,(Death),2,9,2,1,1,9,1,9,9,1,9,9,9,1,2,9,1,2,2,2,9,9,9,9,9,9,9,9,9,1,1,1,2,1,2,9,9,9,9,9,9,2,1,2,1
"Masson, Louis-Franí_ois-Rodrigue",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1890.02.03 - 1903.06.11 ,1890.02.03 , 1903.06.11 ,(Resignation),9,9,9,9,9,9,1,9,9,1,9,9,9,9,9,9,9,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Dickey, Robert Barry",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1903.07.14 ,1867.10.23 , 1903.07.14 ,(Death),2,2,1,9,9,9,9,2,1,1,9,9,9,1,2,2,1,2,9,2,2,9,9,9,9,1,2,9,9,1,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9
"Cochrane, Matthew Henry",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1872.10.17 - 1903.08.12 ,1872.10.17 , 1903.08.12 ,(Death),9,9,1,1,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,2,1,1,2,1,2,9,9,1,9,9,2,9,1,2,2,9,9,9,9,9,9,9,9
"Reid, James",Liberal-Conservative,British Columbia,"Macdonald, John Alexander",1888.10.08 - 1904.05.03 ,1888.10.08 , 1904.05.03 ,(Death),9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Dever, James",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1904.05.07 ,1868.03.14 , 1904.05.07 ,(Death),2,1,1,2,9,1,2,1,1,2,1,1,1,2,2,1,2,1,2,1,9,2,1,1,2,2,1,2,2,2,9,2,1,2,9,1,1,2,2,1,1,1,2,9,9
"Aikins, James Cox",Liberal-Conservative,Ontario,"Bowell, Mackenzie",1896.01.07 - 1904.08.06 ,1896.01.07 , 1904.08.06 ,(Death),9,9,2,9,1,9,1,2,9,1,9,2,2,9,2,2,1,2,1,2,1,2,1,1,2,1,2,9,9,1,2,9,2,9,9,2,2,9,9,9,9,9,9,9,9
"Pelletier, Charles Alphonse Pantalí©on",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1877.02.02 - 1904.09.01 ,1877.02.02 , 1904.09.01 ,(Resignation),2,2,9,9,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,9
"Wark, David",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1905.08.20 ,1867.10.23 , 1905.08.20 ,(Death),9,9,9,9,9,9,9,9,9,2,9,2,1,2,2,1,2,9,9,9,9,2,1,1,2,2,1,9,9,2,2,2,1,9,9,1,9,9,9,9,9,9,9,9,9
"Fulford, George Taylor",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1900.01.29 - 1905.10.15 ,1900.01.29 , 1905.10.15 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,2,2,1,9,1,2,1,9
"Templeman, William",Liberal Party of Canada,British Columbia,"Laurier, Wilfrid",1897.11.18 - 1906.02.16 ,1897.11.18 , 1906.02.16 ,(Resignation),99,99,99,99,99,99,99,99,99,2,9,1,1,2,1,1,9,9,9,9,1,2,1,1,2,2,1,9,9,2,2,2,9,9,2,1,9,2,2,1,1,1,2,9,9
"Vidal, Alexander",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.01.15 - 1906.11.18 ,1873.01.15 , 1906.11.18 ,(Death),9,9,1,9,1,9,9,1,2,9,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,9,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,9
"Kerr, William",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1899.03.15 - 1906.11.22 ,1899.03.15 , 1906.11.22 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,9,9,2,1,9,9,2,2,9,1,9,9,1,1,2,2,1,9,1,2,1,9
"Dobson, John",Conservative (1867-1942),Ontario,"Abbott, John Joseph Caldwell",1892.02.23 - 1907.01.27 ,1892.02.23 , 1907.01.27 ,(Death),9,9,9,2,9,2,1,9,9,9,9,1,1,1,2,2,1,9,9,9,2,9,9,1,2,1,2,1,9,1,2,1,9,9,2,2,1,2,2,1,9,2,1,9,9
"Gowan, James Robert",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1885.01.29 - 1907.02.01 ,1885.01.29 , 1907.02.01 ,(Resignation),1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,2,2,9,9,9,9,2,2,2,9,9,9,9,9,9,9,9,9
"Hingston, William Hales",Conservative (1867-1942),Quebec,"Bowell, Mackenzie",1896.01.02 - 1907.02.19 ,1896.01.02 , 1907.02.19 ,(Death),9,9,2,9,1,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Casgrain, Charles EusíÂbe",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.01.12 - 1907.03.08 ,1887.01.12 , 1907.03.08 ,(Death),2,2,2,2,9,9,9,9,9,9,1,1,2,1,2,2,9,1,9,9,1,1,2,1,2,1,2,9,9,1,1,1,2,9,9,9,2,9,9,9,9,9,9,9,9
"Lovitt, John",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1896.12.18 - 1908.04.13 ,1896.12.18 , 1908.04.13 ,(Death),99,99,1,9,9,9,9,9,9,2,2,2,1,2,1,1,9,9,9,9,2,2,1,9,9,9,9,9,9,9,1,2,1,1,2,1,1,2,2,1,2,1,1,9,9
"Merner, Samuel",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.01.12 - 1908.08.11 ,1887.01.12 , 1908.08.11 ,(Death),2,2,2,2,2,2,1,9,9,1,1,2,2,1,2,2,1,2,1,9,9,1,2,2,1,1,2,1,1,1,2,9,2,9,1,2,2,9,9,9,2,9,9,9,9
"Bernier, Thomas-Alfred",Conservative (1867-1942),Manitoba,"Abbott, John Joseph Caldwell",1892.10.27 - 1908.12.30 ,1892.10.27 , 1908.12.30 ,(Death),9,9,2,1,1,2,1,1,2,1,9,9,9,9,2,2,1,2,2,2,2,1,2,9,9,1,2,2,9,1,1,1,2,9,9,9,2,1,1,2,9,2,1,9,9
"Thibaudeau, Joseph-Rosaire",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1878.01.04 - 1909.06.16 ,1878.01.04 , 1909.06.16 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,1,9,1,9
"Perley, William Dell",Conservative (1867-1942),Northwest Territories,"Macdonald, John Alexander",1888.08.03 - 1909.07.15 ,1888.08.03 , 1909.07.15 ,(Death),1,1,1,2,2,2,1,9,9,2,1,2,1,9,2,1,2,2,2,2,2,1,2,2,1,1,2,9,9,1,9,1,2,9,1,9,9,2,2,1,9,2,1,9,9
"Ferguson, Donald",Conservative (1867-1942),Prince Edward Island,"Thompson, John Sparrow David",1893.09.04 - 1909.09.03 ,1893.09.04 , 1909.09.03 ,(Death),1,1,1,2,2,2,1,9,2,9,2,2,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,9,1,2,9,2,1,2,2,2,1,1,2,9,9,9,9,9
"Drummond, George Alexander",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1888.12.01 - 1910.02.02 ,1888.12.01 , 1910.02.02 ,(Death),9,9,9,1,9,9,1,9,9,9,9,9,9,9,9,9,9,2,9,9,9,2,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
