Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H11S1V001,H11S1V002,H11S1V003,H11S1V004,H11S1V005,H11S1V006,H11S1V007,H11S1V008,H11S1V009,H11S1V010,H11S1V011,H11S1V012,H11S1V013,H11S2V001,H11S2V002,H11S2V003,H11S2V004,H11S2V005,H11S2V006,H11S2V007,H11S2V008,H11S2V009,H11S2V010,H11S2V011,H11S2V012,H11S2V013,H11S2V014,H11S2V015,H11S2V016,H11S2V017,H11S2V018,H11S2V019,H11S2V020,H11S2V021,H11S2V022,H11S2V023,H11S3V001,H11S3V002,H11S3V003,H11S3V004,H11S3V005,H11S3V006,H11S3V007,H11S3V008,H11S3V009,H11S3V010,H11S3V011,H11S3V012,H11S3V013,H11S3V014,H11S3V015,H11S3V016,H11S3V017,H11S3V018,H11S3V019,H11S3V020,H11S3V021,H11S3V022,H11S3V023
626,RUSSELL,Ontario,1867 - 1966,11,1908.10.26,141,0b215cfb-8aa4-42c6-a549-7025e2aec83c,"MURPHY, Hon. Charles",3616,0.5942,Liberal Party of Canada,Lawyer,Catholic,0,1,,1,,,,,,,,,,,1,1,1,2,2,2,2,2,9,9,9,1,2,1,1,9,1,2,9,2,9,9,2,2,2,1,9,2,2,9,9,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,9,9,9
138,CHARLOTTE,New Brunswick,1867 - 1966,11,1908.10.26,157,0c78d365-44f7-4aaf-803d-15b6730c73c7,"TODD, William F.",2691,0.5193,Liberal Party of Canada,"Farmer, lumber merchant, manufacturer, rancher, shipper, wholesaler",Other,0,1,,,,,,,,,,,,,1,9,9,2,2,9,9,9,9,2,9,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,9,9,2,9,1,2,2,2,2,1,2,2,1,9,2,2,2,2,1,1,2,2,2,2,9,2,2,2,9,2,2,2,2
441,MIDDLESEX NORTH,Ontario,1867 - 1914,11,1908.10.26,159,0ca8568d-fa52-4ed8-bfd8-4f0c29997a67,"SMITH, Alexander Wilson",1842,0.5087,Liberal Party of Canada,"Breeder, farmer",Protestant,0,1,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,9,2,9,9,9,9,2,2,2,9,9,2,2,2,1,2,2,2,9,1,2,2,2,2,2,9,9,9,9,2,2,2,9,1,1,2,2,2,9,2,2,2,2,2,9,2,2,2
594,REGINA,Saskatchewan,1907 - 1933,11,1908.10.26,166,0d105fac-7cfa-4e90-8130-9904481a8b80,"MARTIN, William Melville",4304,0.5484,Liberal Party of Canada,"Lawyer, teacher",Protestant,0,1,,,,,,,,,,,,,1,1,1,2,2,2,2,9,9,9,2,1,9,9,1,1,9,2,9,2,1,2,2,2,2,1,2,2,2,9,1,2,2,2,2,9,2,2,9,9,9,2,2,9,1,9,2,2,2,9,2,2,2,2,9,9,2,2,2
431,MEDICINE HAT,Alberta,1907 - ,11,1908.10.26,168,0d3802ee-5118-4612-99bd-4b507be17b3b,"MAGRATH, Charles Alexander",2922,0.532,Conservative (1867-1942),Land surveyor,Protestant,0,1,,,,,,,,,,,,,2,2,9,1,1,1,1,1,1,1,1,2,1,9,2,2,9,1,1,1,9,9,2,1,1,2,9,2,1,9,2,1,1,1,1,9,1,1,2,9,1,1,1,1,9,9,9,9,9,1,1,1,1,1,1,9,9,9,9
247,GRENVILLE,Ontario,1903 - 1924,11,1908.10.26,183,0e4f9dca-5c4f-43d7-af07-16546fe9215d,"REID, John Dowsley",2380,0.577,Conservative (1867-1942),Physician,Protestant,0,5,,,,,,,,,,,,,2,2,2,1,9,9,1,9,9,1,1,9,1,2,2,9,2,9,2,1,2,1,9,1,1,2,1,9,9,9,2,1,9,9,1,2,1,1,2,9,1,9,1,1,2,9,1,1,1,1,1,1,9,9,1,1,1,1,9
684,SHERBROOKE (TOWN OF),Quebec,,11,1908.10.26,190,0ec7279a-371b-470e-b18d-0599cfac13e3,"WORTHINGTON, Arthur Norreys",2117,0.5176,Conservative (1867-1942),"Physician, surgeon",Protestant,0,2,,,,,,,,,,,,,2,9,9,9,1,9,9,1,9,1,1,9,1,9,2,9,2,1,2,9,1,1,1,1,1,2,9,1,9,9,9,1,9,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
456,MONTMAGNY,Quebec,1867 - 1933,11,1908.10.26,198,0f620ac2-c537-4e95-8523-fff6ce98e611,"ROY, Cyrias",1388,0.5302,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,1,1,2,2,2,2,2,9,2,9,1,2,9,9,1,9,2,2,2,1,2,2,2,2,1,2,1,2,2,9,9,2,2,2,1,2,2,1,1,2,2,2,2,1,9,2,9,2,9,2,2,2,9,9,2,2,2,2
791,WATERLOO SOUTH,Ontario,1867 - 1966,11,1908.10.26,203,0fb4a9ee-ace2-43d5-9360-713037a9e146,"CLARE, George A.",3015,0.5172,Conservative (1867-1942),"Businessman, manufacturer",Protestant,0,3,,,,,,,,,,,,,2,9,9,9,1,9,1,1,9,9,1,9,1,2,2,9,2,9,9,1,9,1,9,2,1,2,1,9,9,9,9,9,9,9,9,9,1,9,2,9,9,9,9,9,9,9,9,1,9,1,9,9,1,1,9,9,1,1,1
582,QUEBEC WEST,Quebec,1867 - 1933,11,1908.10.26,241,12360c2c-c30e-4569-93e9-68b28d95b01b,"PRICE, William",1025,0.5025,Conservative (1867-1942),"Lumber merchant, manufacturer",Protestant,0,1,,,,,,,,,Chile,,,,2,9,9,1,9,1,9,1,1,1,9,9,1,2,2,9,2,1,9,9,9,9,9,1,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,1,9,9,1,1,9,9,9,9,9,9,9,9
840,YORK,New Brunswick,1867 - 1914,11,1908.10.26,270,141251da-0bcf-4479-a271-f2e446d6cfc5,"CROCKET, Oswald S.",3653,0.5675,Conservative (1867-1942),"Author, barrister, correspondent",Protestant,0,2,,,,,,,,,,,,,2,9,9,9,1,9,9,1,1,1,1,2,1,2,2,9,2,1,2,1,2,1,9,1,1,2,1,2,1,1,2,1,9,1,1,9,1,1,2,9,1,1,1,1,9,9,1,1,1,1,1,1,1,1,9,1,1,9,1
383,LAVAL,Quebec,1867 - 1914,11,1908.10.26,272,145ee724-8129-4bb1-9823-80b4720ad97a,"WILSON, Charles-Avila",2194,0.508,Liberal Party of Canada,Lawyer,Fr.Catholic,0,1,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,9,9,9,9,9,1,1,2,2,2,1,2,2,2,2,1,2,1,2,9,1,2,2,2,2,1,2,2,1,9,2,2,2,9,1,1,2,2,2,9,9,9,9,9,2,2,2,9,9
131,CHAMPLAIN,Quebec,1867 - 2003,11,1908.10.26,308,16ce500b-a94a-497d-a6d8-216f81209b13,"BLONDIN, Pierre-Edouard",3310,0.5071,Conservative (1867-1942),"Lawyer, notary",Fr.Catholic,1,1,,,,,,,,,,,,,2,9,2,1,9,1,9,1,9,9,9,9,1,9,9,1,9,1,2,1,1,9,1,2,1,2,1,9,9,9,2,1,9,9,1,2,2,1,2,9,9,9,9,9,9,2,1,9,1,9,1,9,1,1,9,9,1,9,9
280,HASTINGS WEST,Ontario,1867 - 1924,11,1908.10.26,336,185cfc9f-0de6-4492-8cdf-b36fb5308b50,"PORTER, Edward Guss",3360,0.6044,Conservative (1867-1942),Barrister,Protestant,0,3,,,,,,,,,,,,,9,9,9,1,1,9,9,1,1,1,1,9,1,9,2,9,9,9,2,9,9,9,2,1,1,2,9,1,1,9,2,1,9,9,1,9,1,1,9,1,9,9,1,1,9,2,1,1,9,1,1,9,1,1,9,1,1,1,1
29,BAGOT,Quebec,1867 - 1933,11,1908.10.26,342,1899ea86-f65d-4338-b41b-708b33450cc6,"MARCILE, Joseph-Edmond",1884,0.5485,Liberal Party of Canada,Merchant,Fr.Catholic,1,4,,,,,,,,,,,,,1,1,1,2,9,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,1,2,9,1,2,2,2,2,1,2,2,1,9,2,2,2,2,1,1,2,2,2,2,2,2,2,2,9,9,2,2,2
836,YAMASKA,Quebec,1867 - 1933,11,1908.10.26,356,19e75f41-86b7-4029-bfd1-884496fe3a02,"GLADU, Joseph-Ernest-Oscar",1846,0.5122,Liberal Party of Canada,Notary,Fr.Catholic,1,2,,,,,,,,,,,,,9,9,9,9,9,2,2,2,2,2,2,1,2,1,1,1,9,9,9,9,9,2,2,2,2,1,2,9,2,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,1,9,2,9,2,2,2,2,2,2,2,9,9,9,9
274,HANTS,Nova Scotia,1867 - 1924,11,1908.10.26,371,1b637cfa-e603-4e85-9454-14ead2cf59eb,"BLACK, Judson Burpee",2141,0.516,Liberal Party of Canada,Physician,Protestant,0,2,,,,,,,,,,,,,1,9,9,2,2,2,2,2,2,2,2,9,9,9,9,1,9,2,2,2,1,9,2,2,2,1,2,2,9,2,1,2,9,9,9,9,2,2,1,1,2,2,2,2,1,9,2,9,2,9,9,9,9,2,9,2,2,2,2
654,ST. ANNE,Quebec,1892 - 1914,11,1908.10.26,394,1d093884-066e-4154-90c4-5125c80965b9,"DOHERTY, Charles Joseph",2881,0.5061,Conservative (1867-1942),"Bank manager, lawyer",Catholic,0,1,,,,,,,,,,,,,2,2,2,1,1,1,1,1,9,1,1,9,1,9,9,1,9,9,9,9,1,1,1,1,1,2,9,1,1,9,2,9,9,1,1,2,1,1,2,9,1,1,9,1,2,2,9,1,1,9,1,9,9,9,1,1,1,1,9
655,ST. MARY,Quebec,1892 - 1947,11,1908.10.26,406,1de351b4-9b68-4be3-a9aa-17ac27646fa5,"MARTIN, Mederic",3523,0.5703,Liberal Party of Canada,Industrialist,Fr.Catholic,1,2,,,,,,,,,,,,,1,1,1,2,9,2,2,2,2,2,9,1,2,1,1,1,9,2,9,9,9,2,2,2,2,1,9,1,2,9,1,2,2,9,2,1,2,2,1,9,9,9,2,2,1,1,2,2,9,2,9,2,9,9,2,2,2,2,9
97,CALGARY,Alberta,1905 - 1914,11,1908.10.26,408,1e037aa7-b131-40dc-97bd-e2abe2a974e7,"MCCARTHY, Maitland Stewart",4105,0.4966,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,,,,,2,9,9,9,9,9,1,1,9,1,9,9,1,9,2,9,2,9,1,1,9,1,2,1,1,2,9,9,9,9,2,9,9,1,9,9,9,9,2,1,1,9,1,1,2,9,9,9,9,9,9,1,1,1,9,9,1,1,9
336,KING'S,Prince Edward Island,1892 - 1966,11,1908.10.26,422,1ed4a5b5-0642-4aa4-8c1f-c74d0f896aa5,"FRASER, Austin Levi",2672,0.5176,Conservative (1867-1942),Lawyer,Catholic,0,1,,,,,,,,,,,,,2,9,2,1,1,1,9,9,1,1,1,9,1,2,2,9,2,9,1,1,9,1,2,1,1,2,1,2,1,9,2,1,1,9,9,9,1,1,2,1,1,1,1,1,2,2,9,9,1,1,1,1,1,1,1,1,1,1,1
737,TORONTO EAST,Ontario,1867 - 1933,11,1908.10.26,426,1f3bef0e-cafb-4f1f-af7c-c5e8ddc5b512,"RUSSELL, Joseph",4039,0.5544,Independent,Industrialist,Protestant,0,1,,,,,,,,,,,,,2,9,2,1,1,9,1,1,9,1,1,9,1,2,2,2,9,9,1,9,9,1,2,1,1,2,9,1,1,1,2,1,1,1,1,1,1,1,2,9,1,1,1,9,9,9,1,1,1,1,1,9,1,1,9,1,1,1,9
691,SOURIS,Manitoba,1903 - 1952,11,1908.10.26,452,20b6507f-4331-4342-ad1d-68bb1492c315,"SCHAFFNER, Frederick Lawrence",3310,0.5768,Conservative (1867-1942),Physician,Protestant,0,2,,,,,,,,,,,,,2,2,2,1,1,1,1,1,1,1,1,9,1,2,2,2,2,1,9,1,2,1,2,1,1,2,9,2,1,9,2,1,1,1,1,9,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,9,9,1,1,1
134,CHARLEVOIX,Quebec,1867 - 1914,11,1908.10.26,458,21707cca-53c0-45ee-bc24-f51541501b91,"FORGET, Rodolphe",1934,0.5286,Conservative (1867-1942),"Businessman, financier, stockbroker",Fr.Catholic,1,2,,,,,,,,,,,,,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9
351,L'ISLET,Quebec,1867 - 1933,11,1908.10.26,475,22bac231-c23b-4794-8dfb-46bf52cd7616,"PAQUET, Eugene",1349,0.5326,Conservative (1867-1942),Physician,Fr.Catholic,1,2,,,,,,,,,,,,,2,9,2,1,1,1,1,1,1,9,1,2,1,9,9,1,9,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,9,9,1,2,1,2,2,9,1,1,1,9,9,1,9,1,1,1,1,9,1,1,9,1,1,9
551,PONTIAC,Quebec,1867 - 1947,11,1908.10.26,500,2496cf3e-1923-4043-8b67-08bde63cc081,"HODGINS, George Fred.",2543,0.5857,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,,,,,1,1,1,2,2,2,2,2,9,2,2,9,2,1,1,1,9,2,2,2,9,2,2,9,2,1,2,2,2,9,1,2,9,2,2,9,2,2,1,9,2,2,2,2,1,1,2,2,2,9,9,2,9,2,2,2,2,2,9
417,MAISONNEUVE,Quebec,1892 - 1933,11,1908.10.26,508,2555053a-03ba-40ed-a2fb-de4f35b5fca4,"VERVILLE, Alphonse",7358,0.7147,Labour,Plumber,Fr.Catholic,1,2,,,,,,,,,,,,,1,1,1,2,9,2,2,2,9,2,2,9,2,1,1,1,2,9,9,2,1,2,1,2,1,2,2,1,2,9,1,9,9,2,2,9,2,1,9,9,2,2,2,2,1,1,2,2,9,2,9,2,2,2,2,2,2,2,9
10,ALGOMA EAST,Ontario,1903 - 1966,11,1908.10.26,518,263d1f72-ec01-4d46-a10f-3581e515a56b,"SMYTH, William Ross",2849,0.5036,Conservative (1867-1942),"Lumber merchant, merchant",Protestant,0,1,,,,,,,,,Scotland,,,,2,2,9,1,1,1,1,1,1,1,1,2,1,9,9,9,2,9,9,9,9,9,2,1,1,2,9,9,9,1,2,9,1,9,9,1,1,1,2,9,1,1,1,9,2,2,9,1,9,1,1,1,1,1,1,1,9,9,1
11,ALGOMA WEST,Ontario,1903 - 1966,11,1908.10.26,523,26ad1170-885a-462b-b4fe-d5b28a33f671,"BOYCE, Arthur Cyril",2079,0.5265,Conservative (1867-1942),"Barrister, lawyer",Protestant,0,2,,,,,,,,,Ireland,,,,2,2,2,1,1,1,1,1,9,1,1,9,1,2,2,1,2,1,2,1,2,1,2,1,1,2,9,2,1,9,2,1,1,1,1,2,9,9,2,9,1,1,1,9,9,9,1,1,1,9,9,9,9,9,9,1,9,1,1
593,RED DEER,Alberta,1907 - ,11,1908.10.26,592,2ba4bee0-f459-430e-9e36-439d1e383984,"CLARK, Michael",3481,0.5194,Liberal Party of Canada,"Farmer, physician, rancher",Protestant,0,1,,,,,,,,,England,,,,1,1,1,2,9,2,9,2,2,2,2,1,2,9,9,9,1,2,2,2,1,2,2,2,2,1,9,2,2,2,1,9,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,9,2,9,2,9,9,9,9,2,2,2
739,TORONTO NORTH,Ontario,1903 - 1924,11,1908.10.26,604,2cf93f16-ac02-4963-ae74-f74b1cb23251,"FOSTER, Hon. George Eulas",4398,0.5231,Conservative (1867-1942),"Professor, teacher",Protestant,0,6,,,,,,,,,,,,,9,9,9,1,1,1,1,1,9,1,1,2,1,9,9,1,9,9,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2,9,9,1,1,1,9,9,1,1,1,9,9,1,1,1,9,9,9,9,9
711,STRATHCONA,Alberta,1905 - 1924,11,1909.10.20,608,2d381950-3892-4297-ab44-a57cb29bc414,"DOUGLAS, James McCrie",accl.,,Liberal Party of Canada,"Businessman, farmer, merchant",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,1,9,2,9,1,2,2,2,2,1,9,2,2,2,1,2,2,2,2,9,2,2,9,9,9,2,2,2,1,1,2,2,2,2,2,2,2,2,2,9,9,9,9
364,LAMBTON WEST,Ontario,1882 - 1966,11,1908.10.26,635,2f5657db-e63e-47b8-8ff0-51286ffbc3e6,"PARDEE, Frederick Forsyth",3205,0.5117,Liberal Party of Canada,Barrister,Protestant,0,2,,,,,,,,,,,,,1,9,9,2,2,2,9,2,2,2,2,1,2,9,9,9,9,9,2,2,9,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,9,9,9,2,2,2,2,9,2,2,9,9,9
485,NICOLET,Quebec,1867 - 1933,11,1908.10.26,644,2fb1da53-0195-4ca8-8d54-605ad9c8f91b,"TURCOTTE, Gustave-Adolphe",2718,0.5698,Liberal Party of Canada,Physician,Fr.Catholic,1,2,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,9,2,2,2,1,2,2,2,2,1,2,1,2,9,1,2,2,9,2,1,2,2,1,2,2,2,2,2,1,1,9,2,2,2,2,2,2,2,2,9,2,2,2
349,L'ASSOMPTION,Quebec,1867 - 1914,11,1908.10.26,647,2ff96afc-2249-42e1-9fc3-90e92c1d91e0,"SEGUIN, Paul-Arthur",1524,0.618,Liberal Party of Canada,Notary,Fr.Catholic,1,1,,,,,,,,,,,,,9,1,1,2,2,2,2,2,2,9,2,9,9,1,1,9,1,9,9,2,9,2,2,2,2,1,2,1,2,9,1,2,9,2,2,1,2,2,9,9,2,2,2,9,1,9,2,9,2,9,2,2,2,2,2,9,2,2,9
578,QUEBEC COUNTY,Quebec,1867 - 1924,11,1908.10.26,674,31dc6773-83ba-4b9d-b6f8-28a147eee8b3,"TURCOTTE, Joseph-Pierre",2139,0.5129,Liberal Party of Canada,"Author, lawyer",Fr.Catholic,1,1,,,,,,,,,,,,,1,1,1,2,2,2,9,2,2,2,9,1,2,9,1,1,1,2,9,2,1,2,2,2,2,1,2,1,2,9,1,2,2,2,2,1,2,2,9,9,2,2,2,2,1,9,2,9,2,2,2,9,2,2,9,2,2,2,2
263,HALIFAX,Nova Scotia,1867 - ,11,1908.10.26,708,339d13c5-7e32-4689-a901-43c60d822d74,"CROSBY, Adam B.",7115,0.2582,Conservative (1867-1942),"Exporter, merchant",Catholic,0,1,,,,,,,,,Ireland,,,,2,9,2,1,1,9,9,1,9,1,1,2,1,9,9,9,2,1,9,1,2,9,9,9,9,9,1,1,1,9,2,1,1,1,1,9,1,1,9,9,1,1,9,1,9,2,9,1,1,1,1,1,1,1,1,9,9,9,1
639,ST. JAMES,Quebec,1892 - 1947,11,1908.10.26,721,34b13ceb-bb77-4ad5-b74c-974b9a4a905d,"GERVAIS, Honore",3995,0.6181,Liberal Party of Canada,"Author, lawyer, professor",Fr.Catholic,1,3,,,,,,,,,,,,,1,9,1,9,2,2,9,9,2,2,9,9,2,9,1,9,1,9,9,2,9,2,2,2,2,1,9,1,9,2,1,2,9,9,2,1,2,2,1,9,2,2,2,9,9,9,9,9,2,9,2,2,2,2,9,9,9,9,9
565,PRINCE ALBERT,Saskatchewan,1907 - 1987,11,1908.10.26,787,3957bb98-8c10-4200-82aa-5ae6308f84ae,"RUTAN, William Wintfield",2413,0.5141,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,United States,,,,1,1,1,2,2,2,2,9,9,9,2,1,2,1,1,1,1,9,2,2,1,2,2,2,2,1,2,2,2,9,1,2,2,2,2,9,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,9,2,2,2
253,GREY SOUTH,Ontario,1867 - 1914,11,1908.10.26,798,3a1cbab4-d7ac-4eb9-a34f-08d9d7e898c8,"MILLER, Henry Morton",2267,0.5098,Liberal Party of Canada,Real estate agent,Protestant,0,2,,,,,,,,,,,,,1,1,9,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,9,2,2,9,2,2,1,1,2,2,9,2,1,9,2,2,2,9,9,2,2,2,2,2,2,2,2
337,KING'S AND ALBERT,New Brunswick,1903 - 1914,11,1908.10.26,802,3a740c8f-6f39-4f4c-a247-6a76a1f4b11d,"MCALISTER, Duncan H.",3573,1,Liberal Party of Canada,Physician,Protestant,0,1,,,,,,,,,,,,,1,1,1,2,2,2,9,9,2,2,2,9,2,1,1,9,9,2,2,2,9,2,2,2,2,1,2,9,9,9,9,9,9,2,2,1,2,2,1,1,2,2,2,9,9,1,2,2,2,2,2,2,2,2,2,9,2,2,2
664,SASKATOON,Saskatchewan,1907 - 1933,11,1908.10.26,822,3c4baf55-14fb-4a25-b312-608392b9c3a3,"MCCRANEY, George Ewan",3645,0.627,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,1,9,1,1,1,1,9,2,2,1,9,2,2,2,1,9,2,2,2,1,2,2,2,2,9,2,2,1,9,2,2,2,2,1,9,2,2,2,9,2,2,2,2,2,9,9,9,9
