Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S2S1V01,S2S1V02,S2S1V03,S2S1V04,S2S1V05
"Perry, Ebenezer",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.02 - 1876.05.01 ,1871.02.02 , 1876.05.01 ,(Death),1,1,1,2,2
"MacFarlane, Alexander",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1870.10.10 - 1898.12.14 ,1870.10.10 , 1898.12.14 ,(Death),2,1,1,2,9
"Northup, Jeremiah",Liberal Party of Canada,Nova Scotia,"Macdonald, John Alexander",1870.10.10 - 1879.04.10 ,1870.10.10 , 1879.04.10 ,(Death),9,1,1,2,9
"McLelan, Archibald Woodbury",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1869.06.21 - 1881.05.20 ,1869.06.21 , 1881.05.20 ,(Resignation),9,1,1,2,9
"Dever, James",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1904.05.07 ,1868.03.14 , 1904.05.07 ,(Death),2,9,9,9,9
"Glasier, John",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1894.07.07 ,1868.03.14 , 1894.07.07 ,(Death),9,9,9,9,9
"Benson, James Rea",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1868.03.14 - 1885.03.18 ,1868.03.14 , 1885.03.18 ,(Death),2,1,1,2,2
"Chapais, Jean-Charles",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1868.01.30 - 1885.07.17 ,1868.01.30 , 1885.07.17 ,(Death),9,1,2,2,2
"Miller, William",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1912.02.23 ,1867.10.23 , 1912.02.23 ,(Death),1,9,9,9,9
"Wark, David",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1905.08.20 ,1867.10.23 , 1905.08.20 ,(Death),1,1,1,9,1
"Dickey, Robert Barry",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1903.07.14 ,1867.10.23 , 1903.07.14 ,(Death),9,1,1,2,9
"Armand, Joseph François",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1903.01.01 ,1867.10.23 , 1903.01.01 ,(Death),2,1,2,2,2
"Allan, George William",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1901.07.24 ,1867.10.23 , 1901.07.24 ,(Death),2,9,9,9,9
"Reesor, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1901.01.01 ,1867.10.23 , 1901.01.01 ,(Resignation),1,2,9,1,1
"McClelan, Abner Reid",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1896.12.09 ,1867.10.23 , 1896.12.09 ,(Resignation),1,1,1,9,1
"Macpherson, David Lewis",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1896.08.16 ,1867.10.23 , 1896.08.16 ,(Death),1,2,9,1,2
"Guèvremont, Jean-Baptiste",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1896.06.14 ,1867.10.23 , 1896.06.14 ,(Resignation),2,1,2,2,2
"Chaffers, William Henry",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1894.07.19 ,1867.10.23 , 1894.07.19 ,(Death),2,2,2,1,1
"Flint, Billa",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1894.06.14 ,1867.10.23 , 1894.06.14 ,(Death),9,1,1,2,9
"Botsford, Amos Edwin",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1894.03.22 ,1867.10.23 , 1894.03.22 ,(Death),1,1,1,9,9
"Odell, William Hunter",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1891.07.25 ,1867.10.23 , 1891.07.25 ,(Death),2,9,9,9,1
"Leonard, Elijah",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1891.05.14 ,1867.10.23 , 1891.05.14 ,(Death),2,9,9,9,9
"Archibald, Thomas Dickson",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1890.10.18 ,1867.10.23 , 1890.10.18 ,(Death),1,1,1,2,9
"Ryan, Thomas",Liberal-Conservative,Quebec,Royal Proclamation,1867.10.23 - 1889.05.25 ,1867.10.23 , 1889.05.25 ,(Death),2,1,9,2,1
"Ferguson, John",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1888.08.21 ,1867.10.23 , 1888.08.21 ,(Death),1,1,1,2,9
"Ferrier, James",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1888.05.30 ,1867.10.23 , 1888.05.30 ,(Death),2,1,1,2,2
"McMaster, William",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1887.09.22 ,1867.10.23 , 1887.09.22 ,(Death),9,2,1,1,9
"Cormier, Charles",Nationalist Liberal,Quebec,Royal Proclamation,1867.10.23 - 1887.05.07 ,1867.10.23 , 1887.05.07 ,(Death),1,2,2,1,2
"Hamilton, John",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1887.05.01 ,1867.10.23 , 1887.05.01 ,(Resignation),2,1,1,9,9
"Campbell, Alexander",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1887.02.07 ,1867.10.23 , 1887.02.07 ,(Resignation),2,1,9,2,2
"Simpson, John",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1885.03.21 ,1867.10.23 , 1885.03.21 ,(Death),2,2,9,1,9
"Dickson, Walter Hamilton",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1884.02.19 ,1867.10.23 , 1884.02.19 ,(Resignation),1,2,1,1,9
"Bourinot, John",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1884.01.21 ,1867.10.23 , 1884.01.21 ,(Death),9,9,9,2,9
"Price, David Edward",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1883.08.22 ,1867.10.23 , 1883.08.22 ,(Death),9,1,2,2,9
"Bureau, Jacques-Olivier",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1883.02.07 ,1867.10.23 , 1883.02.07 ,(Death),9,2,2,1,9
"Hamilton, John",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1882.10.10 ,1867.10.23 , 1882.10.10 ,(Death),2,9,1,9,2
"Dumouchel, L_andre",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1882.09.23 ,1867.10.23 , 1882.09.23 ,(Death),1,1,2,2,2
"Aikins, James Cox",Liberal-Conservative,Ontario,Royal Proclamation,1867.10.23 - 1882.05.30 ,1867.10.23 , 1882.05.30 ,(Resignation),2,1,1,2,2
"Skead, James",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1881.01.20 ,1867.10.23 , 1881.01.20 ,(Resignation),2,1,1,2,1
"Christie, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1880.12.15 ,1867.10.23 , 1880.12.15 ,(Death),1,2,2,1,1
"Seymour, Benjamin",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1880.03.23 ,1867.10.23 , 1880.03.23 ,(Death),2,9,1,1,2
"Wilmot, Robert Duncan",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1880.02.10 ,1867.10.23 , 1880.02.10 ,(Resignation),1,9,1,1,1
"McDonald, Donald",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1879.01.20 ,1867.10.23 , 1879.01.20 ,(Death),2,1,9,2,2
"Lacoste, Louis",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1878.11.26 ,1867.10.23 , 1878.11.26 ,(Death),2,1,2,9,2
"Shaw, James",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1878.02.06 ,1867.10.23 , 1878.02.06 ,(Death),2,1,1,2,2
"Wilson, Charles",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1877.05.04 ,1867.10.23 , 1877.05.04 ,(Death),9,1,2,9,9
"Letellier de St-Just, Luc",Nationalist Liberal,Quebec,Royal Proclamation,1867.10.23 - 1876.12.14 ,1867.10.23 , 1876.12.14 ,(Resignation),1,2,9,1,1
"Robertson, John",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1876.08.03 ,1867.10.23 , 1876.08.03 ,(Death),1,1,9,9,9
"Holmes, John",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1876.06.03 ,1867.10.23 , 1876.06.03 ,(Death),1,9,1,2,9
"Kenny, Edward",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1876.04.11 ,1867.10.23 , 1876.04.11 ,(Resignation),9,1,2,9,9
"Malhiot, Charles",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1874.11.09 ,1867.10.23 , 1874.11.09 ,(Death),1,2,2,1,1
"Hazen, Robert Leonard",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1874.08.15 ,1867.10.23 , 1874.08.15 ,(Death),9,9,9,9,9
"Mills, Samuel",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1874.01.24 ,1867.10.23 , 1874.01.24 ,(Death),9,9,1,2,2
"Foster, Asa Belknap",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1874.01.01 ,1867.10.23 , 1874.01.01 ,(Resignation),9,9,9,9,9
"Locke, John",Liberal Party of Canada,Nova Scotia,Royal Proclamation,1867.10.23 - 1873.12.12 ,1867.10.23 , 1873.12.12 ,(Death),9,2,1,1,9
"Blake, Oliver",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1873.12.10 ,1867.10.23 , 1873.12.10 ,(Death),1,2,1,1,9
"Steeves, William Henry",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1873.12.09 ,1867.10.23 , 1873.12.09 ,(Death),9,9,9,9,9
"Leslie, James",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1873.12.06 ,1867.10.23 , 1873.12.06 ,(Death),9,9,9,9,9
"Renaud, Louis",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1873.10.01 ,1867.10.23 , 1873.10.01 ,(Resignation),9,9,9,9,9
"Olivier, Louis Auguste",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1873.09.08 ,1867.10.23 , 1873.09.08 ,(Resignation),1,1,2,2,1
"Burnham, Asa Allworth",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1873.05.10 ,1867.10.23 , 1873.05.10 ,(Death),2,1,1,9,99
"Tessier, Ulric Joseph",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1873.02.11 ,1867.10.23 , 1873.02.11 ,(Resignation),99,99,99,99,99
"Matheson, Roderick",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1873.01.13 ,1867.10.23 , 1873.01.13 ,(Death),99,99,99,99,99
