Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S7S1V01,S7S1V02,S7S1V03,S7S1V04,S7S1V05,S7S1V06,S7S1V07,S7S1V08,S7S1V09,S7S1V10,S7S2V01,S7S2V02,S7S2V03,S7S2V04,S7S2V05,S7S2V06,S7S2V07,S7S3V01,S7S3V02,S7S3V03,S7S3V04,S7S4V01,S7S4V02,S7S4V03,S7S4V04,S7S4V05,S7S4V06,S7S4V07,S7S4V08,S7S4V09,S7S4V10,S7S4V11,S7S4V12,S7S5V01,S7S5V02,S7S5V03,S7S5V04,S7S5V05,S7S5V06,S7S5V07,S7S5V08,S7S5V09
"Stevens, Gardner Green",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1876.02.12 - 1892.04.15 ,1876.02.12 , 1892.04.15 ,(Death),9,2,1,1,9,9,2,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Girard, Marc-Amable",Conservative (1867-1942),Manitoba,"Macdonald, John Alexander",1871.12.13 - 1892.09.12 ,1871.12.13 , 1892.09.12 ,(Death),2,2,2,2,2,2,1,2,1,1,9,1,2,2,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Grant, Robert Patterson",Liberal Party of Canada,Nova Scotia,"Mackenzie, Alexander",1877.02.02 - 1892.11.13 ,1877.02.02 , 1892.11.13 ,(Death),2,1,1,1,1,1,2,1,2,2,9,2,1,1,2,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Montgomery, Donald",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1893.07.31 ,1873.10.18 , 1893.07.31 ,(Death),9,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,9,2,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Boyd, John",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1880.02.11 - 1893.09.21 ,1880.02.11 , 1893.09.21 ,(Resignation),1,1,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Abbott, John Joseph Caldwell",Liberal-Conservative,Quebec,"Macdonald, John Alexander",1887.05.12 - 1893.10.30 ,1887.05.12 , 1893.10.30 ,(Death),2,1,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Howlan, George William",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1891.03.25 - 1894.02.01 ,1891.03.25 , 1894.02.01 ,(Resignation),9,9,2,2,2,9,1,2,2,1,9,1,9,9,9,9,9,9,9,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Botsford, Amos Edwin",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1894.03.22 ,1867.10.23 , 1894.03.22 ,(Death),2,1,2,9,9,9,9,2,2,1,2,1,9,9,9,9,9,9,2,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Flint, Billa",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1894.06.14 ,1867.10.23 , 1894.06.14 ,(Death),2,9,2,9,2,2,2,2,9,9,2,2,9,2,2,1,9,9,2,2,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Glasier, John",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1894.07.07 ,1868.03.14 , 1894.07.07 ,(Death),9,1,2,2,2,2,9,2,2,1,1,1,2,2,1,9,2,9,9,9,9,2,1,2,1,2,2,2,2,9,9,99,99,99,99,99,99,99,99,99,99,99
"Chaffers, William Henry",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1894.07.19 ,1867.10.23 , 1894.07.19 ,(Death),1,2,2,1,9,1,2,1,1,2,9,9,2,1,2,1,9,9,1,2,9,1,2,1,9,9,9,1,1,2,9,9,9,99,99,99,99,99,99,99,99,99
"Tassí©, Joseph",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1891.02.09 - 1895.01.17 ,1891.02.09 , 1895.01.17 ,(Death),1,9,2,2,2,2,1,2,1,9,9,1,9,9,1,9,2,9,9,9,9,9,9,1,1,1,1,1,1,2,9,2,2,99,99,99,99,99,99,99,99,99
"Burns, Kennedy Francis",Liberal Party of Canada,New Brunswick,"Thompson, John Sparrow David",1893.03.21 - 1895.06.23 ,1893.03.21 , 1895.06.23 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,99,99,99,99,99
"Murphy, Edward",Liberal-Conservative,Quebec,"Macdonald, John Alexander",1889.05.30 - 1895.12.05 ,1889.05.30 , 1895.12.05 ,(Death),9,9,2,9,9,9,9,2,2,1,9,9,9,2,9,2,2,9,9,1,9,9,9,9,9,1,2,1,1,1,9,2,2,2,9,9,9,9,2,2,9,2
"Kaulback, Henry Adolphus Newman",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1872.03.27 - 1896.01.08 ,1872.03.27 , 1896.01.08 ,(Death),2,9,2,2,9,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,9,1,2,1,1,1,2,1,1,2,1,2,2,2,1,2,1,1,1,2,2,9
"Angers, Auguste Rí©al",Conservative (1867-1942),Quebec,"Thompson, John Sparrow David",1892.12.16 - 1896.06.10 ,1892.12.16 , 1896.06.10 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,2,1,9,1,2,9,9,2,2
"GuíÂvremont, Jean-Baptiste",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1896.06.14 ,1867.10.23 , 1896.06.14 ,(Resignation),9,2,9,2,9,2,1,2,2,1,9,9,2,2,1,1,2,1,9,2,1,9,9,9,9,9,2,9,9,9,1,2,2,9,1,9,1,9,2,2,9,9
"Desjardins, Alphonse",Conservative (1867-1942),Quebec,"Abbott, John Joseph Caldwell",1892.10.01 - 1896.06.16 ,1892.10.01 , 1896.06.16 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,1,9,1,2,9,9,9,9,1,1,9,9,2,2,9,9,9,1,9,9,9,9,9
"Read, Robert",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.24 - 1896.06.29 ,1871.02.24 , 1896.06.29 ,(Death),1,1,2,9,2,2,1,2,2,1,9,9,1,9,1,9,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2
"Macpherson, David Lewis",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1896.08.16 ,1867.10.23 , 1896.08.16 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Ferguson, John",Conservative (1867-1942),Ontario,"Abbott, John Joseph Caldwell",1892.10.01 - 1896.09.22 ,1892.10.01 , 1896.09.22 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,1,2,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"McClelan, Abner Reid",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1896.12.09 ,1867.10.23 , 1896.12.09 ,(Resignation),1,1,1,1,1,1,2,1,9,2,2,9,1,9,9,1,1,1,1,1,9,9,9,2,2,1,1,2,2,9,2,9,9,9,1,1,2,1,9,9,9,9
"Robitaille, Thí©odore",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1885.01.29 - 1897.08.17 ,1885.01.29 , 1897.08.17 ,(Death),9,2,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,1,2,2,1,1,2,1,1,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,9,9
"McInnes, Thomas Robert",Independent,British Columbia,"Macdonald, John Alexander",1881.12.24 - 1897.11.18 ,1881.12.24 , 1897.11.18 ,(Resignation),2,1,1,1,1,1,2,1,9,2,9,9,1,9,2,1,1,2,1,2,9,2,1,2,9,2,1,2,2,2,1,9,9,1,2,9,9,1,9,9,1,1
"Arsenault, Joseph Octave",Conservative (1867-1942),Prince Edward Island,"Bowell, Mackenzie",1895.02.18 - 1897.12.14 ,1895.02.18 , 1897.12.14 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,1,2,2,2,9,9
"Deblois, Pierre Antoine",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1883.02.13 - 1898.06.21 ,1883.02.13 , 1898.06.21 ,(Death),1,2,1,2,2,2,1,2,2,1,1,1,1,2,1,1,2,1,9,2,1,1,2,1,1,2,2,1,1,2,1,2,2,2,1,2,9,2,2,2,2,9
"MacFarlane, Alexander",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1870.10.10 - 1898.12.14 ,1870.10.10 , 1898.12.14 ,(Death),9,2,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,2,2,9,9
"Adams, Michael",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1896.01.07 - 1899.01.01 ,1896.01.07 , 1899.01.01 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Sutherland, John",Independent Conservative,Manitoba,"Macdonald, John Alexander",1871.12.13 - 1899.04.13 ,1871.12.13 , 1899.04.13 ,(Resignation),1,1,9,9,9,9,9,2,2,1,9,9,2,9,1,9,2,9,2,1,9,2,1,2,2,2,2,2,2,2,9,9,9,9,9,2,1,1,2,9,9,9
"Boulton, Charles Arkoll",Liberal-Conservative,Manitoba,"Macdonald, John Alexander",1889.12.10 - 1899.05.15 ,1889.12.10 , 1899.05.15 ,(Death),1,1,2,2,2,2,1,9,9,1,9,1,2,2,1,9,1,2,1,2,9,2,1,2,9,2,2,2,2,2,9,1,1,1,1,1,1,9,9,1,9,9
"Sanford, William Eli",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.02.08 - 1899.07.10 ,1887.02.08 , 1899.07.10 ,(Death),1,9,2,9,9,9,9,9,9,9,2,1,2,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9
"Bellerose, Joseph Hyacinthe",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.07 - 1899.08.13 ,1873.10.07 , 1899.08.13 ,(Death),1,2,1,2,1,2,2,2,1,2,1,9,2,2,2,1,9,1,1,2,9,1,2,1,1,9,2,1,1,2,1,2,2,2,1,9,2,1,2,2,9,9
"Temple, Thomas",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1896.04.23 - 1899.08.25 ,1896.04.23 , 1899.08.25 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Price, Evans John",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1888.12.01 - 1899.08.30 ,1888.12.01 , 1899.08.30 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9
"Smith, Frank",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.02 - 1900.01.01 ,1871.02.02 , 1900.01.01 ,(Resignation),1,1,2,2,2,2,1,2,2,1,9,1,9,9,9,9,2,1,2,1,2,9,9,2,1,2,2,2,9,2,9,2,2,9,9,2,1,9,2,2,2,2
"Lewin, James Davies",Liberal Party of Canada,New Brunswick,"Mackenzie, Alexander",1876.11.10 - 1900.03.11 ,1876.11.10 , 1900.03.11 ,(Death),9,1,1,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9
"MacInnes, Donald",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1881.12.24 - 1900.12.02 ,1881.12.24 , 1900.12.02 ,(Death),2,1,2,2,2,2,1,2,2,1,2,9,2,2,1,2,2,1,2,1,2,2,1,2,2,1,2,2,2,1,9,2,2,1,2,2,1,2,2,2,1,1
"Reesor, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1901.01.01 ,1867.10.23 , 1901.01.01 ,(Resignation),1,1,1,9,1,1,2,9,2,9,9,9,1,9,2,1,9,9,1,1,9,9,9,2,1,2,2,2,2,2,9,9,9,9,9,9,1,9,1,1,1,1
"Ogilvie, Alexander Walker",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1881.12.24 - 1901.01.18 ,1881.12.24 , 1901.01.18 ,(Resignation),9,1,2,2,9,2,1,2,2,1,2,9,9,9,1,9,2,9,9,1,9,2,1,2,9,9,9,9,9,9,9,2,2,9,9,9,1,9,2,2,9,9
"McKindsey, George Crawford",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1884.01.11 - 1901.02.12 ,1884.01.11 , 1901.02.12 ,(Death),1,1,2,2,2,2,1,2,2,1,9,9,2,2,1,9,2,1,2,9,2,2,1,2,9,2,2,2,2,9,9,9,9,9,2,9,1,9,2,9,9,9
"Almon, William Johnston",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1879.04.15 - 1901.02.18 ,1879.04.15 , 1901.02.18 ,(Death),9,1,2,2,9,1,2,2,2,1,2,2,1,1,1,9,2,9,2,1,9,2,1,2,1,2,2,9,9,2,1,9,9,1,2,2,1,2,2,2,9,9
"Ross, John Jones",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1887.04.12 - 1901.05.04 ,1887.04.12 , 1901.05.04 ,(Death),9,2,9,2,9,9,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,1,2,1,9,9,9,1,1,9,1,9,9,2,1,9,9,2,2,9,2,2
"Villeneuve, Joseph Octave",Conservative (1867-1942),Quebec,"Bowell, Mackenzie",1896.01.02 - 1901.06.27 ,1896.01.02 , 1901.06.27 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Allan, George William",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1901.07.24 ,1867.10.23 , 1901.07.24 ,(Death),2,1,2,2,9,2,2,2,2,1,2,1,9,2,1,9,2,2,2,1,9,2,1,2,2,1,2,2,2,1,9,2,2,9,2,9,1,9,2,2,9,9
"Prowse, Samuel",Liberal-Conservative,Prince Edward Island,"Macdonald, John Alexander",1889.09.14 - 1902.01.14 ,1889.09.14 , 1902.01.14 ,(Death),2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,1,1,9,2,1,2,2,1,9,2,2,9,9,9,9,1,2,2,1,9,2,2,9,9
"Snowball, Jabez Bunting",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1891.05.01 - 1902.02.01 ,1891.05.01 , 1902.02.01 ,(Resignation),9,1,9,1,9,9,9,9,9,9,9,1,9,9,9,9,2,9,9,9,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9
"Clemow, Francis",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1885.02.03 - 1902.05.28 ,1885.02.03 , 1902.05.28 ,(Death),9,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,1,2,1,9,2,1,2,1,1,2,2,2,2,9,2,2,1,2,2,1,1,9,2,9,2
"Primrose, Clarence",Liberal-Conservative,Nova Scotia,"Abbott, John Joseph Caldwell",1892.11.28 - 1902.12.02 ,1892.11.28 , 1902.12.02 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,2,2,1,2,1,2,1,9,9,9,1,9,9,1,2,2,1,2,2,2,2,2
"O'Donohoe, John",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1882.05.21 - 1902.12.07 ,1882.05.21 , 1902.12.07 ,(Death),1,9,9,1,9,9,2,1,9,2,9,9,1,2,1,9,1,1,9,2,2,1,2,1,1,9,9,9,9,9,1,9,9,2,1,9,9,9,2,9,9,9
"Armand, Joseph Franí_ois",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1903.01.01 ,1867.10.23 , 1903.01.01 ,(Death),1,2,1,2,1,2,2,2,1,2,1,1,2,2,1,1,9,9,9,2,1,1,2,1,1,2,2,1,1,2,1,2,2,2,1,2,2,9,2,2,9,9
"McCallum, Lachlin",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1887.02.04 - 1903.01.13 ,1887.02.04 , 1903.01.13 ,(Death),1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,1,9,9,2,1,2,1,1,1,9,9,9,1,1,1,1,2,9,1,1,1,1,9,9
"O'Brien, James",Liberal-Conservative,Quebec,"Bowell, Mackenzie",1896.01.02 - 1903.05.28 ,1896.01.02 , 1903.05.28 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Masson, Louis-Franí_ois-Rodrigue",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1890.02.03 - 1903.06.11 ,1890.02.03 , 1903.06.11 ,(Resignation),9,9,2,2,9,2,1,2,2,1,1,9,9,2,9,9,9,1,9,2,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,9,9
"Dickey, Robert Barry",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1903.07.14 ,1867.10.23 , 1903.07.14 ,(Death),2,1,9,9,9,9,9,9,9,1,2,1,2,2,9,9,9,9,2,1,2,1,2,1,2,1,9,9,9,9,9,9,9,9,1,2,1,2,2,2,9,9
"Cochrane, Matthew Henry",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1872.10.17 - 1903.08.12 ,1872.10.17 , 1903.08.12 ,(Death),9,9,2,9,9,9,9,9,9,1,2,1,9,2,1,2,9,9,9,9,9,9,9,2,9,9,2,2,2,9,9,2,2,9,9,9,1,9,9,9,9,9
"Reid, James",Liberal-Conservative,British Columbia,"Macdonald, John Alexander",1888.10.08 - 1904.05.03 ,1888.10.08 , 1904.05.03 ,(Death),9,9,2,9,9,9,9,9,9,9,2,1,2,9,9,9,9,1,1,9,9,2,1,2,9,2,2,2,2,9,9,9,9,1,2,9,1,9,9,9,1,9
"Dever, James",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1904.05.07 ,1868.03.14 , 1904.05.07 ,(Death),1,1,2,2,2,1,2,2,2,9,9,9,1,2,2,1,2,1,1,9,2,1,2,9,2,1,2,9,9,2,1,2,2,1,2,2,2,1,1,2,1,1
"Aikins, James Cox",Liberal-Conservative,Ontario,"Bowell, Mackenzie",1896.01.07 - 1904.08.06 ,1896.01.07 , 1904.08.06 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Pelletier, Charles Alphonse Pantalí©on",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1877.02.02 - 1904.09.01 ,1877.02.02 , 1904.09.01 ,(Resignation),9,9,1,2,1,1,2,1,9,2,9,1,9,1,2,9,1,9,9,2,9,1,2,1,9,1,2,1,1,9,9,9,9,2,1,9,1,9,1,9,9,9
"Wark, David",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1905.08.20 ,1867.10.23 , 1905.08.20 ,(Death),9,1,1,1,1,1,2,9,9,9,2,1,9,2,2,1,9,9,9,2,9,2,1,2,2,2,2,9,9,2,1,9,9,1,2,2,9,1,2,9,9,9
