Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S4S1V01,S4S1V02,S4S1V03,S4S1V04,S4S1V05,S4S1V06,S4S1V07,S4S1V08,S4S1V09,S4S1V10,S4S1V11,S4S1V12,S4S1V13,S4S1V14,S4S1V15,S4S1V16,S4S2V01,S4S2V02,S4S2V03,S4S2V04,S4S2V05,S4S2V06,S4S2V07,S4S2V08,S4S2V09,S4S2V10,S4S2V11,S4S2V12,S4S2V13,S4S3V01,S4S3V02,S4S3V03,S4S3V04,S4S3V05,S4S3V06,S4S3V07,S4S3V08,S4S3V09,S4S3V10,S4S3V11,S4S3V12,S4S3V13,S4S3V14,S4S3V15
"Christie, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1880.12.15 ,1867.10.23 , 1880.12.15 ,(Death),9,9,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,1,9,9,1,9,9,9,9,1,2,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Howlan, George William",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1880.12.27 ,1873.10.18 , 1880.12.27 ,(Resignation),9,9,9,9,9,9,9,9,1,9,9,9,9,9,2,2,9,1,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Skead, James",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1881.01.20 ,1867.10.23 , 1881.01.20 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McLelan, Archibald Woodbury",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1869.06.21 - 1881.05.20 ,1869.06.21 , 1881.05.20 ,(Resignation),1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,9,1,1,1,2,2,1,1,2,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Cornwall, Clement Francis",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1881.07.01 ,1871.12.13 , 1881.07.01 ,(Resignation),1,2,2,1,9,9,2,2,1,1,1,2,1,1,2,2,9,2,9,1,1,2,1,1,1,1,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bull, Harcourt Burland",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1879.02.24 - 1881.08.12 ,1879.02.24 , 1881.08.12 ,(Death),2,1,1,2,9,1,1,1,1,2,1,9,1,9,2,2,1,1,2,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Brouse, William Henry",Reformer,Ontario,"Mackenzie, Alexander",1878.08.09 - 1881.08.23 ,1878.08.09 , 1881.08.23 ,(Death),2,1,1,2,2,9,1,1,2,1,1,9,9,9,2,2,9,1,9,1,9,1,2,2,1,1,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Penny, Edward Goff",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1874.03.13 - 1881.10.11 ,1874.03.13 , 1881.10.11 ,(Death),1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,2,1,9,1,2,2,1,1,1,1,1,1,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Aikins, James Cox",Liberal-Conservative,Ontario,Royal Proclamation,1867.10.23 - 1882.05.30 ,1867.10.23 , 1882.05.30 ,(Resignation),2,1,1, ,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,1,9,9,2,1,2,1,2,1,2,2
"Fabre, Hector",Nationalist,Quebec,"Mackenzie, Alexander",1875.02.05 - 1882.07.12 ,1875.02.05 , 1882.07.12 ,(Resignation),9,9,9,9,1,9,9,9,2,1,1,2,1,9,2,2,1,1,9,1,2,9,9,9,9,1,1,9,9,9,9,9,9,1,9,9,9,9,1,2,2,9,2,2
"Hope, Adam",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1877.01.03 - 1882.08.07 ,1877.01.03 , 1882.08.07 ,(Death),2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,9,1,2,2,2,1,2,2,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9
"Dumouchel, Lí©andre",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1882.09.23 ,1867.10.23 , 1882.09.23 ,(Death),9,9,2,1,1,9,2,2,1,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Hamilton, John",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1882.10.10 ,1867.10.23 , 1882.10.10 ,(Death),2,1,2,2,9,9,9,9,1,9,9,9,1,9,9,9,9,1,2,1,2,2,2,1,1,1,1,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9
"Chinic, EugíÂne",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.04.10 - 1882.11.03 ,1873.04.10 , 1882.11.03 ,(Resignation),2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Bureau, Jacques-Olivier",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1883.02.07 ,1867.10.23 , 1883.02.07 ,(Death),9,9,9,9,1,9,2,2,2,1,1,2,2,1,1,2,2,1,9,1,1,1,2,2,9,1,2,2,9,9,9,9,9,9,9,9,9,9,2,1,2,1,9,9
"Gibbs, Thomas Nicholson",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1880.04.03 - 1883.04.07 ,1880.04.03 , 1883.04.07 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,1,1,2,1,1,1,1,2,9,2,2,1,2,2,2,1,2,1,2,9,2,2
"Price, David Edward",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1883.08.22 ,1867.10.23 , 1883.08.22 ,(Death),9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Bourinot, John",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1884.01.21 ,1867.10.23 , 1884.01.21 ,(Death),2,1,9,9,9,1,1,1,1,2,2,1,2,2,2,2,2,2,9,1,1,1,1,2,9,9,9,9,9,1,9,1,9,1,9,9,2,1,2,1,2,9,2,9
"Dickson, Walter Hamilton",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1884.02.19 ,1867.10.23 , 1884.02.19 ,(Resignation),2,1,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,1,9,1,1,1,2,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Skead, James",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1881.12.24 - 1884.07.05 ,1881.12.24 , 1884.07.05 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,9,2,9,2,2,2,1,2,1,9,9,2,2
"Pozer, Christian Henry",Nationalist,Quebec,"Mackenzie, Alexander",1876.09.20 - 1884.07.18 ,1876.09.20 , 1884.07.18 ,(Death),1,2,2,1,1,9,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1,1,2,9,9,1,9,1,1,2,9,1,2,1,1,2,2,9,1,1
"Muirhead, William",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1873.01.04 - 1884.12.29 ,1873.01.04 , 1884.12.29 ,(Death),1,2,1,2,2,1,1,1,2,1,9,2,1,1,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,9,2,2,2,1,9,9,9,9,9,9
"Benson, James Rea",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1868.03.14 - 1885.03.18 ,1868.03.14 , 1885.03.18 ,(Death),2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,1,1,2,9,9,2,2,2,2,1,9,9,9,9,2,9,9,9,9,9
"Simpson, John",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1885.03.21 ,1867.10.23 , 1885.03.21 ,(Death),1,2,2,1,2,2,2,2,2,1,2,9,2,2,2,2,2,1,2,1,2,9,9,2,1,1,2,9,9,2,2,2,2,2,9,2,2,1,2,9,9,9,9,9
"Chapais, Jean-Charles",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1868.01.30 - 1885.07.17 ,1868.01.30 , 1885.07.17 ,(Death),1,2,2,1,1,2,2,2,2,2,9,1,2,1,2,2,2,1,2,1,1,1,2,2,1,1,2,9,9,1,2,1,1,2,9,2,2,1,1,1,2,1,2,2
"Northwood, Joseph",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1880.05.19 - 1886.10.29 ,1880.05.19 , 1886.10.29 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,9,1,9,1,9,2,2,1,2,1,9,9,2,2
"Campbell, Alexander",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1887.02.07 ,1867.10.23 , 1887.02.07 ,(Resignation),2,1,2,9,9,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,9,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2
"Nelson, Hugh",Liberal-Conservative,British Columbia,"Macdonald, John Alexander",1879.12.12 - 1887.03.01 ,1879.12.12 , 1887.03.01 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Hamilton, John",Conservative (1867-1942),QuebecF,Royal Proclamation,1867.10.23 - 1887.05.01 ,1867.10.23 , 1887.05.01 ,(Resignation),2,1,9,9,1,9,9,9,9,9,2,1,1,1,9,9,1,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,9,9,9
"Cormier, Charles",Nationalist Liberal,Quebec,Royal Proclamation,1867.10.23 - 1887.05.07 ,1867.10.23 , 1887.05.07 ,(Death),1,2,1,2,1,9,9,9,2,1,1,2,2,9,2,2,2,2,9,1,1,1,2,2,1,1,2,9,9,1,2,9,1,2,9,9,9,9,1,9,9,9,9,9
"McMaster, William",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1887.09.22 ,1867.10.23 , 1887.09.22 ,(Death),2,1,2,2,2,1,1,1,9,1,2,1,1,2,1,2,1,1,9,1,2,2,1,1,2,1,2,2,2,2,1,2,2,1,9,9,2,1,2,1,2,1,1,1
"Ferrier, James",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1888.05.30 ,1867.10.23 , 1888.05.30 ,(Death),2,1,1,2,9,1,9,9,1,2,1,2,9,9,9,9,2,1,9,1,2,2,1,1,1,1,2,9,9,2,9,2,2,1,1,1,9,9,2,1,2,9,2,2
"Ferguson, John",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1888.08.21 ,1867.10.23 , 1888.08.21 ,(Death),9,9,1,2,9,1,1,1,9,9,2,1,9,9,9,2,2,2,2,1,2,9,9,9,9,9,9,9,9,2,9,2,2,9,2,2,9,9,9,9,9,1,9,9
"Ryan, Thomas",Liberal-Conservative,Quebec,Royal Proclamation,1867.10.23 - 1889.05.25 ,1867.10.23 , 1889.05.25 ,(Death),2,1,9,1,1,9,9,9,9,9,1,2,1,1,2,2,9,2,9,1,1,9,9,1,9,1,9,1,9,9,9,9,1,1,9,9,9,9,2,1,2,1,2,2
"Carvell, Jedediah Slason",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1879.12.18 - 1889.07.03 ,1879.12.18 , 1889.07.03 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,9,9,9,9,9,9,9,9,9,9,1,2,9,2,1,2,9,2,1,1,2,1,1,2,2
"Trudel, Franí_ois-Xavier-Anselme",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.31 - 1890.01.17 ,1873.10.31 , 1890.01.17 ,(Death),2,1,2,1,1,2,2,2,1,1,1,2,2,1,2,9,2,1,2,1,1,1,2,2,1,1,2,9,9,1,2,1,1,2,1,1,2,1,1,2,2,1,9,9
"Archibald, Thomas Dickson",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1890.10.18 ,1867.10.23 , 1890.10.18 ,(Death),1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,9,1,1,2,1,2,2,1,2,2,1,2,2,2,1,2,1,2,9,9,9
"Howlan, George William",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1881.01.05 - 1891.02.18 ,1881.01.05 , 1891.02.18 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,9,1,1,1,2,1,2,1,2,9,9,9
"Haythorne, Robert Poore",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1891.05.07 ,1873.10.18 , 1891.05.07 ,(Death),1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,1,2,1,9,9,2,2,2,2,1,2,2,1,1,1,2,1,2,1,1
"Leonard, Elijah",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1891.05.14 ,1867.10.23 , 1891.05.14 ,(Death),9,9,1,2,2,1,1,1,2,1,2,1,1,9,1,1,1,1,9,2,2,2,1,1,1,1,2,9,9,2,1,2,2,1,2,2,2,1,1,2,1,9,1,1
"Alexander, George",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.05.30 - 1891.05.29 ,1873.05.30 , 1891.05.29 ,(Resignation),1,2,2,2,2,1,1,1,1,1,1,2,9,1,2,2,9,9,9,2,9,2,2,1,1,2,1,9,9,2,9,2,2,2,2,2,9,2,2,1,2,1,9,9
"Odell, William Hunter",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1891.07.25 ,1867.10.23 , 1891.07.25 ,(Death),9,9,2,2,9,9,1,1,2,2,2,1,9,1,2,2,2,1,2,1,1,1,2,2,1,1,9,9,9,1,2,2,9,1,1,1,2,2,1,9,2,9,2,2
"Baillargeon, Pierre",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1874.03.27 - 1891.12.15 ,1874.03.27 , 1891.12.15 ,(Death),1,2,2,1,1,9,2,2,2,1,1,2,2,1,2,2,2,9,2,1,2,1,2,2,1,1,1,9,9,2,9,9,9,1,9,9,2,1,1,2,2,1,1,1
"Pí¢quet, Anselme HomíÂre",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1875.02.09 - 1891.12.22 ,1875.02.09 , 1891.12.22 ,(Death),9,9,2,1,1,2,9,9,2,1,1,2,1,1,2,2,2,1,9,1,2,1,2,2,1,1,1,9,9,2,9,1,1,9,9,9,2,1,1,2,2,1,1,1
"Stevens, Gardner Green",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1876.02.12 - 1892.04.15 ,1876.02.12 , 1892.04.15 ,(Death),1,2,9,9,2,1,1,1,1,1,2,1,2,2,1,9,2,1,9,9,2,2,2,2,1,1,2,9,9,2,9,2,2,2,9,2,2,1,1,2,9,1,1,1
"Girard, Marc-Amable",Conservative (1867-1942),Manitoba,"Macdonald, John Alexander",1871.12.13 - 1892.09.12 ,1871.12.13 , 1892.09.12 ,(Death),9,2,2,1,1,2,2,2,9,2,2,1,2,1,2,2,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9
"Grant, Robert Patterson",Liberal Party of Canada,Nova Scotia,"Mackenzie, Alexander",1877.02.02 - 1892.11.13 ,1877.02.02 , 1892.11.13 ,(Death),9,9,1,2,9,9,1,1,2,1,2,1,1,2,1,1,1,1,9,1,1,1,1,2,9,9,2,9,9,2,1,2,2,2,2,2,2,1,1,2,2,2,1,1
"Montgomery, Donald",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1893.07.31 ,1873.10.18 , 1893.07.31 ,(Death),2,1,1,2,1,1,1,1,2,2,9,1,1,1,2,2,2,2,2,1,2,1,2,2,9,1,1,9,9,2,1,2,2,2,2,2,2,1,9,9,9,1,2,2
"Boyd, John",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1880.02.11 - 1893.09.21 ,1880.02.11 , 1893.09.21 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,2,1,2,1,9,1,9,1,1,9,9,2,1,2,2,1,9,9,9,9,9,9,9,9,9,9
"Botsford, Amos Edwin",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1894.03.22 ,1867.10.23 , 1894.03.22 ,(Death),9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,1,9,2,1,9,1,2,1,9,9
"Flint, Billa",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1894.06.14 ,1867.10.23 , 1894.06.14 ,(Death),2,1,1,2,1,1,1,1,2,2,1,9,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,9,9,1,9,2,1,2,2
"Glasier, John",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1894.07.07 ,1868.03.14 , 1894.07.07 ,(Death),9,9,1,2,2,1,1,1,1,2,9,9,9,1,2,2,2,2,9,9,9,2,9,1,1,1,1,9,2,2,1,2,2,1,9,2,1,2,9,1,9,1,2,2
"Chaffers, William Henry",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1894.07.19 ,1867.10.23 , 1894.07.19 ,(Death),2,1,2,1,1,9,2,2,2,1,1,2,2,2,2,2,2,1,9,1,1,1,2,2,9,1,2,2,9,1,2,1,1,2,2,9,2,1,1,2,2,1,1,1
"Kaulback, Henry Adolphus Newman",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1872.03.27 - 1896.01.08 ,1872.03.27 , 1896.01.08 ,(Death),2,1,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2,2,9,2,1,2,2,2,1,1,1,9,9,1,2,2,2,1,9,9,1,2,1,2,9,1,9,9
"GuíÂvremont, Jean-Baptiste",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1896.06.14 ,1867.10.23 , 1896.06.14 ,(Resignation),1,2,9,9,1,9,9,9,9,2,1,2,2,2,2,2,2,1,9,9,1,9,9,9,1,1,2,9,9,9,9,9,9,9,9,9,9,9,1,2,9,1,9,9
"Read, Robert",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.24 - 1896.06.29 ,1871.02.24 , 1896.06.29 ,(Death),2,1,1,9,1,1,1,1,1,9,1,2,2,1,2,2,2,1,9,9,2,2,2,2,1,1,9,1,2,2,1,2,2,1,9,9,1,2,2,1,2,9,2,2
"Macpherson, David Lewis",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1896.08.16 ,1867.10.23 , 1896.08.16 ,(Death),2,1,2,9,2,2,2,2,2,2,2,1,1,2,2,2,9,9,9,1,2,2,1,9,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2
"McClelan, Abner Reid",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1896.12.09 ,1867.10.23 , 1896.12.09 ,(Resignation),1,2,1,1,2,9,2,2,2,1,2,1,2,9,1,1,2,2,9,2,1,1,1,9,2,9,2,9,9,2,1,9,2,1,2,2,9,9,1,2,1,2,9,1
