Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H04S1V001,H04S1V002,H04S1V003,H04S1V004,H04S1V005,H04S1V006,H04S1V007,H04S1V008,H04S1V009,H04S1V010,H04S1V011,H04S1V012,H04S1V013,H04S1V014,H04S1V015,H04S1V016,H04S1V017,H04S1V018,H04S2V001,H04S2V002,H04S2V003,H04S2V004,H04S2V005,H04S2V006,H04S2V007,H04S2V008,H04S2V009,H04S2V010,H04S2V011,H04S2V012,H04S2V013,H04S2V014,H04S2V015,H04S2V016,H04S2V017,H04S2V018,H04S2V019,H04S2V020,H04S2V021,H04S2V022,H04S3V001,H04S3V002,H04S3V003,H04S3V004,H04S3V005,H04S3V006,H04S3V007,H04S3V008,H04S3V009,H04S3V010,H04S3V011,H04S3V012,H04S3V013,H04S3V014,H04S3V015,H04S3V016,H04S3V017,H04S3V018,H04S3V019,H04S3V020,H04S3V021,H04S3V022,H04S3V023,H04S3V024,H04S3V025,H04S3V026,H04S3V027,H04S3V028,H04S3V029,H04S3V030,H04S3V031,H04S3V032,H04S3V033,H04S3V034,H04S3V035,H04S3V036,H04S3V037,H04S3V038,H04S3V039,H04S3V040,H04S3V041,H04S3V042,H04S3V043,H04S3V044,H04S3V045,H04S3V046,H04S3V047,H04S3V048,H04S3V049,H04S3V050,H04S4V001,H04S4V002,H04S4V003,H04S4V004,H04S4V005,H04S4V006,H04S4V007,H04S4V008,H04S4V009,H04S4V010,H04S4V011,H04S4V012,H04S4V013,H04S4V014,H04S4V015,H04S4V016,H04S4V017,H04S4V018,H04S4V019,H04S4V020,H04S4V021,H04S4V022,H04S4V023,H04S4V024,H04S4V025,H04S4V026,H04S4V027,H04S4V028,H04S4V029,H04S4V030,H04S4V031,H04S4V032,H04S4V033,H04S4V034,H04S4V035,H04S4V036,H04S4V037,H04S4V038,H04S4V039,H04S4V040,H04S4V041,H04S4V042,H04S4V043,H04S4V044,H04S4V045,H04S4V046,H04S4V047,H04S4V048,H04S4V049,H04S4V050,H04S4V051
567,PRINCE EDWARD,Ontario,1867 - 1903,4,1878.09.17,153,0c37e246-8268-43d3-87ed-9de456121d73,"MCCUAIG, James Simeon",1991,0.5393,Conservative (1867-1942),Businessman,Protestant,0,1,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,1,1,9,9,1,1,2,2,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,9,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,1,1,2,2,9,2,2,2,9,2,2,2,1,9,1,2,1,2,2,2,2,2,1,2,2,2,9,9,2,2,2,2,2,2,2,1,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
482,NIAGARA,Ontario,1867 - 1882,4,1878.09.17,156,0c6645bf-00ac-49bf-896c-5978091620b5,"HUGHES, Patrick",312,0.5016,Liberal Party of Canada,Merchant,Catholic,0,1,,,,,,,,,Ireland,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
455,MONTCALM,Quebec,1867 - 1914,4,1878.09.17,171,0d62b3d2-5d6f-498c-bc54-a4aace15e525,"DUGAS, Firmin",698,0.4993,Conservative (1867-1942),Miller,Fr.Catholic,1,4,,,,,,,,,,,,,1,1,2,9,2,2,2,2,2,2,1,1,2,2,9,9,9,9,1,9,1,2,1,2,1,1,1,2,2,2,2,2,2,9,1,2,1,2,2,9,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,1,2,1,9,9,9,2,9,9,9,2,2,9,2,9,9,9,9,9,9,9,1,9,9,9,9,2,2,9,2,2,1,1,9,2,2,9,2,9,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
810,WESTMORLAND,New Brunswick,1867 - 1966,4,1878.09.17,196,0f4b5eed-899b-4b7b-92bd-57c809d15075,"SMITH, Sir Albert J.",2572,0.5716,Liberal Party of Canada,Lawyer,Protestant,0,4,,,,,,,,,,,,,2,2,1,2,9,9,9,1,1,2,1,1,1,9,9,9,9,9,2,9,1,9,2,1,9,2,9,9,9,9,1,9,9,9,9,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,2,2,9,2,2,1,1,1,2,9,2,2,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,1,1,2,2,1,1,1,2,2,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
578,QUEBEC COUNTY,Quebec,1867 - 1924,4,1878.09.17-1880.11.07 and 1880.11.20,197,0f4d2c30-e6ab-43ec-9847-0a7006e3877d,"CARON, Joseph-Philippe-Rene-Adolphe",1702,0.6133,Conservative (1867-1942),Lawyer,Fr.Catholic,1,3,,1,,,,,,,,Resignation. Appointed Minister of Militia and Defence: 1880.11.07,,,1,1,2,9,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,2,9,9,9,1,1,2,2,2,2,2,2,1,1,9,1,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,9,2,2,9,9,1,2,2,2,9,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,9,9,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
139,CHATEAUGUAY,Quebec,1867 - 1914,4,1880.04.17,214,10399aca-125f-49e8-936b-fb370c559e17,"HOLTON, Edward",838,0.5361,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,Elected at a by-election following the death of his father,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,2,9,2,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,2,2,9,2,1,1,1,2,9,9,9,1,1,1,2,1,1,1,1,1,1,2,9,1,2,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
797,WELLINGTON SOUTH,Ontario,1867 - 1966,4,1878.09.17,223,10f048f6-a8f2-4114-8eb4-f0a4698679a8,"GUTHRIE, Donald",1832,0.5451,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,Scotland,,,,2,2,9,2,1,1,1,1,1,9,2,2,1,1,2,2,9,9,2,2,1,9,2,9,2,2,9,9,9,9,9,9,1,2,2,1,2,1,1,9,9,9,9,1,1,1,1,1,1,9,1,1,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,9,9,9,9,9,9,9,1,2,1,1,9,2,1,9,9,9,2,2,9,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9
723,TERREBONNE,Quebec,1867 - 1996,4,1878.09.17-1878.10.18 and 1878.11.06,297,162e1738-e1ae-482e-bc9a-4a027894f387,"MASSON, Hon. L.F.R.",1194,0.8684,Conservative (1867-1942),Lawyer,Fr.Catholic,1,4,,1,,,,,,,,Resignation. Appointed Minister of Militia and Defence: 1878.10.18,,,1,1,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,1,1,1,2,9,9,9,1,9,9,9,9,2,9,2,1,1,9,1,2,2,2,9,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,9,1,9,9,9,1,2,2,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
302,HURON NORTH,Ontario,1867 - 1882,4,1878.09.17,319,1774b6a7-5fc4-4176-b125-c59db0ad31f0,"FARROW, Thomas",1933,0.5111,Liberal-Conservative,School superintendent,Protestant,0,3,,,,,,,,,England,,,,1,1,2,1,2,2,2,9,9,1,1,1,9,2,1,1,2,9,1,2,1,1,9,9,2,1,9,2,1,1,2,2,2,1,9,2,2,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,9,2,9,2,9,1,9,2,2,2,2,9,2,2,2,2,2,9,2,1,1,1,9,1,9,9,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9
280,HASTINGS WEST,Ontario,1867 - 1924,4,1878.09.17,333,180eff99-5fdf-43d8-8abb-3e3653611be2,"BROWN, James",1306,0.5532,Conservative (1867-1942),Businessman,Protestant,0,4,,,,,,,,,Scotland,,,,2,2,9,9,2,9,9,1,2,1,1,1,1,2,2,9,1,9,2,2,9,2,2,9,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,1,9,9,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,9,2,1,2,1,9,1,9,9,1,2,1,1,1,9,1,1,1,1,9,1,2,1,1,1,2,1,1,1,9,2,2,9,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9
278,HASTINGS NORTH,Ontario,1867 - 1903,4,1878.09.17-1878.10.18 and 1878.11.06,338,1871c43c-bda4-464a-949f-e8206ed0d673,"BOWELL, Hon. Mackenzie",1249,0.5534,Conservative (1867-1942),"Editor, printer",Protestant,0,4,,1,,,,,,,England,Resignation. Appointed Minister of Customs: 1878.10.18,,,1,1,2,1,2,2,2,2,2,9,2,2,2,1,1,1,2,1,1,1,1,2,1,2,9,1,1,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,1,9,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,9,9,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
211,ESSEX,Ontario,1867 - 1882,4,1878.09.17,359,1a95f1d0-625b-495f-ac74-a980d1aa55e1,"PATTERSON, J.C.",2596,0.5254,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,Ireland,,,,1,1,2,9,2,2,2,2,2,1,1,1,2,2,9,1,2,2,9,1,9,1,1,2,1,1,1,2,1,1,2,9,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,2,2,9,9,2,9,9,2,2,1,2,1,2,2,2,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2
36,BEAUCE,Quebec,1867 - ,4,1878.09.17,367,1af76c37-20ef-4449-a23f-7007cd2a0af8,"BOLDUC, Joseph",1523,0.7916,Conservative (1867-1942),"Farmer, lumber merchant, notary, railway director",Fr.Catholic,1,2,,,,,,,,,,,,,1,1,2,9,1,2,2,2,1,2,1,1,2,2,1,1,2,9,1,1,1,9,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,9,9,9,9,9,1,2,2,2,2,2,2,2,2,2,9,9,1,9,9,1,2,2,1,2,2,2,9,1,9,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9
832,YALE,British Columbia,1872 - 1892,4,1878.09.17-1879.06.09,402,1db74329-c89a-49b4-b798-7de2e61447e7,"DEWDNEY, Edgar",accl.,,Conservative (1867-1942),"Civil engineer, land surveyor",Protestant,0,3,,,,,,,,,England,"Resignation, becomes indian Commissioner of Manitoba and North West Territories: 1879.06.09",,,1,1,2,9,9,9,9,2,2,9,9,9,9,9,9,1,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
189,DURHAM WEST,Ontario,1867 - 1903,4,1878.09.17-1879.10.18,438,2000949a-10c5-42de-80e6-816be46f0127,"BURK, Harvey William",11214,0.9054,Liberal Party of Canada,Farmer,Protestant,0,2,,,,,,,,,,Resignation to allow Edward Blake to run for office: 1879.10.18,,,2,2,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
259,HALDIMAND,Ontario,1867 - 1892,4,1878.09.17,461,21c1dc61-8e15-4770-a419-78fdc4a8c2e9,"THOMPSON, David",1566,0.5227,Liberal Party of Canada,Merchant,Protestant,0,4,,,,,,,,,,,,,2,2,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,9,2,2,1,1,2,9,9,9,9,2,1,1,1,9,9,2,9,1,2,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,9,1,1,2,9,2,2,1,1,1,9,1,1,1,1,9,2,2,1,9,2,1,2,1,1,1,2,2,9,1,1,1,1,1,1,1,1,9,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
300,HURON CENTRE,Ontario,1872 - 1882,4,1878.11.02,466,221bfffd-b6d9-41fd-99ba-f08555304a71,"CARTWRIGHT, Hon. R.J.",2002,0.5556,Liberal Party of Canada,"Author, banker, businessman",Protestant,0,4,,,,,,,,,,,,,9,9,1,9,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,2,9,9,2,2,1,1,1,1,2,2,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,2,9,2,2,1,2,1,1,1,2,2,9,9,1,1,9,2,1,1,1,1,1,1,2,9,1,1,2,9,1,1,1,2,2,1,1,1,1,9,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1
304,HURON SOUTH,Ontario,1867 - 1933,4,1878.09.17,473,22962b8e-2f39-4509-bd67-c98056fe5bf1,"CAMERON, M.C.",1874,0.523,Liberal Party of Canada,Lawyer,Protestant,0,4,,,,,,,,,,,,,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,9,1,1,2,2,1,2,2,1,2,9,9,2,2,2,1,1,1,2,2,1,2,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,9,9,9,1,2,2,1,1,9,1,1,9,1,1,1,9,9,1,2,1,9,1,2,1,1,1,1,2,2,9,1,1,2,2,2,1,1,1,1,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
208,ELGIN WEST,Ontario,1867 - 1933,4,1878.09.17,477,22d58154-634c-42ca-b52c-6c59b10242bf,"CASEY, George Elliott",1319,0.5222,Liberal Party of Canada,"Author, journalist",Protestant,0,3,,,,,,,,,,,,,2,2,1,2,1,1,1,9,9,1,2,2,9,1,9,2,1,9,2,2,1,2,2,1,2,2,1,2,2,2,1,1,1,2,2,1,2,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,2,2,9,2,1,9,1,2,9,9,1,1,1,1,1,1,1,9,1,1,1,2,1,9,9,9,1,1,1,1,2,2,1,1,1,1,1,9,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9
500,NORTHUMBERLAND EAST,Ontario,1867 - 1914,4,1881.03.25,494,24105733-57cf-49db-9c00-1eeeb913c145,"CROUTER, Darius",accl.,,Independent Liberal,"Farmer, minister",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,9,1,2,9,1,9,9,9,2,2,9,1,1,1,1,9,1,9,9,9,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9
74,BROCKVILLE,Ontario,1867 - 1914,4,1878.09.17,495,243230ae-7a66-485d-b1b2-f5e7515295d2,"FITZSIMMONS, William",1033,0.5327,Conservative (1867-1942),Building contractor,Protestant,0,1,,,,,,,,,Ireland,,,,1,1,2,9,2,2,2,9,2,1,1,1,2,2,1,1,2,2,1,9,1,2,1,9,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,9,2,2,2,2,2,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,9,1,1,2,9,1,9,2,2,2,2,2,2,2,2,2,2,9,1,1,1,1,9,2,2,9,9,2,2,1,9,9,9,2,2,2,2,9,9,9,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2
805,WENTWORTH SOUTH,Ontario,1867 - 1903,4,1878.09.17,502,24ca0d3f-39d4-4e01-8ea2-774b6913163e,"RYMAL, Joseph",1169,0.5163,Liberal Party of Canada,Farmer,Protestant,0,4,,,,,,,,,,,,,2,2,1,9,1,1,1,1,1,9,9,9,1,2,2,2,1,1,2,2,1,2,2,1,2,2,9,9,9,9,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,9,1,1,2,2,1,1,1,1,1,2,1,1,1,1,9,1,2,1,1,1,2,9,1,1,1,2,2,1,1,1,1,9,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,CUMBERLAND,Nova Scotia,1867 - 1966,4,1878.09.17-1878.10.16 and 1878.11.04,503,24d7bdd8-53ef-4f57-a585-5c5b9effd3dd,"TUPPER, Hon. Charles",2030,0.5803,Conservative (1867-1942),Physician,Protestant,0,4,,1,,,,,,,,Resignation. Appointed Minister of Public Works: 1878.10.16,,,1,1,2,9,2,2,2,2,2,1,9,9,2,9,1,1,2,9,1,9,1,2,1,2,2,1,1,9,9,9,2,2,2,9,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,1,2,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,2,9,9,9,2,9,2,9,2,9,9,9,9,2,2,9,2,9,9,9,9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9
238,GLENGARRY,Ontario,1867 - 1914,4,1878.09.17,538,279ad66f-4fb8-4244-865d-13a119aff7e4,"MCLENNAN, John",1330,0.5117,Liberal-Conservative,Merchant,Protestant,0,1,,,,,,,,,,,,,1,1,2,1,2,2,2,9,9,1,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,1,2,1,1,9,9,1,9,9,9,9,2,2,2,2,2,2,2,2,1,1,9,2,9,2,2,2,2,2,1,9,2,2,2,9,1,9,9,2,2,9,2,2,1,2,9,9,9,9,9,9,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9
603,RESTIGOUCHE,New Brunswick,1867 - 1914,4,1878.09.17,550,28777f92-2aea-4885-8029-24f56ba6935e,"HADDOW, George",accl.,,Independent,Merchant,Protestant,0,2,,,,,,,,,,,,,9,9,1,2,1,1,1,9,1,1,2,2,1,1,9,9,9,9,2,9,9,2,1,1,2,9,2,9,9,9,1,1,9,2,2,9,2,1,1,9,1,1,1,9,1,1,1,9,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,9,1,1,9,9,1,2,9,1,1,2,1,1,9,9,9,1,2,1,1,1,2,1,9,1,1,2,9,9,1,1,1,1,9,1,1,9,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
441,MIDDLESEX NORTH,Ontario,1867 - 1914,4,1878.09.17,561,2917c61d-5901-4cf9-b168-8eac18cee7b0,"COUGHLIN, Timothy",1629,0.5012,Liberal-Conservative,Farmer,Catholic,0,1,,,,,,,,,,,,,1,1,2,9,2,2,2,2,2,2,1,1,2,2,1,1,2,9,1,1,1,2,1,2,1,1,1,2,1,1,9,2,2,1,1,2,1,2,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,9,2,2,9,2,2,9,9,9,1,1,2,1,2,2,2,2,1,1,9,2,2,1,1,1,2,2,2,2,2,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9
309,IBERVILLE,Quebec,1867 - 1892,4,1878.09.17,590,2b8629c1-6e3d-45ef-84c5-f9bd80ecb59a,"BECHARD, Francois",929,0.5703,Liberal Party of Canada,Farmer,Fr.Catholic,1,4,,,,,,,,,,,,,2,2,9,9,1,1,1,2,1,2,1,1,1,2,2,9,1,9,2,2,1,2,2,1,1,2,9,2,2,2,1,1,1,2,2,1,1,9,9,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,9,1,2,1,1,1,1,1,9,9,1,9,9,1,2,9,1,2,2,2,1,1,1,2,1,9,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9
677,SHEFFORD,Quebec,1867 - ,4,1878.09.17,601,2c984275-5721-4676-ae66-9ef1aaf92a79,"HUNTINGTON, Hon. Lucius Seth",1414,0.4923,Liberal Party of Canada,Lawyer,Protestant,0,4,,,,,,,,,,,,,2,2,1,9,1,1,1,1,1,1,1,1,9,2,2,2,1,9,2,2,1,2,9,1,2,9,9,2,2,1,1,9,9,9,9,1,2,1,1,9,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,2,2,2,9,9,1,1,9,2,2,1,1,1,9,9,9,9,1,9,9,1,2,1,1,9,9,9,9,1,9,9,2,1,9,9,1,9,2,1,1,9,9,1,1,2,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9
263,HALIFAX,Nova Scotia,1867 - ,4,1878.09.17,704,33890e5f-65e3-47b3-b2a7-1b47063cb757,"DALY, M.B.",3466,0.276,Liberal-Conservative,Lawyer,Catholic,0,1,,,,,,,,,,,,,1,1,2,9,9,9,9,9,2,9,2,1,2,2,1,9,2,9,1,9,1,9,1,2,9,1,2,9,9,9,2,2,2,1,9,9,1,2,2,9,2,2,2,2,2,9,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,9,1,9,2,9,1,9,9,9,2,2,9,9,2,2,2,2,2,2,9,1,2,2,1,9,2,2,2,9,9,2,2,9,9,9,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
737,TORONTO EAST,Ontario,1867 - 1933,4,1878.09.17,706,338aeefa-cff8-421a-97b0-5093c5a2e967,"PLATT, Samuel",1743,0.6236,Independent,"Brewer, distiller",Protestant,0,2,,,,,,,,,Ireland,,,,9,9,2,9,2,2,2,2,2,1,2,2,9,1,1,1,2,9,1,9,1,2,9,2,2,1,1,9,9,9,9,2,2,1,1,2,1,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,1,1,1,1,2,2,9,2,9,9,9,9,9,1,1,1,2,2,2,2,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9
228,FRONTENAC,Ontario,1867 - 1924,4,1878.09.17,725,3550a98c-e921-48ae-a874-12b2e2dc96d5,"KIRKPATRICK, G.A.",985,0.8717,Conservative (1867-1942),Lawyer,Protestant,0,4,,,,,,,,,,,,,1,1,2,9,9,9,9,9,9,1,2,1,9,9,1,9,9,9,1,1,1,9,9,2,9,9,9,2,1,1,2,2,2,1,9,2,1,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,9,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,9,9,9,2,1,1,1,9,9,1,2,9,2,2,2,9,9,9,2,9,9,9,2,1,2,2,2,9,9,1,2,2,9,1,2,9,9,2,2,2,2,2,1,9,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2
