Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S1S1V01,S1S1V02,S1S1V03,S1S1V04,S1S1V05,S1S1V06,S1S1V07,S1S1V08,S1S1V09,S1S2V01,S1S2V02,S1S2V03,S1S2V04,S1S2V05,S1S2V06,S1S2V07,S1S2V08,S1S2V09,S1S3V01,S1S3V02,S1S3V03,S1S3V04,S1S3V05,S1S3V06,S1S4V01,S1S4V02,S1S4V03,S1S4V04,S1S4V05,S1S4V06,S1S5V01,S1S5V02,S1S5V03,S1S5V04,S1S5V05,S1S5V06
"Price, David Edward",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1883.08.22 ,1867.10.23 , 1883.08.22 ,(Death),9,1,9,9,9,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2
"Bureau, Jacques-Olivier",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1883.02.07 ,1867.10.23 , 1883.02.07 ,(Death),1,9,2,2,1,2,2,1,1,2,2,1,9,9,1,1,1,1,2,1,2,9,1,2,9,9,9,9,9,9,2,2,9,9,2,1
"Hamilton, John",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1882.10.10 ,1867.10.23 , 1882.10.10 ,(Death),2,2,9,9,9,1,1,1,9,9,9,2,1,9,9,9,9,2,9,9,1,2,2,9,9,2,2,2,1,9,1,1,1,1,1,2
"Dumouchel, L_andre",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1882.09.23 ,1867.10.23 , 1882.09.23 ,(Death),9,1,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,9,2,2,2,1,2,2,2,2,2,1,9
"Aikins, James Cox",Liberal-Conservative,Ontario,Royal Proclamation,1867.10.23 - 1882.05.30 ,1867.10.23 , 1882.05.30 ,(Resignation),2,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,9,9,2,2,1,2,2,9,2,2,2,1,2,1,1,1,1,1,2
"Skead, James",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1881.01.20 ,1867.10.23 , 1881.01.20 ,(Resignation),2,1,9,9,1,1,2,2,2,2,1,9,9,9,9,9,9,2,9,1,2,1,2,1,1,2,2,2,1,2,9,9,1,1,9,9
"Christie, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1880.12.15 ,1867.10.23 , 1880.12.15 ,(Death),2,2,2,1,9,9,1,1,1,1,1,9,2,1,9,9,9,9,1,9,1,2,9,9,1,1,1,1,2,9,2,2,9,9,2,1
"Seymour, Benjamin",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1880.03.23 ,1867.10.23 , 1880.03.23 ,(Death),2,2,2,1,9,1,1,1,2,9,1,1,2,9,2,2,2,1,9,9,2,1,2,1,9,1,1,1,2,9,1,2,1,1,2,9
"Wilmot, Robert Duncan",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1880.02.10 ,1867.10.23 , 1880.02.10 ,(Resignation),1,1,1,2,1,1,2,1,1,2,9,9,2,9,1,1,1,2,1,1,1,2,1,9,9,1,1,1,2,9,1,1,1,1,2,9
"McDonald, Donald",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1879.01.20 ,1867.10.23 , 1879.01.20 ,(Death),1,1,1,2,1,9,9,2,2,9,9,9,1,9,9,9,9,2,9,2,2,1,2,1,9,2,2,2,1,9,9,1,1,9,9,9
"Lacoste, Louis",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1878.11.26 ,1867.10.23 , 1878.11.26 ,(Death),1,1,2,1,9,2,2,2,2,2,2,9,1,9,9,9,2,2,2,1,2,1,2,9,9,9,2,2,1,2,2,1,9,2,1,2
"Shaw, James",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1878.02.06 ,1867.10.23 , 1878.02.06 ,(Death),1,1,1,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,9,2,1,2,2,1,2,2,2,1,2,1,1,1,1,1,2
"Wilson, Charles",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1877.05.04 ,1867.10.23 , 1877.05.04 ,(Death),9,9,1,2,9,9,1,1,9,9,2,1,9,9,9,9,9,9,9,9,2,9,9,9,9,1,1,1,2,9,9,9,9,9,9,9
"Letellier de St-Just, Luc",Nationalist Liberal,Quebec,Royal Proclamation,1867.10.23 - 1876.12.14 ,1867.10.23 , 1876.12.14 ,(Resignation),2,1,1,2,1,2,9,1,1,1,9,1,9,9,9,9,9,9,2,9,1,2,1,1,9,1,1,1,2,1,2,2,2,2,2,1
"Robertson, John",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1876.08.03 ,1867.10.23 , 1876.08.03 ,(Death),1,2,9,9,9,9,9,9,9,9,1,9,9,1,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Holmes, John",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1876.06.03 ,1867.10.23 , 1876.06.03 ,(Death),1,1,2,1,1,9,2,1,2,2,1,9,1,9,2,2,2,2,1,9,2,1,2,2,9,2,2,2,1,9,1,1,1,1,1,2
"Kenny, Edward",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1876.04.11 ,1867.10.23 , 1876.04.11 ,(Resignation),1,1,9,9,1,2,2,2,2,2,2,9,1,2,2,2,2,2,2,2,2,1,2,2,9,2,2,2,1,9,9,9,9,9,9,9
"Malhiot, Charles",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1874.11.09 ,1867.10.23 , 1874.11.09 ,(Death),2,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,2,9,1,1,1,2,1,2,2,2,2,2,1
"Hazen, Robert Leonard",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1874.08.15 ,1867.10.23 , 1874.08.15 ,(Death),1,9,1,2,1,1,9,9,9,9,1,1,1,1,2,2,2,2,1,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9
"Mills, Samuel",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1874.01.24 ,1867.10.23 , 1874.01.24 ,(Death),1,9,1,2,9,9,9,9,9,2,9,9,9,9,9,9,9,9,1,9,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9
"Foster, Asa Belknap",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1874.01.01 ,1867.10.23 , 1874.01.01 ,(Resignation),2,2,2,1,9,9,9,9,9,2,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,2,2,2,1,9,9,1,9,1,1,2
"Locke, John",Liberal Party of Canada,Nova Scotia,Royal Proclamation,1867.10.23 - 1873.12.12 ,1867.10.23 , 1873.12.12 ,(Death),1,1,1,2,1,9,9,9,9,9,1,2,2,9,2,2,2,9,1,1,1,2,1,1,9,9,9,9,9,9,1,1,1,1,9,9
"Blake, Oliver",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1873.12.10 ,1867.10.23 , 1873.12.10 ,(Death),9,9,9,9,9,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,2,1,9,2,1
"Steeves, William Henry",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1873.12.09 ,1867.10.23 , 1873.12.09 ,(Death),1,9,2,1,2,1,9,9,9,2,9,2,1,9,9,9,9,9,1,1,9,9,9,9,9,1,1,1,2,9,1,9,9,9,9,9
"Leslie, James",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1873.12.06 ,1867.10.23 , 1873.12.06 ,(Death),1,1,1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,1,2,1,2,2,2,9,9,9,9,9,9,1,1,9,1,1,2
"Renaud, Louis",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1873.10.01 ,1867.10.23 , 1873.10.01 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,1,9,9,9,2,2,2,1,9,9,9,9,9,9,9
"Olivier, Louis Auguste",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1873.09.08 ,1867.10.23 , 1873.09.08 ,(Resignation),2,1,1,2,1,2,2,1,9,1,2,1,2,2,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,1,9,2,2,2,2,1
"Burnham, Asa Allworth",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1873.05.10 ,1867.10.23 , 1873.05.10 ,(Death),1,2,2,1,1,1,9,1,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,2,1,1,1,1,1,2
"Tessier, Ulric Joseph",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1873.02.11 ,1867.10.23 , 1873.02.11 ,(Resignation),2,1,1,2,1,2,1,2,1,9,2,2,9,9,1,1,1,9,9,9,9,9,9,9,1,1,1,1,2,9,2,1,9,9,9,9
"Matheson, Roderick",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1873.01.13 ,1867.10.23 , 1873.01.13 ,(Death),1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9
