Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H07S1V001,H07S1V002,H07S1V003,H07S1V004,H07S1V005,H07S1V006,H07S1V007,H07S1V008,H07S1V009,H07S1V010,H07S1V011,H07S1V012,H07S1V013,H07S1V014,H07S1V015,H07S1V016,H07S1V017,H07S1V018,H07S1V019,H07S1V020,H07S1V021,H07S1V022,H07S1V023,H07S1V024,H07S1V025,H07S1V026,H07S1V027,H07S1V028,H07S2V001,H07S2V002,H07S2V003,H07S2V004,H07S2V005,H07S2V006,H07S2V007,H07S2V008,H07S2V009,H07S2V010,H07S2V011,H07S2V012,H07S2V013,H07S3V001,H07S3V002,H07S3V003,H07S3V004,H07S3V005,H07S3V006,H07S3V007,H07S3V008,H07S3V009,H07S3V010,H07S3V011,H07S3V012,H07S4V001,H07S4V002,H07S4V003,H07S4V004,H07S4V005,H07S4V006,H07S4V007,H07S4V008,H07S4V009,H07S4V010,H07S4V011,H07S4V012,H07S4V013,H07S4V014,H07S4V015,H07S4V016,H07S4V017,H07S4V018,H07S4V019,H07S4V020,H07S4V021,H07S4V022,H07S4V023,H07S4V024,H07S4V025,H07S4V026,H07S4V027,H07S4V028,H07S4V029,H07S4V030,H07S4V031,H07S4V032,H07S5V001,H07S5V002,H07S5V003,H07S5V004,H07S5V005,H07S5V006,H07S5V007,H07S5V008,H07S5V009,H07S5V010,H07S5V011,H07S5V012,H07S5V013,H07S5V014,H07S5V015,H07S5V016,H07S5V017,H07S5V018,H07S5V019,H07S5V020,H07S5V021,H07S5V022,H07S6V001,H07S6V002,H07S6V003,H07S6V004,H07S6V005,H07S6V006,H07S6V007,H07S6V008,H07S6V009,H07S6V010,H07S6V011,H07S6V012,H07S6V013
248,GRENVILLE SOUTH,Ontario,1867 - 1903,7,1891.03.05,183,0e4f9dca-5c4f-43d7-af07-16546fe9215d,"REID, John Dowsley",1414,0.5204,Conservative (1867-1942),Physician,Protestant,0,1,,,,,,,,,,,,,1,1,9,9,9,1,2,9,2,1,9,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,9,2,1,2,2,2,1,1,2,9,9,2,2,2,2,2,9,1,2,2,2,2,2,2,2,1,1,9,9,2,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,2,9,9,9,1,2,2,9,2,9,1,2,9,2,9,2,2,9,9,9,9,9,2,1,9,9,1,9,9,9,9
723,TERREBONNE,Quebec,1867 - 1996,7,1891.03.05-1892.12.06 ,184,0e5bb281-0344-4060-bcb6-c2299a00b883,"CHAPLEAU, Hon. J.A.",1830,0.6191,Conservative (1867-1942),"Lawyer, professor",Fr.Catholic,1,3,,1,,,,,,,,Resignation. Appointed Lieutenant-Governor of Quebec: 1892.12.06 ,,,1,1,9,9,1,1,2,9,9,9,9,9,9,2,9,2,2,9,2,2,2,2,2,2,1,2,2,1,9,9,9,9,2,2,9,9,9,9,2,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
263,HALIFAX,Nova Scotia,1867 - ,7,1891.03.05- and 1892.02.11,189,0e9e71cb-f8f5-40a6-b1c4-39c739b806c6,"KENNY, Thomas Edward",5274,0.2769,Conservative (1867-1942),Merchant,Catholic,0,2,,,,,,,,,,,,,9,9,9,9,1,1,2,2,2,1,1,2,9,2,9,9,9,2,2,2,2,2,2,2,1,2,2,1,9,9,2,1,2,2,2,1,1,2,2,9,9,2,2,2,2,9,1,2,1,2,2,2,2,2,9,1,9,1,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,1,9,2,1,2,2,2,9,2,2,9,9,2,9,9,9,9,9,9,9,9,2,2,2,2,2,1,2,9,2,9,9,9,9,9,9,9,1,2,1,1,2,1,2,1,1,9
614,RIMOUSKI,Quebec,1867 - 1980,7,1891.03.05,197,0f4d2c30-e6ab-43ec-9847-0a7006e3877d,"CARON, Sir A.P.",2061,0.5339,Conservative (1867-1942),Lawyer,Fr.Catholic,1,6,,1,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,9,9,9,2,2,2,9,2,2,2,2,2,1,2,2,9,2,9,2,2,1,1,9,1,2,2,2,2,2,2,2,2,2,9,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,9,2,1,2,2,2,9,9,2,1,2,2,2,2,2,9,9,9,2,2,2,2,1,2,9,1,1,2,1,1,2,1,2,1,1,2
181,DORCHESTER,Quebec,1867 - 1966,7,1891.03.05,262,135b7306-9caa-4691-89d5-5defc89bfc51,"VAILLANCOURT, Cyrille-E.",accl.,,Nationalist,Physician,Fr.Catholic,1,1,,,,,,,,,,,,,2,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,9,1,1,2,1,1,1,2,2,1,2,9,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,9,9,9,1,9,9,9,1,9,1,1,2,2,1,1,1,1,2,9,9,9,9,9,9,9,9,1,2,1,2,2,1,2,2,1,1,1,9,1,1,2,1,2,1,1,1,1,9,2,2,9,2,2,1,2,1,9,9,9,1,9
820,WINNIPEG,Manitoba,1882 - 1914,7,1891.03.05-1893.05.04 ,281,14e08da3-35c5-4531-904e-042843aae045,"MACDONALD, H.J.",2131,0.5678,Liberal-Conservative,Lawyer,Protestant,0,1,,1,,,,,,,,Resignation: 1893.05.04 ,,,1,1,1,1,9,9,9,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,9,2,9,9,2,1,1,2,2,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
146,CITY AND COUNTY OF ST. JOHN,New Brunswick,1867 - 1914,7,1891.03.05,291,15b270da-620f-48bb-be53-9255fee3838d,"HAZEN, J.D.",4824,0.2905,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,1,1,9,1,1,1,2,2,2,1,9,2,1,2,1,2,2,9,2,2,2,2,2,2,1,2,2,1,9,9,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,9,2,9,2,9,9,1,1,2,2,9,1,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,2,1,1,1,2,2,9,9,2,1,2,2,2,9,2,2,9,2,1,1,9,2,1,1,9,1,2,1,9,9
626,RUSSELL,Ontario,1867 - 1966,7,1891.03.05,314,1731ef95-36db-4e61-9a7f-e27e0ed02f1c,"EDWARDS, W.C.",2308,0.5491,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,2,,,,,,,,,,,,,2,2,9,9,9,9,1,1,2,2,9,1,9,1,2,9,1,1,1,1,9,1,1,1,2,2,1,2,2,1,1,2,9,1,1,2,2,9,2,9,1,1,9,9,9,9,9,9,9,1,9,1,9,1,9,9,9,9,1,9,9,9,9,1,9,9,9,9,1,1,1,1,1,2,9,1,2,9,9,1,9,9,9,9,9,1,9,9,9,9,9,1,2,2,9,1,9,9,1,9,9,1,1,9,9,9,2,9,9,2,9,1,2,9,9,9,9,1,9,9
278,HASTINGS NORTH,Ontario,1867 - 1903,7,1891.03.05-1892.12.04,338,1871c43c-bda4-464a-949f-e8206ed0d673,"BOWELL, Hon. Mackenzie",1686,0.5325,Conservative (1867-1942),"Editor, printer",Protestant,0,7,,1,,,,,,,England,Resignation. Called to the Senate: 1892.12.04,,,1,1,9,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
107,CAPE BRETON,Nova Scotia,1867 - 1903,7,1891.03.05-1896.01.15,340,187e22aa-11df-4338-87fc-4098c90e4863,"MACKEEN, David",2889,0.2945,Conservative (1867-1942),Merchant,Protestant,0,2,,,,,,,,,,Resignation. To allow Charles Tupper to run for office: 1896.01.15,,,1,1,9,9,9,9,9,2,2,1,9,9,1,2,9,9,9,2,2,2,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99
305,HURON WEST,Ontario,1882 - 1914,7,1892.02.22-1895.09.01,359,1a95f1d0-625b-495f-ac74-a980d1aa55e1,"PATTERSON, James Colebrooke",,,Conservative (1867-1942),Lawyer,Protestant,0,4,,1,,,,,,,Ireland,Resignation. Appointed Lieutenant-Governor of Manitoba: 1895.09.01,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,1,2,9,2,1,1,2,9,9,2,2,2,2,2,2,9,2,2,2,2,2,2,2,9,1,9,1,9,2,2,9,2,2,2,2,2,2,2,9,2,2,2,1,1,2,1,2,2,2,2,2,2,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,2,9,2,2,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99
16,ANTIGONISH,Nova Scotia,1867 - 1914,7,1891.03.05-1894.12.12,376,1b8a9dea-475a-476c-b45c-1bd8af526c32,"THOMPSON, Hon. Sir John S.D.",1346,0.546,Liberal-Conservative,"Lawyer, lecturer",Catholic,0,3,,1,,,,,,,,Died in office: 1894.12.12,,,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,2,1,1,2,1,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
24,ASSINIBOIA EAST,Northwest Territories,1886 - 1905,7,1891.03.05-1892.10.26 ,402,1db74329-c89a-49b4-b798-7de2e61447e7,"DEWDNEY, Hon. E.",2049,0.6131,Conservative (1867-1942),"Civil engineer, land surveyor",Protestant,0,5,,1,,,,,,,England,Resignation. Appointed Lieutenant-Governor of British Columbia: 1892.10.26 ,,,1,1,9,1,1,9,9,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,9,2,2,1,2,2,2,1,1,2,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
75,BROME,Quebec,1867 - 1924,7,1891.03.05- and 1892.03.10,416,1e7051dd-3860-4a35-8f4c-ad351c368c54,"DYER, Eugene-Alphonse",1456,0.5005,Conservative (1867-1942),"Farmer, merchant",Protestant,1,1,,,,,,,,,,Unseated: ó,,,1,1,1,1,9,1,2,2,2,1,9,2,9,2,1,2,2,9,2,2,2,2,9,2,1,2,2,1,1,2,2,1,2,9,2,1,1,9,2,9,9,2,2,2,2,9,9,2,9,2,2,2,2,2,9,1,1,9,2,2,2,1,2,2,9,2,9,2,2,2,2,2,2,1,2,2,9,9,2,2,2,2,2,9,9,2,1,2,1,2,9,9,2,2,2,2,2,2,9,9,2,1,2,2,2,2,1,9,9,9,1,2,1,9,9,1,2,1,1,2
