Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H17S1V001,H17S1V002,H17S1V003,H17S1V004,H17S1V005,H17S1V006,H17S2V001,H17S2V002,H17S2V003,H17S2V004,H17S2V005,H17S2V006,H17S2V007,H17S2V008,H17S2V009,H17S2V010,H17S2V011,H17S2V012,H17S2V013,H17S2V014,H17S2V015,H17S2V016,H17S2V017,H17S2V018,H17S2V019,H17S2V020,H17S2V021,H17S2V022,H17S2V023,H17S2V024,H17S2V025,H17S3V001,H17S3V002,H17S3V003,H17S3V004,H17S3V005,H17S3V006,H17S3V007,H17S3V008,H17S3V009,H17S3V010,H17S3V011,H17S3V012,H17S3V013,H17S3V014,H17S3V015,H17S3V016,H17S3V017,H17S3V018,H17S3V019,H17S3V020,H17S3V021,H17S3V022,H17S3V023,H17S3V024,H17S4V001,H17S4V002,H17S4V003,H17S4V004,H17S4V005,H17S4V006,H17S4V007,H17S4V008,H17S4V009,H17S4V010,H17S4V011,H17S4V012,H17S4V013,H17S4V014,H17S4V015,H17S4V016,H17S4V017,H17S4V018,H17S4V019,H17S4V020,H17S4V021,H17S4V022,H17S4V023,H17S4V024,H17S4V025,H17S4V026,H17S4V027,H17S4V028,H17S4V029,H17S4V030,H17S4V031,H17S4V032,H17S4V033,H17S4V034,H17S4V035,H17S4V036,H17S4V037,H17S4V038,H17S4V039,H17S4V040,H17S5V001,H17S5V002,H17S5V003,H17S5V004,H17S5V005,H17S5V006,H17S5V007,H17S5V008,H17S5V009,H17S5V010,H17S5V011,H17S5V012,H17S5V013,H17S5V014,H17S5V015,H17S5V016,H17S5V017,H17S5V018,H17S5V019,H17S5V020,H17S5V021,H17S5V022,H17S5V023,H17S5V024,H17S5V025,H17S5V026,H17S5V027,H17S6V001,H17S6V002,H17S6V003,H17S6V004,H17S6V005,H17S6V006,H17S6V007,H17S6V008,H17S6V009,H17S6V010,H17S6V011,H17S6V012,H17S6V013,H17S6V014,H17S6V015,H17S6V016,H17S6V017,H17S6V018,H17S6V019,H17S6V020,H17S6V021,H17S6V022,H17S6V023,H17S6V024,H17S6V025,H17S6V026,H17S6V027
138,CHARLOTTE,New Brunswick,1867 - 1966,17,1930.07.28,115,09e0f9ca-bd86-4d34-9e90-b5d1981d2565,"GANONG, Arthur D.",5595,0.5776,Conservative (1867-1942),Manufacturer,,0,1,,,,,,,,,,,,,2,2,2,2,1,9,1,9,2,1,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,2,1,2,9,2,9,9,9,9,9,9,9,9,2,1,1,1,2,1,2,2,9,2,2,1,2,1,1,2,9,9,2,1,9,9,1,9,9,9,9,9,9,1,2,9,2,1,9,1,9,1,9,2,1,9,9,9,9,9,9,1,9,1,1,2,9,9,9,9,1,9,1,2,9,9,9,9,9,9,2,9,9,1,9,9,9,9,9,9,1,9,9,9,1,1,9,9,9,9,1,9,2,9,9,1,9,1,9,9,9,9,1,9,9,9,1,1,9,9,9,9,9,9,9
485,NICOLET,Quebec,1867 - 1933,17,1930.07.28,125,0a6e27b6-9218-4ce6-8954-f49dbf99829f,"DUBOIS, Lucien",6303,0.5527,Liberal Party of Canada,Farmer,,1,1,,,,,,,,,,,,,1,1,2,1,2,1,2,1,1,2,9,1,1,2,1,1,9,9,2,1,1,2,1,2,2,1,9,9,2,1,9,2,9,9,9,9,9,1,1,9,9,9,9,9,9,1,9,2,1,2,9,9,2,9,9,2,1,2,9,1,9,9,9,9,9,9,9,9,1,9,9,9,9,2,2,2,9,1,2,9,9,9,2,1,2,9,9,9,9,9,2,2,9,9,9,9,9,1,1,9,9,9,9,9,1,9,9,9,9,2,9,9,9,2,2,9,2,1,2,2,9,9,9,9,9,9,9,9,9,2,9,9,2,1,2,9,9,9,2,2,2,2,2,9,2,1,9,9,9
612,RICHMOND--WEST CAPE BRETON,Nova Scotia,1924 - 1933,17,1930.09.02-1935.07.19,134,0ad88e35-0ebb-4dd8-9601-b39a599b36d1,"RHODES, Hon. Edgar Nelson",accl.,,Conservative (1867-1942),Lawyer,,0,4,,1,,,,,,,,Resignation. Called to the Senate: 1935.07.19,,,9,2,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,9,9,9,2,1,2,2,1,9,1,1,2,1,9,9,9,9,9,2,9,9,2,9,9,9,9,9,2,9,9,9,9,2,1,9,9,1,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,2,1,1,9,9,9,9,9,9,1,9,9,9,1,9,2,9,9,9,9,2,2,9,9,9,1,9,9,9,9,9,1,2,1,9,9,9,9,9,9,9,9,2,9,9,9,9,9,1,9,9,9,9,1,1,9,9,9,9,9,9,9,9,2,9,1
386,LAVAL--TWO MOUNTAINS,Quebec,1914 - 1949,17,1930.07.28-1930.08.06 and 1930.08.25-1935.07.19,138,0b0b131b-c8ce-4b63-afe9-95790f718095,"SAUVE, Arthur",6601,0.5395,Conservative (1867-1942),Journalist,,1,1,,1,,,,,,,,Resignation. Appointed Postmaster General: 1930.08.06 & Resignation. Called to the Senate: 1935.07.19,,,2,9,2,2,1,2,9,2,2,9,9,2,2,1,2,9,1,9,1,9,9,2,2,1,1,9,9,9,1,2,9,9,9,9,9,9,9,2,9,9,1,1,9,9,9,9,9,2,2,1,2,9,1,2,9,1,2,1,9,9,1,1,1,1,1,1,1,1,1,2,2,1,9,1,9,1,2,2,1,1,2,9,2,2,1,9,9,1,9,2,1,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,1,2,1,2,1,1,1,1,9,9,2,2,9,2,2,2,9,1,9,1,2,2,1,2,9,9,2,9,1,1,1,9,1,1,2,2,9
691,SOURIS,Manitoba,1903 - 1952,17,1930.07.28,150,0c0fda8e-3c1b-424b-a8d8-eb24f6463b9b,"WILLIS, Errick French",6252,0.5196,Conservative (1867-1942),"Barrister, farmer",,0,1,,,,,,,,,,,,,2,9,2,2,1,9,1,2,2,1,2,9,2,1,2,2,1,2,9,2,9,2,2,1,9,9,9,9,1,9,2,1,2,9,9,2,1,2,2,9,9,9,2,1,9,9,9,9,9,9,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,9,2,1,9,9,9,9,9,9,1,9,9,1,9,1,1,9,9,9,2,1,2,9,1,1,2,1,2,2,2,1,9,1,1,9,1,1,2,1,2,1,1,1,1,9,9,2,9,1,9,2,2,9,1,2,1,2,2,1,2,1,9,9,1,1,1,1,9,1,9,2,2,1
413,MACKENZIE,Saskatchewan,1905 - 1996,17,1933.10.23,154,0c459afa-f391-4c74-bfdb-94adc4d1791a,"MACMILLAN, John Angus",5926,0.4744,Liberal Party of Canada,Barrister,,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,1,1,1,9,9,1,9,1,1,9,9,9,9,2,2,9,9,2,1,9,9,1,9,9,9,9,1,1,1,9,1,9,1,2,9,1,2,1,2,1,9,9,9,9,2,9,9,9,9,1,9,9,9
440,MIDDLESEX EAST,Ontario,1867 - 1966,17,1930.07.28,160,0cbf23cc-c56a-4f0a-a57a-84e8a3dfd03a,"BOYES, Frank",7909,0.5593,Conservative (1867-1942),Cheese maker,,0,1,,,,,,,,,,,,,2,2,2,2,1,2,9,9,9,9,2,2,2,1,2,2,9,9,9,2,2,2,2,1,1,2,9,2,1,9,9,1,2,1,1,9,9,2,2,1,1,1,2,1,9,2,1,2,2,1,2,9,1,2,9,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,9,9,2,2,1,1,1,9,9,9,9,1,1,1,9,9,1,2,2,9,1,9,1,9,2,9,9,9,9,9,9,9,9,9,1,9,9,1,1,1,2,2,9,9,9,9,2,2,1,9,2,1,2,2,1,2,9,9,2,1,9,9,9,9,1,1,2,2,9
279,HASTINGS SOUTH,Ontario,1924 - 1966,17,1930.07.28,187,0e8eefdf-f526-4817-bcf3-87059e3cae42,"TUMMON, William Ernest",10340,0.5594,Conservative (1867-1942),"Contractor, farmer",,0,3,,,,,,,,,,,,,2,2,9,9,9,2,9,2,2,1,9,9,2,1,2,9,1,9,9,9,9,2,2,1,1,9,9,2,1,2,9,9,2,9,1,9,1,2,2,1,1,1,9,9,9,2,9,2,2,1,9,2,1,2,9,1,2,1,9,9,9,1,1,1,1,1,9,1,9,2,9,9,1,1,9,1,9,2,1,9,9,9,2,2,1,1,9,1,1,9,1,9,9,9,9,2,9,2,2,1,1,2,1,2,2,2,1,9,1,1,9,9,9,2,1,9,9,1,1,1,9,9,2,2,9,9,2,2,9,9,2,1,2,2,1,9,9,9,9,1,9,9,9,9,1,1,2,9,9
815,WEYBURN,Saskatchewan,1914 - 1947,17,1930.07.28,199,0f69931c-5158-425e-825a-70935470915d,"YOUNG, Edward James",7259,0.5036,Liberal Party of Canada,Farmer,,0,3,,,,,,,,,,,,,9,1,2,1,2,1,2,9,1,9,9,9,9,9,1,1,9,9,9,9,9,2,1,2,9,1,2,1,2,1,1,2,9,2,9,9,2,9,1,9,9,9,9,9,1,9,9,2,1,2,9,1,2,9,9,9,9,2,2,1,9,2,1,2,2,2,9,9,2,2,1,2,9,2,2,2,1,1,2,9,9,9,2,1,2,1,2,9,9,9,9,2,2,2,9,2,1,1,9,2,2,9,9,1,9,9,9,9,9,2,9,9,2,2,9,9,9,1,2,9,9,9,9,2,9,9,9,9,9,9,9,9,2,1,2,1,9,9,9,2,2,2,2,2,2,2,1,9,2
747,TORONTO--SCARBOROUGH,Ontario,1924 - 1933,17,1930.07.28,232,11a54902-a69c-44f3-b960-cbb6e4ebbddc,"HARRIS, Joseph Henry",17122,0.7355,Conservative (1867-1942),"Businessman, director, manager, manufacturer",,0,4,,,,,,,,,,,,,2,2,9,9,9,9,9,2,2,1,9,9,9,9,2,9,1,9,9,9,9,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,1,2,2,9,9,9,9,1,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,1,2,9,9,9,9,9,9,2,9,9,9,9,1,9,9,1,2,2,2,9,1,1,1,9,9,2,9,9,9,9,2,1,9,9,1,2,2,1,9,9,9,9,1,1,9,9,9,9,9,2,9,1
263,HALIFAX,Nova Scotia,1867 - ,17,1930.07.28-1934.09.01,235,11b8208d-6fb2-42a6-b579-9d51a881cd80,"BLACK, Hon. William Anderson",21611,0.2651,Conservative (1867-1942),"Businessman, shipper",,0,4,,,,,,,,,,Died in office: 1934.09.01,,,2,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
125,CARTIER,Quebec,1924 - 1966,17,1930.07.28,247,1267c565-8771-4162-a16e-56bf229c71fa,"JACOBS, Samuel William",8231,0.6863,Liberal Party of Canada,Lawyer,,1,5,,,,,,,,,,,,,9,9,9,9,9,9,9,1,1,2,9,9,9,9,1,1,9,9,9,9,9,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,9,9,1,1,9,9,9,9,9,9,1,9,9,9,9,2,9,9,2,2,9,1,9,1,2,2,9,9,1,9,9,9,9,1,1,9,9,1,2,1,2,9,9,9,2,2,2,9,9,9,9,9,1,9,2
333,KINDERSLEY,Saskatchewan,1914 - 1966,17,1930.07.28,251,12d60483-a079-4161-ac90-f451a1581cfc,"CARMICHAEL, Archibald M.",7350,0.5871,Progressive,"Farmer, minister, teacher",,0,4,,,,,,,,,,,,,1,9,1,9,9,1,1,1,9,9,9,9,9,9,9,2,1,2,2,9,9,9,9,9,1,2,1,2,9,2,9,1,1,2,1,1,1,1,2,1,1,1,2,1,9,2,9,1,9,9,1,1,9,9,9,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,9,1,1,9,1,9,1,9,2,1,2,1,1,9,2,1,1,1,1,2,2,9,1,2,2,2,2,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2,1,1,2,1,9,9,2,9,1,1,2,1,1,1,1,1,2,2,1,2,1,2,9,9,1,1,1,9,9,1,2,2,9
677,SHEFFORD,Quebec,1867 - ,17,1930.07.28,254,1318bfee-6c07-4024-9bdd-105b90fd6348,"TETREAULT, J.-Eugène",7064,0.5632,Conservative (1867-1942),Merchant,,1,1,,,,,,,,,,,,,2,2,2,2,1,2,9,9,9,9,9,9,2,1,9,1,1,9,9,2,2,2,2,1,1,2,1,2,1,2,2,1,9,9,1,9,1,2,2,1,1,1,2,1,9,2,9,2,2,1,2,2,1,2,2,1,2,1,9,9,1,1,1,1,1,1,1,9,1,9,2,1,1,1,1,1,9,9,1,1,2,9,2,2,1,9,9,1,1,2,1,1,1,1,1,2,1,2,9,9,9,2,1,9,2,2,1,1,1,1,9,1,9,9,2,2,1,1,1,1,2,2,2,2,1,9,2,9,9,1,2,1,9,9,9,2,1,1,9,9,9,9,9,9,9,9,9,9,1
664,SASKATOON,Saskatchewan,1907 - 1933,17,1930.07.28,257,13227282-a0aa-4539-a6e3-9c5eebe8349b,"MACMILLAN, Frank Roland",11663,0.5434,Conservative (1867-1942),"Businessman, merchant",,0,1,,,,,,,,,United States,,,,9,2,2,2,1,2,1,2,2,1,9,9,2,1,2,9,1,2,1,2,2,2,2,1,9,9,1,2,9,2,9,1,9,9,1,2,1,2,2,1,1,1,9,1,2,2,9,2,2,1,9,9,9,9,9,1,2,1,9,9,1,9,9,9,9,9,9,1,2,2,2,9,1,1,1,9,9,2,9,9,9,9,2,2,1,1,9,1,1,2,1,9,9,9,9,2,9,2,2,1,1,2,1,9,2,2,1,1,1,1,1,1,9,9,9,2,1,1,1,1,2,2,2,9,9,9,9,2,1,1,2,1,9,9,9,2,1,1,9,9,1,9,9,9,1,1,2,2,1
181,DORCHESTER,Quebec,1867 - 1966,17,1930.07.28,259,1343b398-4ebd-4f7a-a320-f37e49e9fc6f,"GAGNON, On_sime",5771,0.5151,Conservative (1867-1942),Lawyer,,1,1,,,,,,,,,,,,,2,2,2,9,9,9,9,2,9,9,2,9,9,9,9,9,1,9,9,9,9,2,2,1,1,9,9,9,1,2,9,9,2,1,9,9,1,9,2,1,1,1,2,1,9,2,1,2,2,1,2,2,1,2,2,1,2,1,9,9,1,1,1,1,1,1,1,1,9,2,2,1,1,1,9,1,2,9,9,1,2,9,2,2,1,2,9,1,1,9,1,1,9,1,1,2,9,2,2,2,9,2,1,2,2,2,1,1,9,1,1,1,9,9,2,2,9,1,1,1,2,9,2,9,9,9,9,9,1,1,9,1,2,2,1,2,1,9,9,1,1,1,1,9,1,1,2,2,1
