Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S3S1V01,S3S1V02,S3S1V03,S3S1V04,S3S2V01,S3S2V02,S3S2V03,S3S2V04,S3S2V05,S3S2V06,S3S2V07,S3S2V08,S3S2V09,S3S2V10,S3S2V11,S3S2V12,S3S2V13,S3S2V14,S3S2V15,S3S2V16,S3S2V17,S3S2V18,S3S2V19,S3S2V20,S3S2V21,S3S2V22,S3S2V23,S3S2V24,S3S2V25,S3S2V26,S3S2V27,S3S3V01,S3S3V02,S3S3V03,S3S3V04,S3S3V05,S3S3V06,S3S3V07,S3S3V08,S3S3V10,S3S3V11,S3S3V12,S3S4V01,S3S4V02,S3S4V03,S3S4V04,S3S4V05,S3S4V06,S3S4V07,S3S4V08,S3S4V09,S3S4V10,S3S4V11,S3S4V12,S3S4V13,S3S4V14,S3S4V15,S3S4V16,S3S4V17,S3S4V18,S3S4V19,S3S4V20,S3S4V21,S3S5V01,S3S5V02,S3S5V03,S3S5V04,S3S5V05,S3S5V06,S3S5V07,S3S5V08,S3S5V09,S3S5V10,S3S5V11,S3S5V12,S3S5V13,S3S5V14,S3S5V15,S3S5V16,S3S5V17,S3S5V18,S3S5V19,S3S5V20,S3S5V21,S3S5V22
"Shaw, James",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1878.02.06 ,1867.10.23 , 1878.02.06 ,(Death),1,1,9,1,2,9,9,9,9,9,9,9,9,2,1,1,1,1,2,9,9,9,9,9,9,1,1,1,9,1,2,9,1,1,1,2,2,2,9,9,9,9,2,1,2,1,1,1,1,2,1,9,9,1,1,9,9,2,2,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Lacoste, Louis",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1878.11.26 ,1867.10.23 , 1878.11.26 ,(Death),9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"McDonald, Donald",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1879.01.20 ,1867.10.23 , 1879.01.20 ,(Death),1,9,1,2,1,1,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,9,2,1,2,2,2,2,9,9,9,9,1,1,1,2,1,2,1,9,2,1,1,9,2,2,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Wilmot, Robert Duncan",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1880.02.10 ,1867.10.23 , 1880.02.10 ,(Resignation),1,9,9,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,9,9,9,1,9,1,2,2,1,9,9,9,9,9,2,9,1,1,9,9,1,2,2,1,2,2,1,1,1,9,9,2,2,1,2,2,2,9,2,2,1,1,2,1,2,1,2,2,1,2,9,2,1,1,1,1,2,2,2,9,1,2,1,1,1,1
"Seymour, Benjamin",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1880.03.23 ,1867.10.23 , 1880.03.23 ,(Death),9,2,9,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,9,2,9,1,1,9,2,2,2,2,1,9,1,1,9,2,1,2,2,2,2,1,9,9,1,2,2,1,1,2,9,1,2,2,1,2,9,9,9,9,9,9,9,9,9,1,1,2,2,2,1,9,9,9,9,9,1,2,2,2,2,1,2,1,1,9,9
"Christie, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1880.12.15 ,1867.10.23 , 1880.12.15 ,(Death),2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"Skead, James",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1881.01.20 ,1867.10.23 , 1881.01.20 ,(Resignation),9,1,9,9,2,1,1,1,1,1,1,1,9,2,9,1,9,1,1,1,2,2,1,2,1,2,1,1,2,2,2,1,2,2,9,9,9,9,2,2,1,1,1,1,2,1,1,1,1,9,1,1,2,9,1,1,9,2,2,2,9,2,1,1,1,2,2,9,1,1,2,1,9,9,1,9,9,9,2,9,9,1,9,1,1
"Aikins, James Cox",Liberal-Conservative,Ontario,Royal Proclamation,1867.10.23 - 1882.05.30 ,1867.10.23 , 1882.05.30 ,(Resignation),1,1,2,9,2,1,9,9,9,9,9,9,9,1,2,1,9,1,1,2,2,1,2,2,1,1,1,2,1,9,1,1,1,1,1,9,2,2,1,2,1,1,1,9,2,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,9,1,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,9,1,1,1,9
"Dumouchel, Lí©andre",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1882.09.23 ,1867.10.23 , 1882.09.23 ,(Death),1,1,1,1,1,2,9,9,9,9,9,9,9,9,9,1,1,1,1,2,1,1,9,2,1,1,1,1,1,2,2,9,9,9,9,2,2,9,2,1,9,9,2,1,2,1,1,1,9,2,1,1,2,1,1,9,9,2,2,1,1,1,1,1,2,9,9,1,9,9,2,1,2,1,1,2,2,2,1,1,9,1,1,1,1
"Hamilton, John",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1882.10.10 ,1867.10.23 , 1882.10.10 ,(Death),2,1,9,2,1,1,1,1,1,1,1,9,2,1,2,1,1,2,1,2,9,1,9,9,1,1,1,9,1,2,9,1,9,1,9,2,2,9,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,2,9,9,1,2,2,2,9,9,2,1,2,2,1,2,1,2,1,9,1,1,2,2,2,2,1,9,1,1,1,9
"Bureau, Jacques-Olivier",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1883.02.07 ,1867.10.23 , 1883.02.07 ,(Death),9,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,9,1,1,2,2,9,1,2,2,2,2,2,2,2,2,2,2,9,1,1,9,2,9,9,2,2,1,1,2,2,1,9,1,1,1,2,9,2,2,9,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,9,2,2,9,1,1,1,1,9,9,9,9,9
"Price, David Edward",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1883.08.22 ,1867.10.23 , 1883.08.22 ,(Death),9,9,9,9,9,9,2,1,2,2,9,9,9,9,9,1,2,2,9,2,9,1,9,2,2,2,1,1,9,2,2,9,1,1,9,2,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,9,9,9,2,1,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Bourinot, John",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1884.01.21 ,1867.10.23 , 1884.01.21 ,(Death),2,1,9,9,2,9,2,2,2,1,2,2,1,1,1,1,1,1,9,2,9,1,2,9,1,1,1,1,9,9,9,9,9,1,2,9,9,9,2,9,2,9,1,1,2,1,1,1,9,9,1,9,9,2,1,2,9,1,1,9,9,1,1,2,2,2,9,1,2,1,9,9,1,1,1,2,2,2,9,1,2,1,9,9,9
"Dickson, Walter Hamilton",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1884.02.19 ,1867.10.23 , 1884.02.19 ,(Resignation),1,1,1,2,2,1,9,9,9,9,9,9,9,9,2,1,9,9,9,2,9,9,2,9,9,9,9,9,9,1,1,1,9,1,2,2,2,2,2,2,1,2,1,1,2,1,1,1,2,9,9,2,1,2,2,2,2,2,2,9,9,2,1,2,1,2,2,1,2,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1
"Simpson, John",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1885.03.21 ,1867.10.23 , 1885.03.21 ,(Death),2,2,9,2,1,1,9,9,9,9,9,9,9,9,2,2,2,9,1,1,2,2,2,1,2,2,2,2,2,9,1,1,9,2,2,9,9,2,2,1,2,9,1,2,1,2,2,9,2,9,9,9,9,9,9,9,9,2,2,1,9,9,1,1,9,2,2,2,1,2,9,9,2,9,2,1,9,9,1,2,2,2,2,2,2
"Campbell, Alexander",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1887.02.07 ,1867.10.23 , 1887.02.07 ,(Resignation),9,1,1,1,1,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,2,1,1,1,2,1,1,2,9,1,1,2,2,2,2,1,1,2,2,2,1,2,1,1,1,1,2,2,1,2,1,2,9,9,2,2,2,2,1,1,1,1,2,9,1,2,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1
"Hamilton, John",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1887.05.01 ,1867.10.23 , 1887.05.01 ,(Resignation),1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,2,9,1,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,2,9,9,9,9,9,9,9,9,2,2,2,1,1,1,9,9,9,9
"Cormier, Charles",Nationalist Liberal,Quebec,Royal Proclamation,1867.10.23 - 1887.05.07 ,1867.10.23 , 1887.05.07 ,(Death),2,2,1,9,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,9,9,1,1,1,2,2,9,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,9,2,1,1,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,9
"McMaster, William",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1887.09.22 ,1867.10.23 , 1887.09.22 ,(Death),9,2,1,2,1,1,2,2,2,2,2,2,1,2,9,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,9,2,1,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,2,9,9,1,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,9
"Ferrier, James",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1888.05.30 ,1867.10.23 , 1888.05.30 ,(Death),9,9,9,1,9,1,9,9,9,9,9,9,9,2,9,9,9,1,1,9,9,9,2,9,1,1,1,1,9,9,9,1,1,1,1,2,2,2,9,9,9,9,1,1,2,1,1,1,1,9,1,2,1,2,9,9,9,9,9,9,2,1,1,1,9,2,2,2,1,9,2,1,1,1,1,2,2,2,1,1,1,1,1,1,9
