Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S9S1V01,S9S1V02,S9S1V03,S9S2V01,S9S2V02,S9S2V03,S9S2V04,S9S3V01,S9S3V02,S9S3V03,S9S3V04,S9S3V05,S9S3V06,S9S3V07,S9S3V08,S9S3V09,S9S3V10,S9S3V11,S9S3V12,S9S3V13,S9S3V14,S9S4V01,S9S4V02,S9S4V03,S9S4V04,S9S4V05,S9S4V06,S9S4V07,S9S4V08,S9S4V09,S9S4V10,S9S4V11,S9S4V12,S9S4V13,S9S4V14,S9S4V15,S9S4V16,S9S4V17,S9S4V18,S9S4V19,S9S4V20,S9S4V21
"Allan, George William",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1901.07.24 ,1867.10.23 , 1901.07.24 ,(Death),9,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Prowse, Samuel",Liberal-Conservative,Prince Edward Island,"Macdonald, John Alexander",1889.09.14 - 1902.01.14 ,1889.09.14 , 1902.01.14 ,(Death),2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Snowball, Jabez Bunting",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1891.05.01 - 1902.02.01 ,1891.05.01 , 1902.02.01 ,(Resignation),1,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Mills, David",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1896.11.13 - 1902.02.07 ,1896.11.13 , 1902.02.07 ,(Resignation),1,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Dí©chíÈne, Alphonse Arthur Miville",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1901.05.13 - 1902.05.01 ,1901.05.13 , 1902.05.01 ,(Death),99,99,99,2,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Clemow, Francis",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1885.02.03 - 1902.05.28 ,1885.02.03 , 1902.05.28 ,(Death),9,9,9,1,2,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Primrose, Clarence",Liberal-Conservative,Nova Scotia,"Abbott, John Joseph Caldwell",1892.11.28 - 1902.12.02 ,1892.11.28 , 1902.12.02 ,(Death),2,1,1,1,9,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"O'Donohoe, John",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1882.05.21 - 1902.12.07 ,1882.05.21 , 1902.12.07 ,(Death),1,2,1,2,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Armand, Joseph Franí_ois",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1903.01.01 ,1867.10.23 , 1903.01.01 ,(Death),2,1,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McCallum, Lachlin",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1887.02.04 - 1903.01.13 ,1887.02.04 , 1903.01.13 ,(Death),2,1,2,1,2,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Wood, Andrew Trew",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1901.01.21 - 1903.01.21 ,1901.01.21 , 1903.01.21 ,(Death),1,2,2,2,9,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Gillmor, Arthur Hill",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1900.04.02 - 1903.04.13 ,1900.04.02 , 1903.04.13 ,(Death),1,2,9,9,1,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Carmichael, James William",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1898.12.31 - 1903.04.24 ,1898.12.31 , 1903.04.24 ,(Resignation),1,2,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"O'Brien, James",Liberal-Conservative,Quebec,"Bowell, Mackenzie",1896.01.02 - 1903.05.28 ,1896.01.02 , 1903.05.28 ,(Death),2,1,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Masson, Louis-Franí_ois-Rodrigue",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1890.02.03 - 1903.06.11 ,1890.02.03 , 1903.06.11 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Dickey, Robert Barry",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1903.07.14 ,1867.10.23 , 1903.07.14 ,(Death),2,1,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Cochrane, Matthew Henry",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1872.10.17 - 1903.08.12 ,1872.10.17 , 1903.08.12 ,(Death),2,1,2,1,2,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Landerkin, George",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1901.02.16 - 1903.10.04 ,1901.02.16 , 1903.10.04 ,(Death),1,2,1,9,2,2,9,2,1,2,1,1,2,9,2,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Reid, James",Liberal-Conservative,British Columbia,"Macdonald, John Alexander",1888.10.08 - 1904.05.03 ,1888.10.08 , 1904.05.03 ,(Death),2,1,9,1,1,2,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Dever, James",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1904.05.07 ,1868.03.14 , 1904.05.07 ,(Death),1,2,1,2,9,1,2,2,1,9,9,1,9,1,1,1,1,1,1,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Aikins, James Cox",Liberal-Conservative,Ontario,"Bowell, Mackenzie",1896.01.07 - 1904.08.06 ,1896.01.07 , 1904.08.06 ,(Death),2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99
"Pelletier, Charles Alphonse Pantalí©on",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1877.02.02 - 1904.09.01 ,1877.02.02 , 1904.09.01 ,(Resignation),1,2,9,2,9,2,2,2,1,9,9,9,9,1,1,1,1,1,1,9,9,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,2,2,1,9,9,9
"Curry, Rufus",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1903.03.12 - 1905.03.30 ,1903.03.12 , 1905.03.30 ,(Resignation),99,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Wark, David",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1905.08.20 ,1867.10.23 , 1905.08.20 ,(Death),1,2,1,2,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Black, Thomas Reuben",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1904.06.10 - 1905.09.14 ,1904.06.10 , 1905.09.14 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,2,2,1,2,1,1,9,9,2,1,2,2,2
"Fulford, George Taylor",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1900.01.29 - 1905.10.15 ,1900.01.29 , 1905.10.15 ,(Death),9,9,9,9,1,9,2,9,9,9,9,9,9,1,1,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9
"Church, Charles Edward",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1902.02.08 - 1906.01.03 ,1902.02.08 , 1906.01.03 ,(Death),99,99,99,2,1,2,2,1,2,2,1,9,2,1,2,1,2,1,1,2,9,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,1,1,1,2,2,9
"Templeman, William",Liberal Party of Canada,British Columbia,"Laurier, Wilfrid",1897.11.18 - 1906.02.16 ,1897.11.18 , 1906.02.16 ,(Resignation),1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,9,2,1,1,2,2,2,2,1,2,2,2,2,1,9,1,1,2,2,2,1,2,9,2
"Vidal, Alexander",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.01.15 - 1906.11.18 ,1873.01.15 , 1906.11.18 ,(Death),2,1,2,9,1,2,9,2,2,9,9,2,1,1,1,2,1,1,2,1,9,9,9,2,2,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,9,9
"Kerr, William",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1899.03.15 - 1906.11.22 ,1899.03.15 , 1906.11.22 ,(Death),1,2,1,9,1,9,9,2,1,2,1,1,9,1,1,9,9,2,1,2,9,1,2,2,2,2,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9
"Dobson, John",Conservative (1867-1942),Ontario,"Abbott, John Joseph Caldwell",1892.02.23 - 1907.01.27 ,1892.02.23 , 1907.01.27 ,(Death),2,1,2,1,9,1,1,2,1,1,2,9,1,1,1,9,9,1,2,1,9,9,9,9,2,1,2,1,1,1,1,2,1,2,2,9,9,1,2,1,1,9
"Gowan, James Robert",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1885.01.29 - 1907.02.01 ,1885.01.29 , 1907.02.01 ,(Resignation),9,9,9,9,9,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Hingston, William Hales",Conservative (1867-1942),Quebec,"Bowell, Mackenzie",1896.01.02 - 1907.02.19 ,1896.01.02 , 1907.02.19 ,(Death),2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Casgrain, Charles EusíÂbe",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.01.12 - 1907.03.08 ,1887.01.12 , 1907.03.08 ,(Death),2,1,9,1,2,1,9,2,2,1,2,9,1,9,1,1,9,1,2,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9
"Lovitt, John",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1896.12.18 - 1908.04.13 ,1896.12.18 , 1908.04.13 ,(Death),9,9,2,2,1,2,9,9,9,2,1,2,2,1,1,2,2,1,1,9,9,9,9,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,9,9
"Merner, Samuel",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1887.01.12 - 1908.08.11 ,1887.01.12 , 1908.08.11 ,(Death),9,9,2,1,9,9,9,1,9,1,2,9,9,1,1,2,1,1,9,9,9,2,1,1,9,9,9,9,9,9,9,9,2,2,2,9,1,1,2,1,9,9
"Bernier, Thomas-Alfred",Conservative (1867-1942),Manitoba,"Abbott, John Joseph Caldwell",1892.10.27 - 1908.12.30 ,1892.10.27 , 1908.12.30 ,(Death),2,1,1,1,2,2,1,2,9,1,9,9,1,9,2,1,1,2,2,1,9,2,1,1,1,1,2,1,1,1,1,2,9,1,2,1,1,1,2,9,1,1
"Thibaudeau, Joseph-Rosaire",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1878.01.04 - 1909.06.16 ,1878.01.04 , 1909.06.16 ,(Death),1,2,9,2,9,9,2,9,1,1,2,9,9,9,9,9,9,1,1,9,9,2,1,9,9,2,1,2,2,2,2,1,9,9,1,2,9,9,9,2,9,2
"Perley, William Dell",Conservative (1867-1942),Northwest Territories,"Macdonald, John Alexander",1888.08.03 - 1909.07.15 ,1888.08.03 , 1909.07.15 ,(Death),2,1,2,1,9,2,9,2,1,9,9,9,1,1,9,1,2,9,2,9,9,9,9,2,1,1,2,1,1,1,1,2,2,1,1,1,9,1,2,9,9,9
"Ferguson, Donald",Conservative (1867-1942),Prince Edward Island,"Thompson, John Sparrow David",1893.09.04 - 1909.09.03 ,1893.09.04 , 1909.09.03 ,(Death),2,1,9,1,1,1,9,2,1,1,2,2,1,1,1,9,9,1,9,1,9,9,9,2,9,1,2,1,1,1,1,2,2,1,1,9,9,9,9,2,1,9
"Drummond, George Alexander",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1888.12.01 - 1910.02.02 ,1888.12.01 , 1910.02.02 ,(Death),2,1,9,9,9,9,2,9,9,9,9,2,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"Baker, George Barnard",Liberal-Conservative,Quebec,"Bowell, Mackenzie",1896.01.07 - 1910.02.09 ,1896.01.07 , 1910.02.09 ,(Death),2,1,9,9,9,9,1,9,2,9,9,2,1,1,1,9,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,9,1,1,2,9,9,9,9,1
"McGregor, James Drummond",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1903.04.24 - 1910.10.01 ,1903.04.24 , 1910.10.01 ,(Resignation),99,99,99,9,9,9,9,9,9,9,9,1,1,2,2,2,1,9,1,2,9,9,9,2,2,2,1,2,2,2,2,1,2,1,1,9,2,2,1,9,9,9
"Forget, Louis Joseph",Conservative (1867-1942),Quebec,"Tupper, Charles",1896.06.15 - 1911.04.07 ,1896.06.15 , 1911.04.07 ,(Death),9,9,9,9,9,2,9,9,9,9,9,9,9,9,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Carling, John",Liberal-Conservative,Ontario,"Bowell, Mackenzie",1896.04.23 - 1911.11.06 ,1896.04.23 , 1911.11.06 ,(Death),9,9,2,1,1,1,2,9,9,9,9,9,9,1,1,2,1,9,2,1,9,1,2,2,9,1,2,1,1,1,1,2,9,9,9,9,1,1,1,1,9,9
"McKay, Thomas",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1881.12.24 - 1912.01.13 ,1881.12.24 , 1912.01.13 ,(Death),2,1,1,1,1,1,9,9,2,9,9,9,1,1,1,2,1,9,2,9,9,9,9,2,1,9,9,9,9,9,9,9,1,2,1,9,9,9,9,9,9,9
"Miller, William",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1912.02.23 ,1867.10.23 , 1912.02.23 ,(Death),2,1,2,9,1,1,9,2,2,1,2,9,9,1,9,2,1,1,2,1,9,9,9,9,2,1,2,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9
"Wood, Josiah",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1895.08.05 - 1912.03.12 ,1895.08.05 , 1912.03.12 ,(Resignation),2,1,9,1,1,2,1,1,2,9,9,2,1,1,1,9,9,2,9,9,9,9,9,2,9,1,2,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9
"MacDonald, Andrew Archibald",Liberal-Conservative,Prince Edward Island,"Macdonald, John Alexander",1891.05.11 - 1912.03.21 ,1891.05.11 , 1912.03.21 ,(Death),2,1,9,1,9,2,1,1,2,1,2,2,1,1,9,2,1,1,9,1,9,9,9,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,2,1,2
"Wilson, John Henry",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1904.03.08 - 1912.07.03 ,1904.03.08 , 1912.07.03 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,1,2,2,1,2,2,2,2,1,1,9,2,2,1,1,2,1,2,9
"Cartwright, Richard John",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1904.09.30 - 1912.09.24 ,1904.09.30 , 1912.09.24 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Sullivan, Michael",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1885.01.29 - 1912.11.29 ,1885.01.29 , 1912.11.29 ,(Resignation),2,1,9,9,9,1,2,2,2,1,2,9,9,2,9,2,9,9,9,9,9,9,9,1,9,1,2,1,1,1,1,2,9,9,9,9,1,1,2,9,1,9
