Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H03S1V001,H03S1V002,H03S1V003,H03S1V004,H03S1V005,H03S1V006,H03S1V007,H03S1V008,H03S1V009,H03S2V001,H03S2V002,H03S2V003,H03S2V004,H03S2V005,H03S2V006,H03S2V007,H03S2V008,H03S2V009,H03S2V010,H03S2V011,H03S2V012,H03S2V013,H03S2V014,H03S2V015,H03S2V016,H03S2V017,H03S2V018,H03S2V019,H03S2V020,H03S2V021,H03S2V022,H03S2V023,H03S2V024,H03S2V025,H03S2V026,H03S2V027,H03S2V028,H03S2V029,H03S2V030,H03S2V031,H03S2V032,H03S2V033,H03S2V034,H03S2V035,H03S3V001,H03S3V002,H03S3V003,H03S3V004,H03S3V005,H03S3V006,H03S3V007,H03S3V008,H03S3V009,H03S3V010,H03S3V011,H03S3V012,H03S3V013,H03S4V001,H03S4V002,H03S4V003,H03S4V004,H03S4V005,H03S4V006,H03S4V007,H03S4V008,H03S4V009,H03S4V010,H03S4V011,H03S4V012,H03S4V013,H03S4V014,H03S4V015,H03S4V016,H03S4V017,H03S4V018,H03S4V019,H03S4V020,H03S4V021,H03S4V022,H03S4V023,H03S4V024,H03S4V025,H03S4V026,H03S4V027,H03S4V028,H03S4V029,H03S4V030,H03S4V031,H03S4V032,H03S4V033,H03S4V034,H03S4V035,H03S4V036,H03S5V001,H03S5V002,H03S5V003,H03S5V004,H03S5V005,H03S5V006,H03S5V007,H03S5V008,H03S5V009,H03S5V010,H03S5V011,H03S5V012,H03S5V013,H03S5V014,H03S5V015,H03S5V016,H03S5V017,H03S5V018,H03S5V019,H03S5V020,H03S5V021,H03S5V022,H03S5V023,H03S5V024,H03S5V025,H03S5V026,H03S5V027,H03S5V028,H03S5V029,H03S5V030,H03S5V031,H03S5V032,H03S5V033,H03S5V034
530,OXFORD SOUTH,Ontario,1867 - 1933,3,1874.05.23,59,0507d7d7-7d82-4bfb-90e0-e4a9ffa82e35,"SKINNER, James Atchison",1186,0.5903,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,Scotland,,,,99,99,99,99,99,99,99,99,99,2,1,2,1,1,2,2,1,1,1,9,9,9,9,9,1,2,2,2,2,2,2,2,9,9,9,2,2,9,9,9,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,1,2,1,2,1,1,1,9,2,1,1,2,2,2,1,2,9,9,9,2,1,1,2,2,2,2,9,2,1,1,2,2,1,2
650,SAINT MAURICE,Quebec,1867 - 1892,3,1874.01.22,89,07765781-6212-4986-9b9c-884257499e95,"LAJOIE, Charles",575,0.5246,Liberal Party of Canada,"Manufacturer, miller",Fr.Catholic,1,1,,,,,,,,,,,,,2,1,2,2,1,2,2,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,9,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,9,9,2,2,2,1,2,2,9,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,9,9,9,1,2,2,2,2,2,1,2,2,2,1,2,2,9,9,2,2,2,2,2,2,2,2,2,2,9,9,2,2,1,9,9,9,9
485,NICOLET,Quebec,1867 - 1933,3,1877.12.18,91,0783363b-5802-4641-bbd2-1ff04f487e0c,"METHOT, Francois-Xavier-Ovide",1387,0.5767,Independent Conservative,Farmer,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,2,2,2,9,1,2,1,1,2,1,2,1,2,1,2,1,1,9,9,9,9,9,1,1,1,9,1,1,1,1
8,ALGOMA,Ontario,1867 - 1903,3,1874.01.22,103,08f0cf43-23b3-43dc-ac2e-ce63e01917bb,"BORRON, Edward Barron",436,0.6124,Liberal Party of Canada,Mining inspector,Protestant,0,1,,,,,,,,,England,,,,2,2,1,2,2,2,1,9,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,9,9,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,9,1,2,2,2,1,2,2,9,2,2,2,2,9,9,9,2,1,2,1,1,9,2,9,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,9,2,2,1,2,9,1,2,1,1,1,2,2,2,1,1,1,9,2,1,1,2,2,2,1,2,9,9,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2
36,BEAUCE,Quebec,1867 - ,3,1874.01.22-1876.09.19,104,08f7401c-83f1-4f24-97d5-36a5b429c7dc,"POZER, Christian Henry",accl.,,Liberal Party of Canada,Lawyer,Protestant,0,3,,,,,,,,,,Resignation. Called to the Senate: 1876.09.19,,,2,1,2,2,1,1,1,9,1,2,1,2,1,1,1,2,1,1,1,9,2,2,1,2,9,2,2,1,9,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,9,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
783,VICTORIA NORTH,Ontario,1867 - 1903,3,1875.09.17,110,0985b2c0-0ef0-464a-813d-d25a716466ff,"CAMERON, Hector",,,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,9,2,9,2,1,1,2,1,1,1,9,1,1,1,1,1,1,9,1,1,1,2,9,9,9,9,9,9,9,9,1,1,1,1,9,9,2,1,9,2,1,1,2,1,2,9,2,1,9,9,9,9,9,9,9,9,9,9,1,1,2,1,1,2,1,1,1,1,9,9,9,1,1,1,1,9,1,1,2,1
440,MIDDLESEX EAST,Ontario,1867 - 1966,3,1874.01.22,155,0c4eb905-4e95-4128-b88e-b88ce4214de7,"WILLSON, Crowell",1977,0.5056,Liberal-Conservative,Farmer,Protestant,0,2,,,,,,,,,,,,,2,2,1,1,2,1,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
455,MONTCALM,Quebec,1867 - 1914,3,1874.01.22,171,0d62b3d2-5d6f-498c-bc54-a4aace15e525,"DUGAS, Firmin",accl.,,Conservative (1867-1942),Miller,Fr.Catholic,1,3,,,,,,,,,,,,,1,1,2,1,1,1,9,9,9,1,2,9,9,9,9,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,9,9,9,9,9,9,9,9,1,9,9,1,1,9,1,2,1,1,1,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,2,1,2,2,1,2,1,2,1,2,2,2,1,1,2,1,2,9,1,1,9,1,2,1,1,2,9
736,TORONTO CENTRE,Ontario,1872 - 1924,3,1874.01.22,175,0d86e48e-9554-479b-be2d-c08090f3827d,"WILKES, Robert",1509,0.5519,Liberal Party of Canada,Merchant,Protestant,0,2,,,,,,,,,Scotland,,,,9,9,9,1,2,2,9,9,9,2,1,2,1,1,9,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,9,9,2,2,1,2,2,2,9,2,9,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
766,VAUDREUIL,Quebec,1867 - 1914,3,1874.01.22,193,0f31ab13-cae1-4172-a17a-7810dc4fb0cc,"HARWOOD, Robert",accl.,,Liberal-Conservative,Farmer,Catholic,0,2,,,,,,,,,,,,,1,1,2,1,1,1,1,9,9,1,2,2,2,2,2,1,2,2,2,2,9,9,9,9,2,2,2,1,1,1,1,1,1,1,2,1,1,1,9,9,9,1,9,1,2,2,1,1,9,1,9,1,1,1,1,9,1,2,1,1,9,9,9,2,2,2,1,1,2,2,9,9,9,1,1,9,1,1,1,1,1,1,1,9,1,1,2,1,1,2,9,9,9,9,1,9,9,2,2,9,9,1,2,2,1,9,1,2,1,9,9,2,1,1,9,1,2,1,9,9,1,1,9,1,1,2,1
810,WESTMORLAND,New Brunswick,1867 - 1966,3,1874.01.22,196,0f4b5eed-899b-4b7b-92bd-57c809d15075,"SMITH, Hon. Albert James",accl.,,Liberal Party of Canada,Lawyer,Protestant,0,3,,1,,,,,,,,,,,2,2,1,1,2,2,2,9,2,2,1,9,9,9,9,2,2,1,1,9,2,2,2,1,9,9,2,2,9,9,9,2,2,2,1,2,2,2,2,1,9,9,9,2,2,1,2,2,9,9,9,9,9,9,9,9,2,1,2,2,1,1,2,1,9,9,2,2,1,1,1,1,2,2,2,2,9,2,2,2,2,2,2,1,2,2,9,2,9,1,9,9,1,1,2,2,2,1,1,9,1,9,9,9,9,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2
578,QUEBEC COUNTY,Quebec,1867 - 1924,3,1874.01.22,197,0f4d2c30-e6ab-43ec-9847-0a7006e3877d,"CARON, Adolphe Philippe",accl.,,Conservative (1867-1942),Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,1,1,2,1,1,1,1,2,9,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,9,1,9,1,1,1,2,1,1,1,9,2,1,9,9,1,2,2,1,1,9,1,2,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,9,1,1,2,1,2,9,2,1,1,1,2,2,2,2,9,9,2,9,9,1,2,1,2,2,2,1,9,2,1,2,1,9,1,1,1,9,1,1,1,1
797,WELLINGTON SOUTH,Ontario,1867 - 1966,3,1876.07.05,223,10f048f6-a8f2-4114-8eb4-f0a4698679a8,"GUTHRIE, Donald",1366,0.5147,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,Scotland,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,1,1,2,1,9,1,2,2,1,1,9,1,2,2,2,2,2,2,2,2,2,2,2,1,2,9,9,2,2,1,2,1,9,9,2,2,2,1,1,1,1,2,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,9,9,9,9,9
409,LUNENBURG,Nova Scotia,1867 - 1924,3,1874.01.22,234,11a69192-8a8a-4561-974c-0db44e0f5160,"CHURCH, Charles Edward",accl.,,Liberal Party of Canada,"Merchant, teacher",Protestant,0,2,,,,,,,,,,,,,2,1,9,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2,9,1,2,2,9,9,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,9,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,9,9,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,1,2,9,9,1,1,2,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2
424,MARQUETTE,Manitoba,1871 - 1976,3,1874.01.22-1874.07.04,242,123ba65e-0a77-4dce-8178-073e2ec7c5d6,"CUNNINGHAM, Robert",393,0.5282,Liberal Party of Canada,"Author, correspondent, newspaper editor, newspaper owner",Protestant,0,2,,,,,,,,,Scotland,Died in office: 1874.07.04,,,1,1,2,9,2,2,9,9,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
586,QUEEN'S,New Brunswick,1867 - 1892,3,1874.01.22,271,14598677-9409-47d4-902e-ad1ff7fd7121,"FARRIS, John",621,0.7901,Liberal Party of Canada,Lumber merchant,Protestant,0,3,,,,,,,,,,,,,2,2,1,1,2,2,1,9,9,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,9,2,2,2,2,2,2,2,9,9,2,2,2,9,9,9,2,2,9,2,1,2,2,9,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,9,1,2,2,2,2,9,2,2,2,2,2,2,1,2,2,1,2,2,1,9,9,9,1,2,1,2,1,1,1,1,9,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,9,2,1,1,2,2,1,2
723,TERREBONNE,Quebec,1867 - 1996,3,1874.01.22,297,162e1738-e1ae-482e-bc9a-4a027894f387,"MASSON, Louis-Francois-Rodrigue",accl.,,Conservative (1867-1942),Lawyer,Fr.Catholic,1,3,,,,,,,,,,,,,1,1,2,9,1,1,9,9,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,9,9,9,9,9,9,1,1,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,9,1,1,1,9,1,1,2,9,1,2,2,2,1,1,2,2,2,2,9,9,9,9,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,9,9,2,1,1,1,2,2,2,2,1,2,2,1,2,1,2,2,9,9,2,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9
538,PEEL,Ontario,1867 - 1966,3,1874.01.22,299,16512629-d405-45cc-bdc0-3d74345185d6,"SMITH, Robert",1299,0.5027,Liberal Party of Canada,Farmer,Protestant,0,2,,,,,,,,,Ireland,,,,2,2,1,2,2,2,1,9,2,2,1,2,1,1,1,2,1,1,1,1,2,2,1,9,1,2,2,2,2,2,9,2,2,1,2,2,2,2,2,1,2,9,9,2,2,1,2,2,9,2,9,2,2,2,1,2,2,1,2,2,1,1,2,9,9,1,2,2,1,1,9,9,2,2,2,2,2,2,9,2,2,2,2,1,2,2,9,2,2,1,2,1,1,1,2,1,2,9,9,9,9,2,2,1,9,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9,2,2,1,2,2,1,2
302,HURON NORTH,Ontario,1867 - 1882,3,1874.01.22,319,1774b6a7-5fc4-4176-b125-c59db0ad31f0,"FARROW, Thomas",1655,0.5229,Liberal-Conservative,School superintendent,Protestant,0,2,,,,,,,,,England,,,,2,2,1,1,1,1,9,1,9,2,2,9,9,9,2,1,2,2,2,1,1,1,2,1,9,2,1,1,9,9,2,9,1,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,9,1,1,1,1,2,9,9,9,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,9,9,9,2,1,1,1,9,9,2,1,1,1,2,1,1,1,2,1,1,9,1,1,1,9,9,2,1,1,1,1,1,9,1,1,2,1
513,ONTARIO NORTH,Ontario,1867 - 1924,3,1874.01.22-1876.05.28,329,17c938ca-cbe5-4190-82cb-4d4bae61a8be,"GORDON, Adam",1804,0.5131,Liberal Party of Canada,"Merchant, postmaster",Protestant,0,1,,,,,,,,,Scotland,Died in office: 1876.05.28,,,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1,2,1,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,9,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
