Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H13S1V001,H13S1V002,H13S1V003,H13S1V004,H13S1V005,H13S1V006,H13S1V007,H13S1V008,H13S1V009,H13S1V010,H13S1V011,H13S1V012,H13S1V013,H13S2V001,H13S2V002,H13S2V003,H13S2V004,H13S2V005,H13S2V006,H13S2V007,H13S2V008,H13S2V009,H13S2V010,H13S2V011,H13S2V012,H13S2V013,H13S2V014,H13S2V015,H13S2V016,H13S2V017,H13S2V018,H13S3V001,H13S3V002,H13S3V003,H13S3V004,H13S3V005,H13S3V006,H13S3V007,H13S3V008,H13S3V009,H13S3V010,H13S3V011,H13S3V012,H13S3V013,H13S3V014,H13S3V015,H13S4V001,H13S4V002,H13S4V003,H13S4V004,H13S4V005,H13S4V006,H13S4V007,H13S4V008,H13S4V009,H13S4V010,H13S4V011,H13S4V012,H13S4V013,H13S5V001,H13S5V002,H13S5V003,H13S5V004,H13S5V005,H13S5V006,H13S5V007,H13S5V008,H13S5V009,H13S5V010,H13S5V011,H13S5V012,H13S5V013,H13S5V014
393,LENNOX AND ADDINGTON,Ontario,1903 - 1924,13,1917.12.17,186,0e8d9412-d4c1-4e24-b2c8-50d0cc490afe,"PAUL, William James",3477,0.6472,Unionist,"Cheese maker, industrialist",Protestant,0,2,,,,,,,,,,,,,2,2,1,2,2,2,9,2,2,1,9,9,9,2,1,9,2,2,2,1,9,9,2,1,9,2,9,9,9,2,2,2,1,2,1,9,9,2,2,9,9,9,9,9,2,9,2,9,9,9,9,2,9,9,9,9,9,9,9,2,2,2,2,2,1,2,2,2,9,9,9,9,9
704,STANSTEAD,Quebec,1867 - 1966,13,1917.12.17,236,11c1de4a-fa81-4eed-a5ee-c2cb0f060d6c,"BALDWIN, Willis Keith",3047,0.565,Laurier Liberal,"Lumber merchant, merchant",Protestant,0,1,,,,,,,,,,,,,9,9,9,1,1,1,1,9,9,9,9,9,9,1,9,9,1,9,9,9,2,1,9,9,9,1,1,9,9,1,1,9,2,1,2,1,9,9,9,9,9,9,9,9,1,2,1,2,1,9,9,1,9,9,1,1,1,1,9,1,9,1,9,9,9,9,1,1,1,1,1,1,9
237,GEORGE-ETIENNE CARTIER,Quebec,1914 - 1924,13,1917.12.17,247,1267c565-8771-4162-a16e-56bf229c71fa,"JACOBS, Samuel William",6130,0.8455,Laurier Liberal,Lawyer,Jewish,1,1,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,2,2,1,1,9,2,9,1,1,1,2,2,9,1,2,9,1,2,9,9,9,9,1,2,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,1,9,9,1,9,9,9,9,9,9,9,1,9,1,1,1,2,9,9,9,9,2,9,9,9
112,CAPE BRETON SOUTH AND RICHMOND,Nova Scotia,1914 - 1924,13,1917.12.17,279,14c5085d-328a-43ee-8d23-9140c3aca38f,"BUTTS, Robert Hamilton",7645,0.2099,Unionist,"Barrister, lawyer",Catholic,0,1,,,,,,,,,,,,,2,2,1,9,2,9,9,2,2,1,1,9,9,2,9,9,9,2,2,1,9,2,2,1,1,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,9,2,2,2,2,2,2,2,9,2,2,2,1,2,2,9,2,9,9,2,9
323,KAMOURASKA,Quebec,1867 - 1976,13,1920.03.31,287,155b45bd-8851-4d7d-a9af-19257d3fe112,"STEIN, Adolphe",accl.,,Liberal Party of Canada,Lawyer,Fr.Catholic,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,1,1,1,1,2,9,1,1,1,1,1,1,1,1,1,9,9,1,1,9,1,1,1,1,1
479,NEW WESTMINSTER,British Columbia,1872 - 1976,13,1917.12.17,309,16dc5348-21c1-425b-aab3-26e16d448fdb,"MCQUARRIE, William Garland",7380,0.7192,Unionist,"Barrister, lawyer",Protestant,0,1,,,,,,,,,,,,,2,2,1,2,2,9,9,2,2,1,1,2,2,2,2,9,2,9,9,9,9,9,2,1,9,2,1,2,2,9,9,2,9,9,9,2,1,2,2,2,2,2,2,2,2,1,2,9,9,9,2,2,1,9,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,9,9,9
440,MIDDLESEX EAST,Ontario,1867 - 1966,13,1917.12.17,315,173a947c-154b-45f1-8a2c-0a9d2d992309,"GLASS, Samuel Francis",4212,0.6046,Unionist,"Insurance broker, real estate agent",Protestant,0,2,,,,,,,,,,,,,9,9,9,2,9,9,9,2,2,1,1,2,9,2,1,1,9,2,2,1,9,2,9,9,9,9,9,2,2,9,9,2,1,2,1,9,9,2,2,2,9,9,9,9,9,9,2,9,2,2,9,2,9,9,9,2,2,2,2,2,2,2,2,2,1,2,2,9,2,2,1,2,2
664,SASKATOON,Saskatchewan,1907 - 1933,13,1917.12.17,326,17bb831e-4093-46c1-944f-4c7a658fcafe,"WILSON, James Robert",9639,0.8402,Unionist,"Farmer, merchant, miller",Protestant,0,1,,1,,,,,,,,,,,2,2,1,2,2,2,2,2,2,9,1,2,2,2,1,1,2,2,2,1,2,9,2,1,9,9,1,1,9,2,2,2,1,2,1,2,9,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,9,2,2,2,2,1,2,2
280,HASTINGS WEST,Ontario,1867 - 1924,13,1917.12.17,336,185cfc9f-0de6-4492-8cdf-b36fb5308b50,"PORTER, Edward Guss",5710,0.583,Unionist,Barrister,Protestant,0,5,,,,,,,,,,,,,9,9,9,9,9,9,9,2,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,2,9,9,2,1,9,9,2,9,2,2,2,2,2,2,2,2,1,2,9,2,2,9,2,9,9,9,2,2,2,2,2,9,2,9,9,9,2,9,9,2,9,9,9,9
29,BAGOT,Quebec,1867 - 1933,13,1917.12.17,342,1899ea86-f65d-4338-b41b-708b33450cc6,"MARCILE, Joseph-Edmond",3318,0.973,Laurier Liberal,Merchant,Fr.Catholic,1,6,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,2,2,1,1,9,2,2,1,1,1,2,2,9,9,9,9,1,2,9,9,1,1,1,9,1,2,1,2,1,1,1,1,1,1,1,1,2,1,9,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,9
564,PRINCE,Prince Edward Island,1903 - 1966,13,1917.12.17-1919.04.06,346,18f384df-6db6-4b46-8c71-b9ba8166d43b,"READ, Joseph",4298,0.5196,Laurier Liberal,"Master mariner, merchant, shipowner",Unknown,0,1,,,,,,,,,,Died in office: 1919.04.06,,,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
730,TIMISKAMING,Ontario,1914 - 1924,13,1920.04.07,352,1998b279-1a69-490c-8b03-9f2d86af6859,"MCDONALD, Angus",5797,0.4878,Independent,Carpenter,Catholic,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,1,1,1,1,2,1,1,1,1,1,1,1,9,9,1,9,9,9,9,9,1,9
836,YAMASKA,Quebec,1867 - 1933,13,1917.12.17-1920.12.25 ,356,19e75f41-86b7-4029-bfd1-884496fe3a02,"GLADU, Joseph-Ernest-Oscar",3148,0.8715,Laurier Liberal,Notary,Fr.Catholic,1,3,,,,,,,,,,Died in office: 1920.12.25 ,,,1,1,2,9,9,9,9,1,1,2,2,1,9,1,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,1,9,1,1,9,1,2,9,1,1,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99
538,PEEL,Ontario,1867 - 1966,13,1917.12.17,372,1b64bce7-d840-42c6-9af1-8dc647e68c79,"CHARTERS, Samuel",4751,0.6553,Unionist,"Newspaper editor, newspaper owner, publisher",Protestant,0,1,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,1,2,9,2,1,1,2,2,2,1,9,9,2,1,2,2,1,1,1,9,9,2,1,2,1,2,9,2,2,9,9,9,9,9,2,1,2,9,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,9,2,2
675,SELKIRK,Manitoba,1871 - 1976,13,1917.12.17,380,1bed44fb-f672-4868-8f66-648136aee00a,"HAY, Thomas",5860,0.6581,Unionist,Farmer,Protestant,0,1,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,1,2,9,2,1,1,9,2,2,1,2,2,2,1,9,2,1,1,1,2,2,2,1,9,9,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,9,2,2,2,2,2,2,2,2,2,2,1,2,2,9,2,2,2,2,2
1263,ST. ANN,Quebec,1914 - 1947,13,1917.12.17,394,1d093884-066e-4154-90c4-5125c80965b9,"DOHERTY, Hon. Charles Joseph",8346,0.638,Unionist,"Bank manager, lawyer",Catholic,0,3,,1,,,,,,,,,,,2,2,1,2,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,2,2,2,9,9,2,2,2,2,2,1,2,2
838,YARMOUTH AND CLARE,Nova Scotia,1914 - 1924,13,1917.12.17,407,1df3f1ff-b435-4c00-876c-285c56a2f16f,"SPINNEY, Edgar Keith",4463,0.5642,Unionist,"Insurance agent, merchant",Protestant,0,1,,1,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,1,2,9,9,9,9,9,9,9,9,9,9,2,9,2,9,9,2,1,2,2,2,2,2,2,2,2,2,9,2,1,2,2,2,2,2,1,2,9
677,SHEFFORD,Quebec,1867 - ,13,1917.12.17,440,20153f1d-4d12-4d52-b34f-744ffb0e1cd0,"BOIVIN, George Henri",accl.,,Laurier Liberal,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,9,1,2,1,9,1,9,1,2,1,2,1,1,9,1,1,1,1,1,9,1,9,1,1,1,1,9,1,1,9,9,9,9,9,1,1,9,1,9,9,9,9,9,1,1,9,9
836,YAMASKA,Quebec,1867 - 1933,13,1921.05.28,455,212572eb-4fe5-4eef-8f4b-e193f8ac082a,"BOUCHER, W.-E.-E.-Aime",4251,0.5803,Liberal Party of Canada,Notary,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9
556,PORT ARTHUR AND KENORA,Ontario,1914 - 1924,13,1917.12.17,491,23ca8c35-19b1-477b-a9c5-a78e891e6801,"KEEFER, Francis Henry",5990,0.7075,Unionist,Lawyer,Protestant,0,1,,,1,,,,,,,,,,2,9,9,2,2,9,9,9,2,1,1,9,9,2,9,1,2,2,2,1,1,9,2,1,2,9,1,9,9,2,2,9,1,9,9,2,9,2,2,2,2,2,2,2,2,9,9,1,2,2,2,2,9,9,2,2,9,9,9,2,2,2,2,2,1,2,9,9,9,9,9,9,9
632,ST. DENIS,Quebec,1914 - 1947,13,1917.12.17,508,2555053a-03ba-40ed-a2fb-de4f35b5fca4,"VERVILLE, Alphonse",9708,0.9089,Laurier Liberal,Plumber,Fr.Catholic,1,4,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,1,2,2,9,9,9,9,9,9,9,9,9,9,1,2,9,9,1,9,9,9,9,9,9,9,9,9,9,1,9,9,1,1,1,9,9,1,1,1,1,1,1,1,1,1,9,2,9,1,9,1,9,9,1,9
413,MACKENZIE,Saskatchewan,1905 - 1996,13,1917.12.17,557,28f27f0b-b175-49c4-9380-a0beed2adae5,"REID, John Flaws",3047,0.5625,Unionist (Liberal),Farmer,Protestant,0,1,,,,,,,,,Scotland,,,,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,9,2,2,1,2,9,1,2,2,9,1,1,9,2,2,9,2,1,2,2,1,2,2,2,2,2,2,2,2,9,1,1,2,2,1,1,1,1,1,2,1,1,1,9,1,2,9,9,9,1,1,1,1,2,2,1,1
80,BRUCE NORTH,Ontario,1867 - 1933,13,1917.12.17,569,29d180a3-09d2-4ee1-bc3d-b43eab62d101,"CLARK, Hugh",4269,0.6234,Unionist,"Editor, teacher",Protestant,0,2,,,1,,,,,,,,,,9,9,9,2,2,2,2,2,2,1,1,2,9,9,9,1,2,2,2,1,1,2,2,1,9,9,9,9,9,9,9,2,1,2,1,2,1,2,2,2,2,2,2,2,2,9,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,9,2,2,2,2,2,2
593,RED DEER,Alberta,1907 - ,13,1917.12.17-1919.12.31,592,2ba4bee0-f459-430e-9e36-439d1e383984,"CLARK, Michael",6213,0.5799,Unionist (Liberal),"Farmer, physician, rancher",Protestant,0,3,1,,,1,,,,,England,,,,2,2,1,2,2,2,2,2,2,1,9,9,9,2,1,1,2,2,2,1,1,1,1,2,9,9,1,1,9,1,2,9,9,1,1,9,9,2,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
593,RED DEER,Alberta,1907 - ,13,1920.01.01 ,592.1,2ba4bee0-f459-430e-9e36-439d1e383984,"CLARK, Michael",6213,0.5799,Progressive,,Protestant,0,3,,,,,,,,,England,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,9,9,9,9,1,1,9,1,2,1,1,1,9,2,2,2,9,9,9,1,9,9,2,2,1,9
739,TORONTO NORTH,Ontario,1903 - 1924,13,1917.12.17-1921.09.21,604,2cf93f16-ac02-4963-ae74-f74b1cb23251,"FOSTER, Rt. Hon. Sir George",21130,0.8796,Unionist,"Professor, teacher",Protestant,0,8,,1,,,,,,,,Resignation. Called to the Senate: 1921.09.21,,,2,2,1,2,2,2,2,2,2,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,2,9,9,9,2,2,9,9,9,9,2,1,2,9,2,9,2,2,1,9,2,2,9,9,9,2,2,2,9,2,1,9,2,2,2,2,9,9,9
711,STRATHCONA,Alberta,1905 - 1924,13,1917.12.17,608,2d381950-3892-4297-ab44-a57cb29bc414,"DOUGLAS, James McCrie",5777,0.6451,Unionist (Liberal),"Businessman, farmer, merchant",Protestant,0,3,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,2,2,2,1,2,2,1,1,9,9,1,1,9,2,2,2,9,9,9,9,9,9,2,2,1,2,2,2,2,9,2,1,9,2,9,2,1,9,9,9,9,9,9,2,2,2,2,9,9,2,2,2,2,2,2,2,9
138,CHARLOTTE,New Brunswick,1867 - 1966,13,1917.12.17,611,2d59f464-4eaa-49f6-bf95-a548c374041a,"HARTT, Thomas Aaron",3248,0.5525,Unionist,"Farmer, merchant, teacher",Protestant,0,2,,,,,,,,,,,,,2,2,1,2,2,2,9,9,9,9,9,9,9,2,1,9,9,2,2,1,9,9,2,1,2,9,1,1,1,9,9,2,1,9,9,9,9,2,9,2,2,2,2,2,2,9,2,1,2,9,9,2,1,9,9,9,9,9,9,2,2,2,9,2,1,2,2,9,2,9,9,9,9
685,SIMCOE EAST,Ontario,1882 - 1966,13,1917.12.17,623,2e744b29-dc1f-48f1-9c72-b1bdeea3547c,"TUDHOPE, James Brockett",6669,0.6844,Unionist,Industrialist,Protestant,0,1,,,,,,,,,,,,,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,9,9,9,9,9,9,9,2,9,9,2,9,9,2,9,9,9,9,9,2,2
